,A. 도시명,B. 업종전체,가구점,가스충전소,가전제품수리점,가전제품판매점,간이주점,간판광고물업,감정평가사,건강보조식품가게,건어물가게,건축사,결혼상담소,곡물가게,공부방,공인노무사,공인회계사,과일가게,교습학원,구내식당,기술및직업훈련학원,기술사,기타 일반의원,기타외국식전문점,기타음식점,꽃가게,내과ㆍ소아과 의원,노래방,담배가게,당구장,독서실,동물병원,목욕탕,문구점,미용실,법무사,변리사,변호사,부동산중개업,분식점,사진촬영업,산부인과 의원,생선가게,서점,성형외과 의원,세무사,세탁소,슈퍼마켓,스포츠교육기관,스포츠시설운영업,스포츠용품점,시계ㆍ귀금속점,식료품가게,신경정신과 의원,신발가게,실내스크린골프점,실내장식가게,실외골프연습장,안경점,안과 의원,애완용품점,약국,여관ㆍ모텔,여행사,예술학원,예식장,옷가게,의료용품가게,이륜자동차판매점,이발소,이비인후과 의원,일반외과 의원,일식전문점,자동차수리점,자전거판매점,장난감가게,정육점,제과점,종합병원,주유소,주차장운영업,중고차판매점,중식전문점,채소가게,철물점,치과병원ㆍ의원,침구ㆍ커튼가게,커피음료점,컴퓨터판매점,통신판매업,패스트푸드점,펜션ㆍ게스트하우스,편의점,피부ㆍ비뇨기과 의원,피부관리업,피시방,한방병원ㆍ한의원,한식전문점,헬스클럽,호프전문점,화장품가게,휴대폰가게
0,합계,"2,485,979","7,561","1,610","16,832","10,174","13,271","13,041","1,194","13,898","7,298","10,238","1,640","5,049","37,868",955,"1,838","12,146","56,343","20,977","14,869","1,118","3,321","24,315","22,843","24,191","11,437","29,503","12,335","17,920","9,650","4,199","5,379","9,120","103,697","6,619","1,046","7,622","130,010","54,147","14,561","1,675","11,879","8,429","1,511","12,783","23,875","28,896","25,821","8,502","15,151","8,123","48,506","1,813","6,476","5,134","60,171","2,188","9,250","1,669","8,234","23,045","20,496","13,909","30,953",850,"85,395","7,248","2,676","12,043","2,622","4,941","17,873","44,712","2,520","3,036","19,955","17,723","3,438","10,986","8,113","4,809","24,839","11,867","8,786","18,433","9,870","67,748","5,099","316,004","41,260","15,475","43,722","4,013","40,585","10,223","14,936","392,857","8,214","31,176","35,024","18,584"
1,서울특별시,"496,455","1,032",76,"2,804","1,546","4,219","2,610",261,"2,267",766,"2,664",439,645,"7,690",411,849,"1,301","10,405","3,750","3,284",308,913,"7,419","4,400","4,420","2,485","5,629","2,160","3,142","3,293",835,686,"1,542","18,230","1,987",743,"3,974","32,061","10,790","4,758",501,"1,503","1,637",748,"5,296","4,627","3,842","4,746","2,317","1,502","1,862","5,464",530,"1,284",694,"14,247",354,"2,031",456,"1,309","5,179","1,836","5,430","5,476",164,"15,688","1,621",454,"2,172",699,"1,135","5,462","4,993",391,511,"2,768","3,670",439,438,"1,770",479,"4,842","1,601","1,364","4,923","1,250","13,191","1,047","92,919","6,818",769,"8,092","1,377","7,761","1,666","3,722","54,400","1,986","6,476","6,618","3,114"
2,인천광역시,"127,035",302,69,"1,186",395,"1,335",559,77,663,377,348,63,202,"1,749",41,68,434,"2,509","1,353",620,28,148,815,945,961,594,"2,255",368,"1,127",452,190,205,483,"5,520",293,15,258,"7,088","2,560",657,82,769,395,49,537,"1,295","1,792","1,364",445,517,358,"2,104",73,333,217,"3,536",70,427,65,524,"1,120",811,407,"1,489",22,"3,997",308,91,411,137,271,960,"2,368",101,139,"1,065",808,147,293,305,249,"1,192",562,496,932,426,"3,358",212,"20,605","1,886",678,"2,331",183,"2,286",548,696,"18,340",442,"1,659","1,433","1,007"
3,경기도,"584,928","2,012",376,"4,959","2,001","2,697","3,216",382,"2,805",866,"2,164",249,892,"9,434",167,311,"1,955","14,979","5,122","3,421",261,661,"5,152","5,296","5,579","2,640","7,078","1,658","4,574","2,332","1,086",738,"2,115","23,451","1,246",94,985,"36,459","12,740","3,136",338,"1,298","2,015",195,"2,817","5,492","7,801","6,732","2,263","3,267","1,290","9,064",379,"1,260","1,349","17,868",488,"2,017",359,"2,544","5,139","3,175","1,792","8,523",127,"17,588","1,627",469,"2,135",662,"1,170","3,733","11,408",622,885,"4,303","4,135",696,"2,294","1,365","1,034","5,348","2,148","1,835","4,359","1,928","14,650","1,165","95,617","9,128","2,035","11,053",846,"9,664","2,503","3,269","81,599","1,988","6,548","7,979","4,259"
4,강원도,"87,834",302,94,578,466,396,520,35,516,664,338,33,329,"1,037",16,13,306,"1,455",587,446,38,65,792,988,761,324,829,566,783,161,105,180,364,"3,617",195,*,120,"2,661","1,675",420,37,581,237,17,176,956,988,709,247,889,231,"2,832",40,239,168,"1,221",107,252,43,227,685,"1,550",355,887,36,"3,145",189,92,660,51,135,942,"1,792",88,97,873,595,86,639,153,156,"1,059",816,467,400,396,"2,433",189,"4,304","1,915","2,756","1,811",62,"1,163",427,369,"19,802",235,"1,315","1,109",627
5,대전광역시,"72,376",214,43,561,301,78,389,29,465,126,221,69,154,"1,448",21,37,317,"1,262",679,504,27,147,606,539,710,380,"1,282",277,503,258,102,97,312,"3,355",171,88,227,"3,422","1,967",409,59,161,325,44,279,879,676,839,191,377,230,"1,347",74,200,148,"1,976",68,318,49,272,749,610,317,905,23,"2,808",262,65,411,81,145,430,"1,469",88,91,755,537,99,241,185,216,613,306,282,539,411,"2,415",187,"7,482","1,128",24,"1,201",113,"1,285",300,519,"11,767",264,847,"1,233",664
6,충청북도,"79,018",270,74,488,423,429,385,30,428,112,301,52,245,"1,008",17,32,646,"1,465",747,398,33,96,546,731,904,318,"1,118",518,691,195,111,147,335,"3,519",170,4,106,"2,981","2,220",314,45,183,243,25,173,890,964,759,192,648,256,"2,234",48,219,185,"1,405",98,290,38,240,680,850,275,875,36,"2,933",189,89,420,60,176,477,"1,840",83,82,783,554,99,716,161,189,925,511,346,438,389,"2,270",188,"5,910","1,651",473,"1,567",78,"1,213",344,403,"15,529",270,"1,649","1,002",553
7,충청남도,"104,077",287,127,684,532,600,481,38,"1,278",636,357,74,386,"1,281",27,42,684,"1,860","1,004",569,34,99,706,953,"1,114",449,"1,199",588,771,243,191,195,428,"4,336",220,6,146,"4,286","2,350",410,49,727,353,27,266,"1,135","1,220",932,227,"1,005",319,"3,338",52,273,215,"1,620",93,344,52,350,960,"1,478",319,"1,112",65,"3,289",292,143,637,58,195,712,"2,481",115,139,"1,017",721,140,"1,016",145,216,"1,224",709,460,572,501,"2,937",216,"7,929","2,131","1,339","2,333",99,"1,418",435,521,"19,750",288,"1,492","1,332",873
8,세종특별자치시,"13,667",26,4,82,44,15,30,12,57,12,58,7,32,306,5,11,104,468,77,123,4,19,163,111,109,65,145,43,94,42,27,14,78,432,24,*,20,"1,430",215,62,9,25,69,6,44,106,139,215,49,77,22,220,12,25,30,266,4,49,6,31,130,65,52,280,5,358,29,8,41,16,34,94,201,15,23,118,121,14,68,30,4,154,61,37,89,53,472,34,"1,600",329,8,281,17,195,44,82,"2,127",42,128,157,76
9,광주광역시,"72,610",218,38,485,342,182,433,37,407,179,243,82,112,827,28,34,313,"2,418",397,536,38,128,388,909,769,333,"1,031",287,496,384,108,174,288,"3,301",219,11,219,"4,261","1,528",410,52,330,276,46,308,877,844,934,242,433,262,"1,414",52,214,112,"2,152",46,352,41,190,681,499,406,"1,102",25,"3,158",318,65,251,80,98,253,"1,510",60,76,554,497,177,278,272,231,479,253,290,647,383,"1,874",182,"6,898","1,180",26,"1,058",127,"1,715",416,409,"10,159",233,"2,127","1,202",591
