,A. 도시명,B. 업종전체,가구점,가스충전소,가전제품수리점,가전제품판매점,간이주점,간판광고물업,감정평가사,건강보조식품가게,건어물가게,건축사,결혼상담소,곡물가게,공부방,공인노무사,공인회계사,과일가게,교습학원,구내식당,기술및직업훈련학원,기술사,기타 일반의원,기타외국식전문점,기타음식점,꽃가게,내과ㆍ소아과 의원,노래방,담배가게,당구장,독서실,동물병원,목욕탕,문구점,미용실,법무사,변리사,변호사,부동산중개업,분식점,사진촬영업,산부인과 의원,생선가게,서점,성형외과 의원,세무사,세탁소,슈퍼마켓,스포츠교육기관,스포츠시설운영업,스포츠용품점,시계ㆍ귀금속점,식료품가게,신경정신과 의원,신발가게,실내스크린골프점,실내장식가게,실외골프연습장,안경점,안과 의원,애완용품점,약국,여관ㆍ모텔,여행사,예술학원,예식장,옷가게,의료용품가게,이륜자동차판매점,이발소,이비인후과 의원,일반외과 의원,일식전문점,자동차수리점,자전거판매점,장난감가게,정육점,제과점,종합병원,주유소,주차장운영업,중고차판매점,중식전문점,채소가게,철물점,치과병원ㆍ의원,침구ㆍ커튼가게,커피음료점,컴퓨터판매점,통신판매업,패스트푸드점,펜션ㆍ게스트하우스,편의점,피부ㆍ비뇨기과 의원,피부관리업,피시방,한방병원ㆍ한의원,한식전문점,헬스클럽,호프전문점,화장품가게,휴대폰가게
0,합계,"2,448,536 ","7,546 ","1,602 ","16,555 ","10,092 ","13,512 ","13,020 ","1,182 ","13,695 ","7,238 ","10,169 ","1,635 ","4,998 ","35,579 ",931 ,"1,837 ","12,002 ","56,234 ","21,208 ","14,519 ","1,116 ","3,305 ","24,009 ","22,956 ","24,024 ","11,435 ","29,806 ","12,239 ","17,984 ","9,642 ","4,172 ","5,439 ","9,148 ","102,997 ","6,592 ","1,040 ","7,548 ","128,305 ","54,053 ","14,369 ","1,680 ","11,625 ","8,376 ","1,497 ","12,564 ","23,649 ","28,979 ","25,531 ","8,295 ","15,068 ","8,112 ","48,238 ","1,796 ","6,480 ","5,054 ","59,198 ","2,202 ","9,218 ","1,669 ","8,103 ","22,921 ","20,609 ","14,046 ","30,967 ",873 ,"85,217 ","7,191 ","2,653 ","11,978 ","2,617 ","4,913 ","17,819 ","44,441 ","2,518 ","3,013 ","19,829 ","17,548 ","3,446 ","10,961 ","7,968 ","4,839 ","24,761 ","11,633 ","8,800 ","18,374 ","9,836 ","65,340 ","5,061 ","297,469 ","40,331 ","14,826 ","42,982 ","3,975 ","39,647 ","9,931 ","14,901 ","390,451 ","8,037 ","31,476 ","34,886 ","18,385 "
1,서울특별시,"487,912 ","1,027 ",77 ,"2,748 ","1,539 ","4,306 ","2,630 ",260 ,"2,214 ",752 ,"2,635 ",440 ,642 ,"7,493 ",404 ,849 ,"1,284 ","10,358 ","3,807 ","3,221 ",307 ,911 ,"7,325 ","4,406 ","4,380 ","2,483 ","5,662 ","2,149 ","3,154 ","3,328 ",831 ,702 ,"1,536 ","18,123 ","1,985 ",738 ,"3,929 ","31,572 ","10,817 ","4,678 ",504 ,"1,485 ","1,626 ",738 ,"5,181 ","4,570 ","3,866 ","4,695 ","2,255 ","1,491 ","1,859 ","5,411 ",517 ,"1,300 ",688 ,"14,106 ",360 ,"2,035 ",456 ,"1,298 ","5,154 ","1,876 ","5,522 ","5,485 ",167 ,"15,669 ","1,591 ",450 ,"2,152 ",700 ,"1,126 ","5,444 ","4,959 ",391 ,508 ,"2,758 ","3,632 ",441 ,435 ,"1,763 ",483 ,"4,822 ","1,565 ","1,362 ","4,913 ","1,249 ","12,798 ","1,044 ","87,346 ","6,628 ",767 ,"8,025 ","1,368 ","7,602 ","1,591 ","3,704 ","54,097 ","1,940 ","6,553 ","6,599 ","3,090 "
2,부산광역시,"160,868 ",497 ,56 ,993 ,606 ,871 ,837 ,57 ,831 ,504 ,682 ,113 ,336 ,"2,621 ",58 ,132 ,636 ,"3,576 ","1,400 ",986 ,66 ,231 ,"1,840 ","1,573 ","1,302 ",822 ,"1,688 ","1,109 ",945 ,439 ,239 ,730 ,524 ,"7,534 ",467 ,28 ,428 ,"8,181 ","4,037 ",825 ,100 ,"1,096 ",554 ,139 ,948 ,"1,341 ","1,823 ","1,695 ",503 ,693 ,792 ,"3,029 ",154 ,556 ,316 ,"4,175 ",132 ,643 ,133 ,594 ,"1,546 ","1,359 ","1,061 ","1,825 ",60 ,"7,049 ",587 ,214 ,"1,025 ",206 ,331 ,"1,020 ","2,385 ",111 ,190 ,"1,119 ","1,085 ",335 ,359 ,"1,767 ",236 ,"1,795 ",747 ,666 ,"1,315 ",702 ,"3,818 ",231 ,"18,272 ","2,650 ",183 ,"2,567 ",333 ,"2,862 ",626 ,"1,163 ","24,770 ",563 ,"1,704 ","2,448 ","1,367 "
3,대구광역시,"117,073 ",365 ,44 ,794 ,508 ,250 ,763 ,56 ,589 ,156 ,681 ,110 ,180 ,"2,684 ",32 ,87 ,383 ,"2,681 ",864 ,808 ,34 ,159 ,"1,214 ","1,202 ","1,142 ",578 ,"1,660 ",490 ,670 ,415 ,172 ,260 ,352 ,"5,524 ",308 ,23 ,285 ,"5,880 ","2,455 ",655 ,108 ,231 ,496 ,78 ,556 ,865 ,"1,646 ","1,248 ",337 ,635 ,531 ,"1,658 ",114 ,334 ,314 ,"2,740 ",94 ,477 ,101 ,358 ,"1,291 ",677 ,539 ,"1,424 ",40 ,"5,252 ",345 ,150 ,588 ,159 ,307 ,809 ,"2,254 ",154 ,133 ,"1,295 ",913 ,196 ,335 ,418 ,491 ,"1,241 ",451 ,336 ,900 ,641 ,"3,028 ",238 ,"13,710 ","1,566 ",54 ,"1,661 ",206 ,"1,704 ",561 ,888 ,"19,672 ",385 ,537 ,"2,095 ",995 
4,인천광역시,"124,990 ",298 ,68 ,"1,178 ",385 ,"1,376 ",561 ,76 ,657 ,372 ,347 ,64 ,197 ,"1,710 ",41 ,67 ,433 ,"2,528 ","1,358 ",614 ,28 ,147 ,805 ,949 ,961 ,596 ,"2,278 ",350 ,"1,123 ",449 ,187 ,208 ,489 ,"5,500 ",293 ,14 ,257 ,"6,987 ","2,576 ",663 ,82 ,758 ,388 ,47 ,528 ,"1,283 ","1,804 ","1,358 ",424 ,516 ,349 ,"2,110 ",73 ,333 ,211 ,"3,446 ",72 ,430 ,65 ,505 ,"1,116 ",817 ,404 ,"1,498 ",23 ,"3,988 ",302 ,92 ,410 ,136 ,271 ,950 ,"2,355 ",103 ,137 ,"1,058 ",801 ,147 ,290 ,291 ,261 ,"1,198 ",554 ,501 ,926 ,420 ,"3,190 ",216 ,"19,455 ","1,823 ",652 ,"2,283 ",180 ,"2,251 ",532 ,701 ,"18,181 ",429 ,"1,673 ","1,421 ",982 
5,광주광역시,"71,892 ",213 ,38 ,479 ,342 ,188 ,439 ,37 ,404 ,181 ,241 ,84 ,112 ,782 ,30 ,35 ,309 ,"2,413 ",395 ,519 ,37 ,128 ,386 ,934 ,768 ,332 ,"1,039 ",288 ,494 ,382 ,108 ,177 ,293 ,"3,279 ",223 ,11 ,215 ,"4,224 ","1,538 ",408 ,52 ,325 ,278 ,46 ,303 ,865 ,847 ,920 ,243 ,427 ,261 ,"1,416 ",52 ,211 ,112 ,"2,111 ",45 ,352 ,40 ,194 ,679 ,497 ,411 ,"1,102 ",25 ,"3,163 ",318 ,67 ,251 ,79 ,99 ,256 ,"1,505 ",61 ,77 ,547 ,498 ,177 ,274 ,261 ,230 ,484 ,247 ,288 ,646 ,384 ,"1,809 ",190 ,"6,573 ","1,136 ",23 ,"1,056 ",126 ,"1,674 ",392 ,411 ,"10,134 ",232 ,"2,142 ","1,180 ",583 
6,대전광역시,"71,531 ",215 ,39 ,558 ,299 ,77 ,393 ,30 ,459 ,125 ,220 ,69 ,152 ,"1,409 ",20 ,38 ,311 ,"1,255 ",693 ,488 ,26 ,146 ,590 ,544 ,708 ,380 ,"1,301 ",272 ,500 ,250 ,99 ,96 ,313 ,"3,338 ",167 ,88 ,221 ,"3,393 ","1,952 ",405 ,59 ,161 ,328 ,44 ,280 ,885 ,678 ,836 ,190 ,376 ,228 ,"1,341 ",74 ,193 ,151 ,"1,961 ",68 ,315 ,49 ,270 ,747 ,618 ,321 ,905 ,24 ,"2,789 ",267 ,63 ,409 ,80 ,143 ,434 ,"1,460 ",90 ,93 ,749 ,539 ,99 ,240 ,182 ,210 ,601 ,298 ,280 ,538 ,410 ,"2,347 ",184 ,"7,023 ","1,099 ",24 ,"1,176 ",110 ,"1,259 ",309 ,520 ,"11,762 ",261 ,870 ,"1,224 ",648 
7,울산광역시,"52,194 ",167 ,29 ,303 ,200 ,109 ,261 ,18 ,222 ,130 ,216 ,31 ,42 ,786 ,24 ,27 ,150 ,"1,653 ",417 ,340 ,20 ,49 ,654 ,528 ,527 ,223 ,738 ,226 ,493 ,240 ,72 ,183 ,192 ,"2,647 ",114 ,6 ,121 ,"2,326 ",779 ,230 ,44 ,396 ,192 ,19 ,166 ,445 ,865 ,584 ,144 ,283 ,222 ,753 ,25 ,111 ,183 ,"1,060 ",51 ,224 ,33 ,138 ,420 ,623 ,178 ,800 ,17 ,"1,787 ",116 ,73 ,368 ,47 ,77 ,267 ,"1,096 ",59 ,59 ,594 ,381 ,97 ,215 ,232 ,108 ,507 ,136 ,175 ,390 ,229 ,"1,511 ",86 ,"3,668 ","1,043 ",132 ,944 ,78 ,872 ,250 ,288 ,"10,896 ",130 ,346 ,973 ,495 
8,세종특별자치시,"13,340 ",25 ,4 ,73 ,44 ,15 ,30 ,12 ,54 ,11 ,58 ,7 ,31 ,283 ,5 ,11 ,101 ,456 ,79 ,120 ,4 ,19 ,161 ,110 ,107 ,63 ,143 ,41 ,93 ,41 ,26 ,14 ,78 ,424 ,23 ,*,19 ,"1,393 ",211 ,63 ,9 ,23 ,71 ,6 ,43 ,103 ,138 ,217 ,50 ,68 ,22 ,223 ,11 ,25 ,28 ,247 ,4 ,48 ,6 ,27 ,121 ,65 ,52 ,279 ,5 ,366 ,28 ,8 ,39 ,16 ,34 ,91 ,200 ,15 ,22 ,115 ,125 ,13 ,68 ,28 ,4 ,155 ,59 ,37 ,90 ,54 ,453 ,34 ,"1,499 ",324 ,8 ,273 ,17 ,186 ,44 ,82 ,"2,108 ",41 ,130 ,153 ,77 
9,경기도,"573,325 ","1,996 ",369 ,"4,879 ","1,970 ","2,706 ","3,192 ",382 ,"2,754 ",849 ,"2,155 ",249 ,879 ,"8,729 ",157 ,309 ,"1,923 ","14,947 ","5,166 ","3,295 ",260 ,656 ,"5,090 ","5,317 ","5,548 ","2,638 ","7,166 ","1,610 ","4,625 ","2,330 ","1,082 ",745 ,"2,121 ","23,286 ","1,232 ",93 ,982 ,"35,968 ","12,723 ","3,069 ",338 ,"1,249 ","1,995 ",193 ,"2,775 ","5,439 ","7,829 ","6,656 ","2,208 ","3,225 ","1,289 ","8,919 ",377 ,"1,260 ","1,325 ","17,517 ",488 ,"1,993 ",360 ,"2,500 ","5,110 ","3,189 ","1,786 ","8,538 ",131 ,"17,473 ","1,603 ",461 ,"2,113 ",659 ,"1,161 ","3,690 ","11,303 ",619 ,871 ,"4,266 ","4,082 ",700 ,"2,274 ","1,331 ","1,056 ","5,321 ","2,103 ","1,843 ","4,336 ","1,910 ","14,064 ","1,126 ","89,697 ","8,952 ","1,949 ","10,813 ",835 ,"9,424 ","2,312 ","3,255 ","80,947 ","1,933 ","6,598 ","7,925 ","4,184 "
