,A. 도시명,B. 업종전체,가구점,가스충전소,가전제품수리점,가전제품판매점,간이주점,간판광고물업,감정평가사,건강보조식품가게,건어물가게,건축사,결혼상담소,곡물가게,공부방,공인노무사,공인회계사,과일가게,교습학원,구내식당,기술및직업훈련학원,기술사,기타 일반의원,기타외국식전문점,기타음식점,꽃가게,내과ㆍ소아과 의원,노래방,담배가게,당구장,독서실,동물병원,목욕탕,문구점,미용실,법무사,변리사,변호사,부동산중개업,분식점,사진촬영업,산부인과 의원,생선가게,서점,성형외과 의원,세무사,세탁소,슈퍼마켓,스포츠교육기관,스포츠시설운영업,스포츠용품점,시계ㆍ귀금속점,식료품가게,신경정신과 의원,신발가게,실내스크린골프점,실내장식가게,실외골프연습장,안경점,안과 의원,애완용품점,약국,여관ㆍ모텔,여행사,예술학원,예식장,옷가게,의료용품가게,이륜자동차판매점,이발소,이비인후과 의원,일반외과 의원,일식전문점,자동차수리점,자전거판매점,장난감가게,정육점,제과점,종합병원,주유소,주차장운영업,중고차판매점,중식전문점,채소가게,철물점,치과병원ㆍ의원,침구ㆍ커튼가게,커피음료점,컴퓨터판매점,통신판매업,패스트푸드점,펜션ㆍ게스트하우스,편의점,피부ㆍ비뇨기과 의원,피부관리업,피시방,한방병원ㆍ한의원,한식전문점,헬스클럽,호프전문점,화장품가게,휴대폰가게
0,합계,"2,498,599","7,557","1,610","16,893","10,187","13,141","13,040","1,197","13,947","7,298","10,254","1,651","5,060","38,130",972,"1,840","12,189","56,304","20,832","15,030","1,126","3,316","24,437","22,714","24,253","11,441","29,288","12,347","17,874","9,685","4,215","5,365","9,095","103,880","6,622","1,050","7,638","130,468","54,057","14,637","1,674","11,956","8,405","1,515","12,812","23,940","28,863","25,919","8,575","15,198","8,134","48,460","1,821","6,452","5,159","60,547","2,183","9,241","1,671","8,312","23,089","20,398","13,803","30,901",847,"85,272","7,226","2,687","12,033","2,622","4,946","17,972","44,748","2,520","3,033","20,019","17,763","3,440","10,967","8,136","4,807","24,819","11,960","8,779","18,454","9,863","68,579","5,121","324,724","41,623","15,685","44,005","4,028","40,876","10,113","14,925","393,515","8,272","30,825","35,092","18,635"
1,서울특별시,"498,716","1,024",76,"2,812","1,550","4,162","2,599",262,"2,282",766,"2,664",443,643,"7,731",416,847,"1,302","10,372","3,720","3,320",311,912,"7,458","4,364","4,415","2,489","5,580","2,156","3,114","3,278",836,679,"1,545","18,219","1,989",743,"3,972","32,127","10,738","4,762",500,"1,502","1,621",748,"5,307","4,651","3,832","4,769","2,334","1,505","1,871","5,462",533,"1,275",696,"14,272",354,"2,021",456,"1,320","5,193","1,817","5,375","5,448",165,"15,632","1,604",456,"2,164",700,"1,141","5,480","4,967",393,513,"2,773","3,669",439,436,"1,779",480,"4,826","1,611","1,358","4,932","1,242","13,286","1,047","95,356","6,861",758,"8,110","1,383","7,756","1,631","3,708","54,448","2,006","6,361","6,605","3,100"
2,인천광역시,"128,028",299,70,"1,195",391,"1,319",558,78,663,380,348,65,210,"1,772",43,68,441,"2,514","1,342",626,28,148,822,941,965,592,"2,240",372,"1,128",460,192,202,480,"5,533",294,16,259,"7,122","2,558",659,82,772,392,49,539,"1,298","1,788","1,375",450,519,359,"2,107",73,332,217,"3,570",70,425,65,522,"1,117",809,403,"1,492",22,"4,002",301,92,408,138,270,960,"2,373",102,142,"1,066",808,149,292,305,247,"1,196",568,494,937,425,"3,419",210,"21,236","1,923",695,"2,355",184,"2,299",536,697,"18,425",443,"1,645","1,428","1,018"
3,경기도,"589,504","2,025",374,"4,979","2,003","2,660","3,230",384,"2,816",868,"2,172",250,892,"9,534",171,317,"1,965","14,968","5,077","3,473",262,659,"5,182","5,288","5,603","2,644","7,038","1,663","4,555","2,329","1,091",737,"2,100","23,529","1,244",94,994,"36,623","12,733","3,169",337,"1,306","2,020",195,"2,830","5,503","7,815","6,758","2,286","3,305","1,292","9,067",382,"1,255","1,362","17,996",486,"2,019",360,"2,567","5,154","3,167","1,781","8,514",127,"17,596","1,642",473,"2,130",662,"1,173","3,772","11,433",620,882,"4,327","4,153",699,"2,290","1,377","1,037","5,367","2,167","1,833","4,359","1,921","14,876","1,180","98,488","9,216","2,082","11,144",850,"9,757","2,471","3,282","81,894","1,990","6,467","8,026","4,289"
4,강원도,"88,082",300,94,577,465,396,520,35,519,657,338,34,330,"1,044",17,14,306,"1,450",584,444,39,65,796,986,769,323,828,566,781,160,104,182,364,"3,623",195,*,119,"2,664","1,676",424,37,588,236,17,175,959,991,706,250,886,233,"2,813",40,240,171,"1,243",107,253,43,235,686,"1,544",352,888,36,"3,145",188,93,659,51,134,944,"1,790",86,97,878,599,86,640,153,154,"1,049",815,474,402,397,"2,459",189,"4,433","1,917","2,790","1,830",62,"1,171",433,371,"19,801",238,"1,303","1,102",631
5,대전광역시,"72,543",211,40,564,304,80,388,29,467,127,221,70,155,"1,442",22,37,320,"1,263",678,515,27,147,609,531,714,379,"1,276",277,495,263,102,97,308,"3,353",170,89,229,"3,432","1,959",410,59,166,325,45,280,877,674,840,191,372,232,"1,333",74,199,148,"1,995",68,317,49,275,748,606,312,899,22,"2,789",260,65,410,81,146,433,"1,458",88,91,755,538,99,245,184,217,613,309,279,540,411,"2,441",185,"7,675","1,135",26,"1,207",113,"1,283",300,518,"11,727",265,841,"1,245",665
6,충청북도,"79,270",272,74,488,420,430,383,30,431,110,301,52,246,"1,013",18,32,645,"1,467",743,398,33,95,546,726,901,321,"1,110",524,693,199,112,150,328,"3,530",170,4,107,"2,991","2,210",313,45,188,241,25,174,896,959,761,194,641,255,"2,233",48,218,188,"1,402",97,290,38,240,677,850,275,876,36,"2,919",191,89,420,60,175,480,"1,839",82,84,785,553,101,712,163,190,916,515,344,438,390,"2,291",188,"6,089","1,665",478,"1,573",79,"1,226",341,402,"15,570",273,"1,626","1,001",559
7,충청남도,"104,524",287,130,688,535,598,481,38,"1,281",635,357,74,387,"1,290",27,42,682,"1,863","1,006",575,34,99,723,946,"1,123",450,"1,190",588,772,243,191,195,428,"4,332",220,6,147,"4,306","2,343",413,49,734,356,27,267,"1,140","1,222",938,224,999,315,"3,335",52,273,216,"1,637",93,343,52,359,969,"1,474",317,"1,114",65,"3,299",293,144,638,58,196,711,"2,486",115,140,"1,013",723,140,"1,013",147,216,"1,227",715,461,574,501,"2,963",218,"8,146","2,150","1,350","2,336",99,"1,435",434,518,"19,785",289,"1,480","1,334",882
8,세종특별자치시,"13,805",27,4,80,45,15,31,12,57,13,57,7,32,307,5,11,104,472,77,124,5,20,166,114,108,66,143,43,97,42,26,14,78,434,24,*,18,"1,445",216,62,9,26,73,5,44,105,144,217,50,77,22,218,12,26,31,274,4,48,6,30,131,64,53,281,5,362,30,8,41,16,34,93,201,15,21,119,124,13,68,29,3,154,61,37,89,55,485,38,"1,647",332,8,281,16,196,45,82,"2,140",43,124,162,76
9,광주광역시,"72,783",217,38,486,345,180,433,36,409,175,240,81,112,828,29,34,312,"2,410",395,537,37,128,393,894,769,332,"1,020",287,501,390,108,175,287,"3,312",220,11,220,"4,261","1,556",411,53,335,274,47,306,879,835,931,245,437,263,"1,408",52,214,112,"2,153",43,352,41,191,681,495,403,"1,107",23,"3,148",317,65,253,80,97,261,"1,512",60,72,554,502,177,277,272,232,474,256,290,646,379,"1,899",182,"7,036","1,200",27,"1,062",126,"1,723",406,407,"10,186",237,"2,091","1,199",589
