,A. 도시명,B. 업종전체,가구점,가스충전소,가전제품수리점,가전제품판매점,간이주점,간판광고물업,감정평가사,건강보조식품가게,건어물가게,건축사,결혼상담소,곡물가게,공부방,공인노무사,공인회계사,과일가게,교습학원,구내식당,기술및직업훈련학원,기술사,기타 일반의원,기타외국식전문점,기타음식점,꽃가게,내과ㆍ소아과 의원,노래방,담배가게,당구장,독서실,동물병원,목욕탕,문구점,미용실,법무사,변리사,변호사,부동산중개업,분식점,사진촬영업,산부인과 의원,생선가게,서점,성형외과 의원,세무사,세탁소,슈퍼마켓,스포츠교육기관,스포츠시설운영업,스포츠용품점,시계ㆍ귀금속점,식료품가게,신경정신과 의원,신발가게,실내스크린골프점,실내장식가게,실외골프연습장,안경점,안과 의원,애완용품점,약국,여관ㆍ모텔,여행사,예술학원,예식장,옷가게,의료용품가게,이륜자동차판매점,이발소,이비인후과 의원,일반외과 의원,일식전문점,자동차수리점,자전거판매점,장난감가게,정육점,제과점,종합병원,주유소,주차장운영업,중고차판매점,중식전문점,채소가게,철물점,치과병원ㆍ의원,침구ㆍ커튼가게,커피음료점,컴퓨터판매점,통신판매업,패스트푸드점,펜션ㆍ게스트하우스,편의점,피부ㆍ비뇨기과 의원,피부관리업,피시방,한방병원ㆍ한의원,한식전문점,헬스클럽,호프전문점,화장품가게,휴대폰가게
0,합계,"2,418,349 ","7,484 ","1,623 ","16,195 ","10,020 ","13,838 ","13,014 ","1,172 ","13,563 ","7,141 ","10,156 ","1,623 ","4,969 ","34,847 ",922 ,"1,835 ","11,767 ","56,183 ","21,392 ","14,253 ","1,104 ","3,300 ","23,850 ","23,063 ","23,869 ","11,428 ","29,965 ","12,292 ","17,992 ","9,614 ","4,139 ","5,456 ","9,150 ","102,438 ","6,518 ","1,034 ","7,504 ","127,371 ","53,864 ","14,254 ","1,680 ","11,383 ","8,345 ","1,488 ","12,524 ","23,433 ","28,984 ","25,370 ","8,125 ","14,987 ","8,148 ","47,952 ","1,781 ","6,453 ","5,007 ","58,166 ","2,202 ","9,229 ","1,671 ","8,030 ","22,840 ","20,768 ","14,155 ","30,947 ",886 ,"84,959 ","7,158 ","2,644 ","11,812 ","2,610 ","4,894 ","17,793 ","44,212 ","2,511 ","3,007 ","19,687 ","17,299 ","3,429 ","10,681 ","7,907 ","4,832 ","24,673 ","11,289 ","8,794 ","18,349 ","9,769 ","63,537 ","5,016 ","282,079 ","39,647 ","14,116 ","42,465 ","3,946 ","39,029 ","9,980 ","14,886 ","387,736 ","7,928 ","31,959 ","34,735 ","18,225 "
1,서울특별시,"481,508 ","1,012 ",79 ,"2,665 ","1,522 ","4,429 ","2,643 ",256 ,"2,198 ",743 ,"2,621 ",437 ,642 ,"7,376 ",403 ,848 ,"1,237 ","10,319 ","3,849 ","3,176 ",301 ,907 ,"7,298 ","4,425 ","4,365 ","2,486 ","5,692 ","2,167 ","3,166 ","3,355 ",830 ,705 ,"1,543 ","18,074 ","1,959 ",736 ,"3,890 ","31,342 ","10,819 ","4,653 ",503 ,"1,444 ","1,625 ",730 ,"5,158 ","4,547 ","3,866 ","4,666 ","2,224 ","1,468 ","1,864 ","5,403 ",509 ,"1,305 ",683 ,"13,985 ",363 ,"2,043 ",454 ,"1,298 ","5,140 ","1,915 ","5,563 ","5,455 ",170 ,"15,630 ","1,590 ",452 ,"2,147 ",696 ,"1,119 ","5,463 ","4,931 ",393 ,514 ,"2,748 ","3,582 ",442 ,394 ,"1,755 ",489 ,"4,848 ","1,510 ","1,364 ","4,917 ","1,247 ","12,468 ","1,028 ","82,828 ","6,503 ",763 ,"7,998 ","1,355 ","7,537 ","1,595 ","3,711 ","53,726 ","1,914 ","6,692 ","6,544 ","3,066 "
2,인천광역시,"123,300 ",301 ,70 ,"1,146 ",377 ,"1,425 ",556 ,76 ,647 ,373 ,350 ,66 ,197 ,"1,677 ",37 ,68 ,425 ,"2,528 ","1,360 ",603 ,27 ,149 ,809 ,958 ,957 ,596 ,"2,289 ",348 ,"1,128 ",444 ,186 ,211 ,484 ,"5,473 ",288 ,14 ,256 ,"6,902 ","2,564 ",662 ,82 ,756 ,376 ,47 ,525 ,"1,259 ","1,795 ","1,357 ",418 ,510 ,353 ,"2,089 ",73 ,336 ,208 ,"3,369 ",73 ,428 ,65 ,504 ,"1,113 ",819 ,408 ,"1,503 ",24 ,"3,966 ",306 ,92 ,410 ,136 ,268 ,946 ,"2,340 ",100 ,142 ,"1,056 ",791 ,146 ,270 ,292 ,266 ,"1,190 ",536 ,498 ,924 ,421 ,"3,109 ",218 ,"18,538 ","1,792 ",625 ,"2,254 ",177 ,"2,233 ",519 ,696 ,"18,035 ",425 ,"1,693 ","1,422 ",951 
3,경기도,"564,220 ","1,947 ",379 ,"4,751 ","1,947 ","2,745 ","3,193 ",381 ,"2,706 ",811 ,"2,153 ",247 ,871 ,"8,532 ",153 ,309 ,"1,840 ","14,957 ","5,208 ","3,208 ",255 ,654 ,"5,045 ","5,365 ","5,516 ","2,630 ","7,194 ","1,601 ","4,634 ","2,325 ","1,069 ",750 ,"2,133 ","23,171 ","1,223 ",90 ,979 ,"35,692 ","12,714 ","3,031 ",338 ,"1,230 ","1,979 ",192 ,"2,778 ","5,386 ","7,803 ","6,633 ","2,160 ","3,179 ","1,302 ","8,817 ",376 ,"1,245 ","1,314 ","17,224 ",488 ,"1,995 ",360 ,"2,446 ","5,075 ","3,209 ","1,800 ","8,548 ",137 ,"17,386 ","1,576 ",461 ,"2,101 ",657 ,"1,156 ","3,661 ","11,202 ",612 ,852 ,"4,245 ","4,033 ",691 ,"2,185 ","1,308 ","1,039 ","5,288 ","1,990 ","1,844 ","4,321 ","1,887 ","13,648 ","1,109 ","84,743 ","8,754 ","1,880 ","10,638 ",828 ,"9,232 ","2,319 ","3,242 ","80,378 ","1,905 ","6,646 ","7,883 ","4,097 "
4,강원도,"85,671 ",305 ,96 ,566 ,456 ,411 ,511 ,33 ,497 ,655 ,337 ,29 ,331 ,944 ,15 ,13 ,298 ,"1,456 ",607 ,421 ,40 ,65 ,774 ,"1,008 ",743 ,326 ,841 ,564 ,784 ,159 ,101 ,179 ,366 ,"3,588 ",189 ,*,119 ,"2,610 ","1,635 ",413 ,37 ,528 ,237 ,17 ,174 ,940 ,"1,002 ",701 ,243 ,869 ,235 ,"2,776 ",40 ,231 ,162 ,"1,177 ",107 ,250 ,44 ,219 ,680 ,"1,559 ",348 ,891 ,37 ,"3,120 ",188 ,90 ,651 ,50 ,136 ,957 ,"1,778 ",89 ,95 ,850 ,573 ,83 ,630 ,149 ,156 ,"1,046 ",771 ,461 ,398 ,396 ,"2,260 ",185 ,"3,809 ","1,875 ","2,387 ","1,740 ",59 ,"1,123 ",424 ,367 ,"19,516 ",229 ,"1,331 ","1,085 ",624 
5,대전광역시,"70,954 ",210 ,39 ,549 ,301 ,77 ,395 ,30 ,456 ,124 ,216 ,69 ,149 ,"1,386 ",21 ,38 ,306 ,"1,260 ",701 ,481 ,26 ,147 ,601 ,549 ,703 ,379 ,"1,299 ",274 ,509 ,245 ,99 ,97 ,317 ,"3,328 ",167 ,86 ,226 ,"3,352 ","1,941 ",403 ,60 ,154 ,327 ,44 ,279 ,883 ,688 ,831 ,186 ,377 ,228 ,"1,339 ",74 ,193 ,151 ,"1,935 ",65 ,317 ,49 ,269 ,750 ,640 ,325 ,906 ,24 ,"2,773 ",267 ,59 ,405 ,81 ,144 ,429 ,"1,449 ",93 ,92 ,748 ,523 ,99 ,221 ,179 ,202 ,590 ,290 ,281 ,537 ,409 ,"2,304 ",186 ,"6,765 ","1,072 ",23 ,"1,164 ",110 ,"1,235 ",312 ,522 ,"11,700 ",257 ,888 ,"1,236 ",659 
6,충청북도,"77,371 ",276 ,75 ,471 ,425 ,451 ,378 ,28 ,432 ,110 ,295 ,52 ,243 ,829 ,18 ,33 ,637 ,"1,449 ",766 ,385 ,35 ,95 ,529 ,721 ,893 ,321 ,"1,136 ",522 ,700 ,193 ,108 ,150 ,325 ,"3,498 ",169 ,4 ,104 ,"2,890 ","2,205 ",310 ,45 ,168 ,245 ,24 ,171 ,882 ,967 ,740 ,178 ,653 ,259 ,"2,207 ",48 ,223 ,179 ,"1,350 ",99 ,288 ,38 ,236 ,674 ,857 ,280 ,876 ,36 ,"2,902 ",184 ,90 ,418 ,60 ,176 ,475 ,"1,836 ",82 ,82 ,784 ,539 ,96 ,705 ,159 ,193 ,911 ,494 ,348 ,438 ,392 ,"2,149 ",184 ,"5,300 ","1,596 ",409 ,"1,523 ",78 ,"1,162 ",333 ,402 ,"15,380 ",267 ,"1,683 ","1,011 ",546 
7,충청남도,"101,737 ",297 ,126 ,680 ,519 ,625 ,467 ,35 ,"1,256 ",630 ,355 ,75 ,388 ,"1,192 ",24 ,42 ,657 ,"1,846 ","1,024 ",547 ,31 ,102 ,688 ,949 ,"1,094 ",443 ,"1,199 ",577 ,786 ,240 ,190 ,199 ,429 ,"4,259 ",219 ,6 ,144 ,"4,192 ","2,323 ",397 ,48 ,707 ,345 ,28 ,261 ,"1,123 ","1,190 ",913 ,223 ,"1,001 ",313 ,"3,317 ",52 ,273 ,211 ,"1,554 ",93 ,341 ,51 ,339 ,948 ,"1,483 ",325 ,"1,104 ",70 ,"3,270 ",291 ,144 ,608 ,57 ,192 ,723 ,"2,452 ",114 ,135 ,"1,003 ",705 ,140 ,998 ,134 ,215 ,"1,210 ",698 ,457 ,571 ,500 ,"2,774 ",215 ,"7,053 ","2,076 ","1,249 ","2,262 ",97 ,"1,380 ",436 ,524 ,"19,518 ",276 ,"1,535 ","1,302 ",858 
8,세종특별자치시,"13,108 ",25 ,4 ,72 ,42 ,14 ,29 ,12 ,52 ,12 ,59 ,7 ,31 ,267 ,5 ,11 ,103 ,442 ,80 ,119 ,4 ,20 ,160 ,109 ,106 ,64 ,145 ,39 ,92 ,40 ,26 ,14 ,80 ,420 ,22 ,*,18 ,"1,392 ",204 ,60 ,9 ,23 ,68 ,6 ,43 ,101 ,133 ,207 ,44 ,65 ,19 ,222 ,11 ,24 ,26 ,239 ,4 ,47 ,6 ,30 ,120 ,66 ,54 ,272 ,5 ,364 ,28 ,8 ,38 ,16 ,34 ,92 ,202 ,15 ,26 ,114 ,121 ,13 ,68 ,25 ,4 ,152 ,58 ,39 ,89 ,51 ,438 ,37 ,"1,405 ",328 ,7 ,267 ,16 ,183 ,42 ,80 ,"2,095 ",43 ,141 ,150 ,73 
9,광주광역시,"71,367 ",215 ,40 ,471 ,344 ,192 ,438 ,37 ,408 ,176 ,242 ,83 ,110 ,772 ,30 ,36 ,299 ,"2,421 ",399 ,512 ,37 ,127 ,386 ,952 ,766 ,333 ,"1,051 ",289 ,491 ,373 ,107 ,176 ,291 ,"3,250 ",221 ,11 ,216 ,"4,196 ","1,551 ",403 ,51 ,320 ,279 ,46 ,301 ,863 ,854 ,908 ,241 ,428 ,259 ,"1,417 ",49 ,206 ,112 ,"2,080 ",47 ,351 ,40 ,198 ,676 ,502 ,413 ,"1,105 ",25 ,"3,177 ",314 ,66 ,251 ,78 ,99 ,260 ,"1,508 ",61 ,80 ,546 ,490 ,175 ,259 ,262 ,233 ,487 ,229 ,290 ,644 ,383 ,"1,757 ",186 ,"6,306 ","1,112 ",23 ,"1,061 ",126 ,"1,651 ",399 ,413 ,"10,031 ",234 ,"2,190 ","1,185 ",578 
