,A. 도시명,B. 업종전체,가구점,가스충전소,가전제품수리점,가전제품판매점,간이주점,간판광고물업,감정평가사,건강보조식품가게,건어물가게,건축사,결혼상담소,곡물가게,공부방,공인노무사,공인회계사,과일가게,교습학원,구내식당,기술및직업훈련학원,기술사,기타 일반의원,기타외국식전문점,기타음식점,꽃가게,내과ㆍ소아과 의원,노래방,담배가게,당구장,독서실,동물병원,목욕탕,문구점,미용실,법무사,변리사,변호사,부동산중개업,분식점,사진촬영업,산부인과 의원,생선가게,서점,성형외과 의원,세무사,세탁소,슈퍼마켓,스포츠교육기관,스포츠시설운영업,스포츠용품점,시계ㆍ귀금속점,식료품가게,신경정신과 의원,신발가게,실내스크린골프점,실내장식가게,실외골프연습장,안경점,안과 의원,애완용품점,약국,여관ㆍ모텔,여행사,예술학원,예식장,옷가게,의료용품가게,이륜자동차판매점,이발소,이비인후과 의원,일반외과 의원,일식전문점,자동차수리점,자전거판매점,장난감가게,정육점,제과점,종합병원,주유소,주차장운영업,중고차판매점,중식전문점,채소가게,철물점,치과병원ㆍ의원,침구ㆍ커튼가게,커피음료점,컴퓨터판매점,통신판매업,패스트푸드점,펜션ㆍ게스트하우스,편의점,피부ㆍ비뇨기과 의원,피부관리업,피시방,한방병원ㆍ한의원,한식전문점,헬스클럽,호프전문점,화장품가게,휴대폰가게
0,합계," 2,407,656 "," 7,485 "," 1,613 "," 15,676 "," 10,022 "," 14,308 "," 12,991 "," 1,169 "," 13,495 "," 7,176 "," 9,997 "," 1,599 "," 5,005 "," 34,286 ", 915 ," 1,830 "," 11,795 "," 56,102 "," 21,616 "," 14,058 "," 1,086 "," 3,293 "," 23,870 "," 23,385 "," 23,767 "," 11,425 "," 30,244 "," 12,506 "," 18,130 "," 9,666 "," 4,098 "," 5,500 "," 9,173 "," 102,117 "," 6,489 "," 1,035 "," 7,407 "," 126,227 "," 54,016 "," 14,215 "," 1,676 "," 11,351 "," 8,319 "," 1,480 "," 12,528 "," 23,384 "," 29,226 "," 25,151 "," 8,060 "," 14,990 "," 8,160 "," 48,396 "," 1,761 "," 6,507 "," 4,951 "," 57,280 "," 2,230 "," 9,225 "," 1,667 "," 8,018 "," 22,736 "," 20,926 "," 14,215 "," 30,954 ", 893 ," 85,855 "," 7,123 "," 2,649 "," 11,812 "," 2,607 "," 4,877 "," 17,914 "," 44,140 "," 2,527 "," 3,036 "," 19,685 "," 17,204 "," 3,406 "," 10,675 "," 7,880 "," 4,794 "," 24,716 "," 11,277 "," 8,798 "," 18,314 "," 9,853 "," 62,278 "," 5,000 "," 275,378 "," 39,210 "," 13,814 "," 41,978 "," 3,939 "," 38,312 "," 10,088 "," 14,834 "," 387,067 "," 7,818 "," 32,799 "," 34,935 "," 18,193 "
1,서울특별시," 480,266 "," 1,018 ", 78 ," 2,604 "," 1,523 "," 4,619 "," 2,655 ", 253 ," 2,173 ", 748 ," 2,570 ", 432 , 648 ," 7,288 ", 401 , 839 ," 1,234 "," 10,335 "," 3,896 "," 3,145 ", 299 , 903 ," 7,295 "," 4,474 "," 4,357 "," 2,490 "," 5,744 "," 2,199 "," 3,188 "," 3,402 ", 819 , 716 ," 1,546 "," 18,072 "," 1,950 ", 734 ," 3,816 "," 31,173 "," 10,912 "," 4,632 ", 503 ," 1,450 "," 1,643 ", 727 ," 5,161 "," 4,563 "," 3,913 "," 4,621 "," 2,214 "," 1,460 "," 1,876 "," 5,415 ", 499 ," 1,319 ", 677 ," 13,867 ", 367 ," 2,046 ", 453 ," 1,305 "," 5,103 "," 1,955 "," 5,599 "," 5,475 ", 167 ," 15,896 "," 1,600 ", 461 ," 2,150 ", 695 ," 1,107 "," 5,511 "," 4,949 ", 397 , 534 ," 2,759 "," 3,576 ", 441 , 393 ," 1,765 ", 483 ," 4,881 "," 1,514 "," 1,378 "," 4,917 "," 1,281 "," 12,291 "," 1,023 "," 81,532 "," 6,406 ", 741 ," 7,989 "," 1,349 "," 7,404 "," 1,623 "," 3,695 "," 53,503 "," 1,877 "," 6,883 "," 6,638 "," 3,066 "
2,인천광역시," 122,585 ", 302 , 67 ," 1,103 ", 370 ," 1,476 ", 552 , 77 , 647 , 372 , 347 , 65 , 197 ," 1,663 ", 38 , 68 , 414 ," 2,516 "," 1,373 ", 588 , 28 , 148 , 806 , 963 , 944 , 592 ," 2,315 ", 356 ," 1,140 ", 436 , 188 , 212 , 481 ," 5,452 ", 286 , 15 , 250 ," 6,802 "," 2,575 ", 664 , 81 , 749 , 367 , 48 , 525 ," 1,244 "," 1,817 "," 1,358 ", 416 , 506 , 353 ," 2,101 ", 73 , 337 , 202 ," 3,319 ", 76 , 426 , 65 , 503 ," 1,108 ", 827 , 409 ," 1,506 ", 25 ," 4,043 ", 309 , 92 , 412 , 137 , 268 , 950 ," 2,338 ", 104 , 141 ," 1,058 ", 794 , 144 , 273 , 296 , 271 ," 1,188 ", 530 , 499 , 921 , 423 ," 3,035 ", 217 ," 18,156 "," 1,771 ", 622 ," 2,241 ", 178 ," 2,192 ", 511 , 698 ," 17,927 ", 420 ," 1,725 "," 1,431 ", 941 
3,경기도," 558,878 "," 1,934 ", 367 ," 4,578 "," 1,942 "," 2,808 "," 3,188 ", 379 ," 2,681 ", 812 ," 2,108 ", 246 , 881 ," 8,413 ", 150 , 311 ," 1,831 "," 14,934 "," 5,253 "," 3,163 ", 252 , 655 ," 5,022 "," 5,453 "," 5,501 "," 2,617 "," 7,235 "," 1,625 "," 4,668 "," 2,360 "," 1,055 ", 757 ," 2,126 "," 23,066 "," 1,221 ", 90 , 973 ," 35,294 "," 12,701 "," 3,036 ", 337 ," 1,223 "," 1,960 ", 188 ," 2,779 "," 5,373 "," 7,865 "," 6,559 "," 2,157 "," 3,171 "," 1,301 "," 8,854 ", 372 ," 1,235 "," 1,295 "," 16,991 ", 497 ," 1,993 ", 359 ," 2,441 "," 5,043 "," 3,238 "," 1,789 "," 8,570 ", 142 ," 17,501 "," 1,565 ", 454 ," 2,102 ", 657 ," 1,150 "," 3,665 "," 11,162 ", 611 , 859 ," 4,244 "," 4,002 ", 676 ," 2,163 "," 1,295 "," 1,021 "," 5,285 "," 1,971 "," 1,843 "," 4,302 "," 1,890 "," 13,299 "," 1,097 "," 81,585 "," 8,603 "," 1,843 "," 10,451 ", 829 ," 8,999 "," 2,341 "," 3,229 "," 80,175 "," 1,873 "," 6,790 "," 7,857 "," 4,071 "
4,강원도," 85,671 ", 300 , 94 , 541 , 462 , 425 , 514 , 33 , 504 , 654 , 337 , 29 , 337 , 904 , 15 , 13 , 300 ," 1,458 ", 619 , 421 , 41 , 67 , 775 ," 1,038 ", 743 , 324 , 841 , 576 , 790 , 155 , 100 , 181 , 375 ," 3,576 ", 189 , * , 118 ," 2,610 "," 1,632 ", 415 , 37 , 528 , 238 , 17 , 174 , 934 ," 1,010 ", 692 , 240 , 860 , 236 ," 2,824 ", 40 , 237 , 161 ," 1,121 ", 107 , 252 , 43 , 220 , 670 ," 1,570 ", 346 , 895 , 37 ," 3,158 ", 184 , 90 , 654 , 50 , 134 , 966 ," 1,784 ", 90 , 96 , 856 , 565 , 83 , 631 , 150 , 153 ," 1,045 ", 787 , 455 , 398 , 400 ," 2,218 ", 184 ," 3,748 "," 1,876 "," 2,348 "," 1,708 ", 58 ," 1,118 ", 426 , 366 ," 19,586 ", 229 ," 1,361 "," 1,093 ", 627 
5,대전광역시," 70,759 ", 211 , 38 , 535 , 297 , 76 , 393 , 30 , 457 , 123 , 214 , 67 , 147 ," 1,361 ", 20 , 38 , 306 ," 1,268 ", 702 , 479 , 26 , 145 , 597 , 572 , 698 , 379 ," 1,312 ", 283 , 517 , 242 , 98 , 99 , 322 ," 3,332 ", 165 , 88 , 226 ," 3,320 "," 1,969 ", 401 , 60 , 155 , 330 , 45 , 280 , 883 , 684 , 823 , 184 , 376 , 225 ," 1,357 ", 74 , 198 , 152 ," 1,890 ", 68 , 319 , 49 , 267 , 750 , 642 , 326 , 899 , 23 ," 2,782 ", 266 , 59 , 410 , 81 , 145 , 441 ," 1,445 ", 95 , 94 , 751 , 522 , 98 , 230 , 180 , 200 , 594 , 289 , 283 , 537 , 412 ," 2,263 ", 186 ," 6,594 "," 1,070 ", 20 ," 1,148 ", 112 ," 1,213 ", 324 , 519 ," 11,690 ", 258 , 930 ," 1,246 ", 660 
6,충청북도," 77,237 ", 280 , 76 , 458 , 433 , 467 , 376 , 28 , 437 , 114 , 286 , 52 , 243 , 827 , 18 , 33 , 648 ," 1,441 ", 763 , 381 , 34 , 94 , 526 , 734 , 891 , 324 ," 1,147 ", 527 , 705 , 195 , 109 , 148 , 325 ," 3,477 ", 169 , 4 , 106 ," 2,852 "," 2,221 ", 310 , 45 , 163 , 249 , 23 , 170 , 887 , 979 , 741 , 183 , 648 , 258 ," 2,235 ", 47 , 226 , 176 ," 1,309 ", 101 , 289 , 38 , 236 , 675 , 857 , 281 , 881 , 35 ," 2,947 ", 184 , 89 , 420 , 59 , 175 , 475 ," 1,823 ", 83 , 85 , 786 , 538 , 96 , 712 , 156 , 193 , 904 , 490 , 354 , 437 , 396 ," 2,107 ", 184 ," 5,204 "," 1,576 ", 383 ," 1,506 ", 77 ," 1,146 ", 339 , 404 ," 15,333 ", 268 ," 1,733 "," 1,038 ", 546 
7,충청남도," 101,352 ", 293 , 133 , 646 , 516 , 643 , 458 , 35 ," 1,249 ", 629 , 351 , 73 , 390 ," 1,168 ", 24 , 43 , 656 ," 1,851 "," 1,038 ", 534 , 31 , 101 , 676 , 965 ," 1,089 ", 439 ," 1,205 ", 584 , 806 , 236 , 188 , 200 , 438 ," 4,256 ", 218 , 6 , 142 ," 4,168 "," 2,329 ", 396 , 48 , 707 , 348 , 28 , 262 ," 1,125 "," 1,214 ", 911 , 215 ," 1,002 ", 313 ," 3,346 ", 52 , 276 , 209 ," 1,531 ", 96 , 342 , 51 , 335 , 955 ," 1,493 ", 324 ," 1,108 ", 70 ," 3,296 ", 281 , 146 , 607 , 57 , 191 , 725 ," 2,439 ", 111 , 131 ," 1,003 ", 688 , 141 , 994 , 135 , 214 ," 1,225 ", 697 , 452 , 570 , 504 ," 2,710 ", 216 ," 6,820 "," 2,055 "," 1,233 "," 2,212 ", 99 ," 1,356 ", 437 , 521 ," 19,522 ", 275 ," 1,576 "," 1,296 ", 853 
8,세종특별자치시," 12,889 ", 26 , 4 , 71 , 42 , 14 , 29 , 12 , 52 , 12 , 57 , 6 , 30 , 257 , 5 , 11 , 105 , 430 , 78 , 115 , 3 , 20 , 160 , 106 , 103 , 64 , 145 , 39 , 91 , 38 , 25 , 13 , 79 , 417 , 22 , * , 18 ," 1,368 ", 207 , 56 , 9 , 25 , 67 , 5 , 42 , 98 , 137 , 200 , 42 , 66 , 18 , 228 , 11 , 23 , 26 , 234 , 4 , 45 , 6 , 25 , 116 , 66 , 57 , 265 , 5 , 362 , 26 , 8 , 37 , 15 , 34 , 93 , 198 , 14 , 27 , 115 , 123 , 12 , 67 , 25 , 4 , 149 , 58 , 39 , 88 , 51 , 427 , 35 ," 1,317 ", 331 , 7 , 268 , 16 , 171 , 43 , 77 ," 2,087 ", 40 , 147 , 154 , 73 
9,광주광역시," 70,997 ", 214 , 38 , 459 , 348 , 191 , 434 , 36 , 399 , 176 , 239 , 80 , 116 , 751 , 30 , 37 , 292 ," 2,422 ", 399 , 499 , 34 , 129 , 384 , 971 , 768 , 331 ," 1,070 ", 296 , 488 , 371 , 107 , 181 , 291 ," 3,243 ", 222 , 11 , 217 ," 4,132 "," 1,562 ", 398 , 51 , 318 , 277 , 47 , 303 , 862 , 853 , 917 , 250 , 423 , 258 ," 1,442 ", 49 , 212 , 110 ," 2,014 ", 48 , 352 , 40 , 203 , 671 , 507 , 417 ," 1,115 ", 25 ," 3,186 ", 313 , 67 , 253 , 77 , 98 , 266 ," 1,500 ", 62 , 80 , 538 , 480 , 173 , 258 , 264 , 234 , 488 , 229 , 292 , 641 , 383 ," 1,676 ", 188 ," 6,176 "," 1,097 ", 24 ," 1,051 ", 124 ," 1,621 ", 400 , 412 ," 9,968 ", 234 ," 2,265 "," 1,174 ", 575 
