,A. 도시명,B. 업종전체,가구점,가스충전소,가전제품수리점,가전제품판매점,간이주점,간판광고물업,감정평가사,건강보조식품가게,건어물가게,건축사,결혼상담소,곡물가게,공부방,공인노무사,공인회계사,과일가게,교습학원,구내식당,기술및직업훈련학원,기술사,기타 일반의원,기타외국식전문점,기타음식점,꽃가게,내과ㆍ소아과 의원,노래방,담배가게,당구장,독서실,동물병원,목욕탕,문구점,미용실,법무사,변리사,변호사,부동산중개업,분식점,사진촬영업,산부인과 의원,생선가게,서점,성형외과 의원,세무사,세탁소,슈퍼마켓,스포츠교육기관,스포츠시설운영업,스포츠용품점,시계ㆍ귀금속점,식료품가게,신경정신과 의원,신발가게,실내스크린골프점,실내장식가게,실외골프연습장,안경점,안과 의원,애완용품점,약국,여관ㆍ모텔,여행사,예술학원,예식장,옷가게,의료용품가게,이륜자동차판매점,이발소,이비인후과 의원,일반외과 의원,일식전문점,자동차수리점,자전거판매점,장난감가게,정육점,제과점,종합병원,주유소,주차장운영업,중고차판매점,중식전문점,채소가게,철물점,치과병원ㆍ의원,침구ㆍ커튼가게,커피음료점,컴퓨터판매점,통신판매업,패스트푸드점,펜션ㆍ게스트하우스,편의점,피부ㆍ비뇨기과 의원,피부관리업,피시방,한방병원ㆍ한의원,한식전문점,헬스클럽,호프전문점,화장품가게,휴대폰가게
0,합계,"2,313,927","7,484","1,635","14,132","9,928","15,382","12,925","1,116","13,109","7,147","9,684","1,582","5,014","31,144",843,"1,826","11,573","55,826","23,096","12,531","1,015","3,198","22,963","24,289","21,346","11,321","31,048","13,197","18,503","9,885","4,025","5,574","9,287","99,375","6,404",985,"7,145","123,163","53,914","13,599","1,664","10,954","8,218","1,438","12,113","22,808","30,032","23,650","7,147","15,019","8,123","49,682","1,675","6,758","4,648","53,322","2,316","9,144","1,642","7,788","22,396","21,291","14,023","30,708",935,"86,590","6,935","2,615","11,800","2,563","4,753","18,021","43,256","2,584","2,147","19,525","16,492","3,352","10,823","7,452","4,760","23,451","10,922","8,846","18,038","9,999","53,806","4,986","230,669","36,749","11,519","39,818","3,826","34,008","10,397","14,741","379,972","7,248","34,498","35,028","18,031"
1,서울특별시,"462,391","1,017",81,"2,284","1,533","5,048","2,699",240,"2,084",754,"2,457",428,663,"6,703",377,853,"1,231","10,382","4,315","2,852",283,872,"7,037","4,787","4,213","2,458","5,900","2,352","3,303","3,566",820,746,"1,586","17,793","1,918",692,"3,676","30,300","11,061","4,490",502,"1,483","1,620",694,"4,968","4,492","4,057","4,344","1,986","1,455","1,898","5,670",456,"1,406",647,"13,376",372,"2,064",442,"1,311","5,048","2,058","5,605","5,490",176,"16,084","1,583",466,"2,160",678,"1,053","5,519","4,840",416,418,"2,796","3,486",434,413,"1,741",476,"4,546","1,510","1,402","4,873","1,323","10,999",990,"69,115","5,899",604,"7,848","1,303","6,838","1,717","3,695","52,868","1,731","7,316","6,768","3,009"
2,인천광역시,"116,997",290,71,"1,014",360,"1,601",541,74,632,367,347,68,200,"1,613",38,64,407,"2,467","1,448",486,28,143,758,"1,035",901,589,"2,357",366,"1,174",444,187,207,477,"5,342",280,15,243,"6,649","2,556",619,78,710,360,47,512,"1,209","1,898","1,281",384,503,343,"2,126",68,361,190,"3,044",78,426,66,488,"1,083",838,402,"1,511",30,"4,063",313,93,410,137,260,"1,002","2,260",112,103,"1,045",763,143,285,285,283,"1,122",512,506,905,432,"2,680",208,"15,264","1,634",539,"2,105",169,"1,936",534,682,"17,163",386,"1,823","1,445",901
3,경기도,"526,958","1,898",384,"3,966","1,845","2,964","3,124",358,"2,536",794,"2,013",236,883,"7,434",136,309,"1,738","14,647","5,620","2,791",222,628,"4,606","5,604","4,868","2,564","7,361","1,628","4,701","2,448","1,033",766,"2,141","22,302","1,202",90,941,"34,025","12,659","2,781",328,"1,157","1,877",188,"2,651","5,204","8,022","6,058","1,877","3,085","1,271","8,861",366,"1,253","1,192","15,588",524,"1,928",351,"2,316","4,892","3,291","1,704","8,463",151,"17,493","1,476",439,"2,079",639,"1,105","3,632","10,804",618,605,"4,242","3,770",655,"2,189","1,117","1,015","4,835","1,895","1,863","4,204","1,897","11,257","1,107","67,001","7,916","1,512","9,723",805,"7,828","2,396","3,173","78,268","1,721","7,124","7,793","3,918"
4,강원도,"83,108",303,93,482,445,433,507,30,494,671,319,29,329,877,14,12,293,"1,464",639,364,33,63,756,"1,021",621,326,865,606,806,152,93,181,389,"3,502",190,*,114,"2,589","1,580",395,37,410,234,16,168,905,"1,030",671,225,840,241,"2,934",36,252,145,"1,010",113,246,41,206,671,"1,569",334,877,41,"3,197",177,89,643,49,129,"1,020","1,765",92,61,836,538,87,637,144,160,994,760,451,389,401,"1,865",179,"3,166","1,840","2,046","1,617",58,978,430,357,"19,284",206,"1,459","1,076",595
5,대전광역시,"68,374",215,40,498,297,73,397,28,442,114,208,61,150,"1,256",19,35,311,"1,309",718,434,26,140,586,589,667,381,"1,336",308,530,236,102,101,320,"3,244",157,89,219,"3,197","2,028",387,61,152,339,43,273,871,688,782,180,390,221,"1,404",73,199,144,"1,733",64,316,48,273,738,659,321,897,24,"2,818",274,58,405,83,148,448,"1,398",98,69,741,486,99,231,169,165,547,258,282,532,428,"1,987",177,"5,566",993,16,"1,075",110,"1,111",328,524,"11,477",225,"1,016","1,219",672
6,충청북도,"74,902",290,77,437,427,473,379,28,438,111,278,53,241,726,18,32,645,"1,474",792,339,36,94,467,709,761,313,"1,146",553,699,189,103,145,335,"3,391",165,4,103,"2,855","2,213",305,48,142,249,23,166,867,988,708,167,650,250,"2,323",45,242,172,"1,177",104,286,39,224,665,871,274,888,39,"2,977",176,85,414,62,171,494,"1,808",88,69,772,500,98,702,138,197,883,484,351,420,396,"1,829",192,"4,398","1,506",305,"1,418",73,"1,009",331,401,"15,052",256,"1,813","1,037",546
7,충청남도,"98,283",302,129,598,516,722,451,36,"1,208",633,335,75,376,"1,062",17,45,661,"1,830","1,080",465,28,101,687,"1,037",935,440,"1,232",611,845,232,180,194,435,"4,131",214,5,133,"4,132","2,311",377,48,723,342,28,256,"1,087","1,220",857,184,"1,005",314,"3,425",50,294,208,"1,371",102,336,52,316,934,"1,501",314,"1,078",71,"3,327",269,144,606,55,191,733,"2,393",114,90,"1,015",673,137,990,125,214,"1,187",668,462,567,506,"2,404",210,"5,527","1,980","1,102","2,112",97,"1,204",436,525,"19,168",265,"1,693","1,309",868
8,세종특별자치시,"11,629",20,6,51,38,19,29,12,37,14,56,5,27,197,5,9,87,382,85,92,3,19,158,99,90,63,147,40,93,26,21,12,74,371,19,0,18,"1,301",194,53,8,16,58,5,40,92,141,168,32,58,16,225,11,22,26,200,6,42,5,25,111,67,47,249,4,330,20,9,33,14,31,88,186,12,23,113,109,11,67,21,3,132,51,41,81,50,342,35,978,305,4,235,15,145,42,74,"1,966",35,169,138,75
9,광주광역시,"68,565",213,42,424,342,185,439,32,397,164,229,75,107,683,23,35,286,"2,420",413,467,36,125,370,"1,040",730,331,"1,105",322,479,370,101,186,287,"3,146",223,11,209,"3,931","1,685",394,52,313,271,47,302,833,867,873,206,432,260,"1,483",48,215,111,"1,893",46,348,40,201,674,526,401,"1,086",27,"3,164",318,64,258,76,98,263,"1,503",64,54,519,468,163,268,249,236,486,216,290,630,398,"1,268",189,"5,303","1,026",17,"1,019",126,"1,453",418,413,"9,605",218,"2,410","1,120",583
