,A. 도시명,B. 업종전체,가구점,가스충전소,가전제품수리점,가전제품판매점,간이주점,간판광고물업,감정평가사,건강보조식품가게,건어물가게,건축사,결혼상담소,곡물가게,공부방,공인노무사,공인회계사,과일가게,교습학원,구내식당,기술및직업훈련학원,기술사,기타 일반의원,기타외국식전문점,기타음식점,꽃가게,내과ㆍ소아과 의원,노래방,담배가게,당구장,독서실,동물병원,목욕탕,문구점,미용실,법무사,변리사,변호사,부동산중개업,분식점,사진촬영업,산부인과 의원,생선가게,서점,성형외과 의원,세무사,세탁소,슈퍼마켓,스포츠교육기관,스포츠시설운영업,스포츠용품점,시계ㆍ귀금속점,식료품가게,신경정신과 의원,신발가게,실내스크린골프점,실내장식가게,실외골프연습장,안경점,안과 의원,애완용품점,약국,여관ㆍ모텔,여행사,예술학원,예식장,옷가게,의료용품가게,이륜자동차판매점,이발소,이비인후과 의원,일반외과 의원,일식전문점,자동차수리점,자전거판매점,장난감가게,정육점,제과점,종합병원,주유소,주차장운영업,중고차판매점,중식전문점,채소가게,철물점,치과병원ㆍ의원,침구ㆍ커튼가게,커피음료점,컴퓨터판매점,통신판매업,패스트푸드점,펜션ㆍ게스트하우스,편의점,피부ㆍ비뇨기과 의원,피부관리업,피시방,한방병원ㆍ한의원,한식전문점,헬스클럽,호프전문점,화장품가게,휴대폰가게
0,합계,"2,515,815","7,581","1,610","16,942","10,201","12,972","13,029","1,220","14,009","7,348","10,304","1,664","5,057","38,546",976,"1,841","12,246","56,468","20,733","15,218","1,137","3,328","24,710","22,642","24,372","11,445","29,251","12,350","18,023","9,714","4,222","5,349","9,109","104,205","6,629","1,051","7,672","131,062","54,339","14,746","1,674","12,026","8,447","1,519","12,853","24,083","28,818","26,091","8,674","15,182","8,148","48,517","1,827","6,469","5,213","60,911","2,182","9,252","1,672","8,399","23,151","20,340","13,703","30,924",842,"85,330","7,223","2,690","12,098","2,624","4,964","18,148","44,900","2,524","3,028","20,152","17,850","3,441","10,944","8,184","4,807","24,919","12,045","8,790","18,493","9,879","69,490","5,123","333,239","42,004","15,817","44,303","4,039","41,257","10,339","14,945","395,323","8,352","30,553","35,106","18,654"
1,서울특별시,"501,875","1,023",76,"2,816","1,552","4,086","2,596",265,"2,302",771,"2,682",443,644,"7,782",419,845,"1,295","10,440","3,698","3,364",316,914,"7,539","4,329","4,423","2,488","5,554","2,142","3,126","3,276",838,676,"1,549","18,241","1,993",743,"3,997","32,266","10,765","4,801",500,"1,494","1,634",753,"5,318","4,685","3,825","4,803","2,344","1,486","1,875","5,462",536,"1,275",707,"14,290",355,"2,026",457,"1,338","5,204","1,806","5,327","5,447",164,"15,578","1,590",458,"2,175",701,"1,148","5,534","4,971",394,508,"2,785","3,670",438,436,"1,782",481,"4,824","1,607","1,359","4,940","1,241","13,402","1,051","97,605","6,936",754,"8,127","1,391","7,803","1,649","3,713","54,650","2,022","6,256","6,598","3,112"
2,인천광역시,"129,209",302,70,"1,201",391,"1,308",555,79,660,389,346,65,213,"1,797",44,68,443,"2,518","1,342",635,29,151,836,929,975,595,"2,242",376,"1,133",465,193,204,482,"5,542",294,16,261,"7,156","2,563",667,81,778,391,49,536,"1,306","1,792","1,392",452,519,361,"2,117",74,333,217,"3,607",70,423,65,524,"1,127",811,397,"1,498",22,"4,015",307,93,409,139,271,968,"2,375",102,143,"1,066",810,148,286,310,245,"1,207",574,494,938,427,"3,497",209,"21,798","1,955",703,"2,363",184,"2,315",548,698,"18,570",453,"1,640","1,429","1,043"
3,경기도,"595,288","2,042",372,"5,002","2,012","2,632","3,227",396,"2,826",873,"2,177",252,891,"9,648",171,317,"1,977","15,030","5,052","3,528",266,658,"5,271","5,297","5,646","2,645","7,024","1,677","4,582","2,336","1,094",733,"2,099","23,621","1,245",93,"1,001","36,814","12,797","3,186",338,"1,322","2,037",196,"2,844","5,541","7,797","6,800","2,320","3,325","1,297","9,108",381,"1,264","1,370","18,140",487,"2,024",360,"2,615","5,179","3,155","1,764","8,512",126,"17,676","1,649",474,"2,137",662,"1,178","3,826","11,493",623,878,"4,354","4,193",695,"2,283","1,392","1,030","5,392","2,198","1,835","4,381","1,931","15,050","1,186","101,517","9,316","2,109","11,270",851,"9,876","2,501","3,290","82,447","2,012","6,427","8,052","4,292"
4,강원도,"88,513",299,93,575,467,393,522,35,517,664,341,35,327,"1,058",16,14,308,"1,456",583,452,39,70,804,982,775,321,831,560,782,162,102,178,363,"3,628",195,*,120,"2,666","1,689",433,37,595,236,17,175,958,993,718,254,878,234,"2,826",40,241,175,"1,260",106,253,43,240,685,"1,534",344,887,35,"3,153",186,93,661,51,134,943,"1,794",87,97,876,602,86,639,155,156,"1,056",813,473,404,391,"2,498",185,"4,598","1,928","2,817","1,841",62,"1,194",442,373,"19,842",240,"1,289","1,108",626
5,대전광역시,"72,927",211,38,561,304,83,383,30,472,128,221,71,153,"1,450",21,36,322,"1,272",676,519,27,148,625,527,721,379,"1,273",275,497,271,101,95,307,"3,355",171,89,229,"3,441","1,954",409,59,168,325,45,283,881,674,835,196,374,231,"1,329",75,199,148,"2,020",69,318,49,277,746,603,312,898,21,"2,792",257,65,411,81,146,438,"1,463",88,90,768,538,99,242,187,219,611,312,280,540,412,"2,468",186,"7,880","1,139",26,"1,221",113,"1,288",298,518,"11,764",269,829,"1,242",667
6,충청북도,"79,819",273,77,485,418,426,384,31,432,111,301,51,247,"1,019",18,32,657,"1,476",738,407,34,95,557,717,907,321,"1,109",527,701,200,112,151,328,"3,547",170,5,107,"3,006","2,212",317,45,188,242,25,175,905,954,765,196,637,252,"2,227",48,217,188,"1,417",97,290,38,247,680,846,271,879,36,"2,921",192,91,423,60,175,486,"1,846",82,84,792,555,102,712,166,191,925,522,344,441,392,"2,329",190,"6,272","1,686",481,"1,584",79,"1,239",366,402,"15,671",273,"1,617","1,000",557
7,충청남도,"105,065",291,131,698,535,586,478,37,"1,289",634,357,74,385,"1,315",27,42,685,"1,870","1,002",585,35,100,726,945,"1,126",450,"1,193",588,778,242,191,193,430,"4,349",222,7,146,"4,322","2,362",415,49,737,355,26,269,"1,143","1,221",955,230,"1,006",315,"3,324",52,274,224,"1,658",92,346,52,358,968,"1,480",317,"1,104",66,"3,291",293,142,643,58,196,714,"2,497",116,141,"1,021",718,141,"1,012",149,217,"1,232",718,459,573,502,"2,999",216,"8,306","2,165","1,355","2,337",100,"1,448",451,520,"19,900",291,"1,462","1,337",883
8,세종특별자치시,"13,961",27,4,81,46,15,31,13,60,14,58,7,31,315,5,12,104,476,78,128,4,20,168,116,111,66,144,44,95,41,26,14,80,433,24,*,17,"1,458",216,64,9,26,74,5,43,106,141,217,54,78,23,220,12,26,33,277,4,48,6,30,133,66,52,288,5,365,31,8,41,17,34,97,205,15,23,122,127,13,68,29,3,154,60,38,90,55,489,37,"1,694",337,8,286,16,196,48,81,"2,150",43,122,160,76
9,광주광역시,"73,292",219,39,485,347,182,433,36,414,176,245,83,111,845,29,34,309,"2,401",393,545,38,128,393,885,770,330,"1,027",287,584,390,108,175,287,"3,322",219,11,219,"4,277","1,577",414,53,341,274,47,311,883,837,941,256,436,263,"1,395",52,213,117,"2,142",43,353,41,192,682,493,400,"1,098",24,"3,137",317,65,255,80,98,263,"1,522",59,74,558,503,180,279,271,230,475,262,287,645,381,"1,932",183,"7,184","1,211",27,"1,084",126,"1,737",484,407,"10,237",237,"2,079","1,192",577
10,전라북도,"87,672",400,108,575,536,290,513,38,743,357,368,84,374,862,26,36,615,"2,425",754,561,38,179,761,696,"1,100",422,823,617,613,282,164,205,416,"4,004",248,6,196,"3,290","2,049",429,54,628,343,26,272,917,988,862,267,886,375,"3,350",71,289,181,286,89,361,63,233,936,"1,008",409,"1,329",41,"3,364",350,128,483,73,180,497,"1,988",136,109,"1,084",630,169,829,144,290,"1,043",663,425,588,488,"2,797",209,"6,324","1,729",483,"1,335",95,"1,363",403,539,"14,572",241,"1,238","1,481",735
