,A. 도시명,B. 업종전체,가구점,가스충전소,가전제품수리점,가전제품판매점,간이주점,간판광고물업,감정평가사,건강보조식품가게,건어물가게,건축사,결혼상담소,곡물가게,공부방,공인노무사,공인회계사,과일가게,교습학원,구내식당,기술및직업훈련학원,기술사,기타 일반의원,기타외국식전문점,기타음식점,꽃가게,내과ㆍ소아과 의원,노래방,담배가게,당구장,독서실,동물병원,목욕탕,문구점,미용실,법무사,변리사,변호사,부동산중개업,분식점,사진촬영업,산부인과 의원,생선가게,서점,성형외과 의원,세무사,세탁소,슈퍼마켓,스포츠교육기관,스포츠시설운영업,스포츠용품점,시계ㆍ귀금속점,식료품가게,신경정신과 의원,신발가게,실내스크린골프점,실내장식가게,실외골프연습장,안경점,안과 의원,애완용품점,약국,여관ㆍ모텔,여행사,예술학원,예식장,옷가게,의료용품가게,이륜자동차판매점,이발소,이비인후과 의원,일반외과 의원,일식전문점,자동차수리점,자전거판매점,장난감가게,정육점,제과점,종합병원,주유소,주차장운영업,중고차판매점,중식전문점,채소가게,철물점,치과병원ㆍ의원,침구ㆍ커튼가게,커피음료점,컴퓨터판매점,통신판매업,패스트푸드점,펜션ㆍ게스트하우스,편의점,피부ㆍ비뇨기과 의원,피부관리업,피시방,한방병원ㆍ한의원,한식전문점,헬스클럽,호프전문점,화장품가게,휴대폰가게
0,합계,"2,305,692","7,473","1,606","13,495","9,891","15,542","12,905","1,115","13,068","7,137","9,642","1,572","5,029","30,742",840,"1,817","11,590","55,765","23,204","12,431","1,006","3,187","22,798","24,320","21,253","11,315","31,110","13,309","18,548","9,884","4,030","5,592","9,310","99,073","6,406",990,"7,119","122,755","54,065","13,525","1,665","10,955","8,209","1,445","12,102","22,790","30,033","23,508","7,038","15,006","8,121","49,914","1,666","6,760","4,622","52,846","2,321","9,135","1,640","7,779","22,356","21,338","13,965","30,620",948,"86,726","6,908","2,599","11,821","2,554","4,739","17,902","43,145","2,584","2,138","19,532","16,365","3,350","10,821","7,424","4,756","23,392","10,918","8,876","18,008","10,022","53,126","4,970","227,482","36,523","11,353","39,586","3,815","33,474","10,464","14,722","379,459","7,205","34,627","35,067","17,998"
1,서울특별시,"461,009","1,015",76,"2,234","1,524","5,103","2,701",241,"2,082",750,"2,443",426,667,"6,684",379,848,"1,232","10,369","4,340","2,824",280,873,"6,996","4,805","4,199","2,454","5,909","2,383","3,315","3,570",818,751,"1,594","17,780","1,923",696,"3,671","30,218","11,096","4,485",504,"1,482","1,612",699,"4,965","4,487","4,075","4,306","1,942","1,452","1,903","5,720",454,"1,403",645,"13,330",375,"2,059",441,"1,318","5,027","2,076","5,594","5,468",179,"16,129","1,577",463,"2,159",673,"1,045","5,480","4,861",412,415,"2,797","3,472",431,411,"1,728",471,"4,527","1,510","1,412","4,872","1,325","10,869",996,"68,244","5,872",593,"7,833","1,305","6,749","1,727","3,691","52,817","1,712","7,359","6,817","2,985"
2,인천광역시,"116,392",291,70,974,360,"1,623",545,73,620,366,349,70,200,"1,605",38,64,404,"2,466","1,446",491,28,144,750,"1,040",897,592,"2,356",368,"1,169",440,187,209,474,"5,333",281,16,243,"6,605","2,560",606,77,712,363,47,511,"1,210","1,904","1,289",376,503,340,"2,132",68,361,194,"3,022",77,426,66,483,"1,082",839,395,"1,507",32,"4,036",317,90,416,135,258,"1,005","2,258",111,104,"1,047",756,141,288,278,287,"1,125",509,505,906,432,"2,647",204,"14,974","1,627",529,"2,094",169,"1,917",535,678,"17,081",382,"1,831","1,451",900
3,경기도,"523,587","1,880",373,"3,784","1,829","2,978","3,115",358,"2,517",796,"2,002",233,889,"7,328",132,305,"1,752","14,581","5,648","2,761",220,623,"4,567","5,611","4,845","2,558","7,380","1,634","4,693","2,452","1,030",764,"2,143","22,203","1,202",88,933,"33,848","12,703","2,765",327,"1,153","1,853",188,"2,644","5,194","8,037","6,013","1,849","3,065","1,272","8,871",364,"1,250","1,178","15,419",520,"1,920",350,"2,313","4,878","3,289","1,695","8,430",151,"17,485","1,465",437,"2,072",639,"1,099","3,606","10,773",618,598,"4,224","3,728",656,"2,186","1,096","1,013","4,804","1,881","1,871","4,191","1,890","11,093","1,105","65,715","7,813","1,485","9,649",796,"7,651","2,402","3,170","78,132","1,699","7,113","7,782","3,904"
4,강원도,"82,869",302,93,459,443,435,505,30,495,674,319,30,332,858,14,12,294,"1,466",643,360,33,65,760,"1,028",617,326,866,609,805,152,94,183,387,"3,486",192,0,111,"2,571","1,574",390,37,414,236,17,169,901,"1,010",661,227,836,242,"2,940",35,254,140,987,113,248,41,208,669,"1,568",333,871,41,"3,204",175,90,642,49,128,"1,027","1,757",92,63,831,529,87,631,144,156,990,764,455,388,401,"1,859",180,"3,120","1,837","2,024","1,598",58,964,419,357,"19,284",204,"1,478","1,078",594
5,대전광역시,"68,310",213,38,474,297,75,393,28,442,114,206,61,149,"1,237",19,35,309,"1,311",733,432,27,137,581,584,660,382,"1,342",306,538,234,101,100,322,"3,229",156,91,213,"3,181","2,042",384,61,155,339,43,275,870,686,777,184,392,220,"1,418",71,198,144,"1,721",63,318,47,277,739,663,322,903,23,"2,829",275,58,407,82,148,442,"1,398",98,69,746,484,99,232,174,165,543,260,284,530,427,"1,969",176,"5,526",997,17,"1,069",110,"1,089",331,527,"11,524",228,"1,008","1,216",688
6,충청북도,"74,571",288,75,419,425,475,379,28,437,111,275,52,237,719,18,32,645,"1,475",793,340,35,94,456,706,759,314,"1,142",550,698,190,104,143,335,"3,368",164,4,103,"2,865","2,215",301,48,144,250,23,166,865,974,695,162,647,250,"2,323",45,245,170,"1,155",103,287,39,218,660,875,275,887,40,"2,964",177,83,414,63,170,489,"1,801",89,71,770,492,98,705,139,195,875,482,354,417,398,"1,817",188,"4,325","1,500",301,"1,411",72,993,334,400,"15,028",253,"1,803","1,040",545
7,충청남도,"97,898",308,128,562,516,720,449,35,"1,207",631,335,74,374,"1,048",17,45,668,"1,835","1,085",462,27,99,682,"1,038",926,442,"1,231",612,850,230,180,196,432,"4,094",214,5,132,"4,124","2,306",376,48,719,346,28,256,"1,083","1,210",853,181,998,316,"3,441",50,295,204,"1,349",103,337,51,315,933,"1,507",308,"1,078",70,"3,327",264,144,607,55,192,733,"2,380",114,85,"1,022",670,136,999,125,212,"1,187",673,465,565,507,"2,373",205,"5,420","1,972","1,105","2,099",95,"1,180",436,523,"19,116",266,"1,720","1,301",851
8,세종특별자치시,"11,441",20,4,47,37,19,31,12,37,14,55,5,27,194,5,9,88,377,84,88,3,18,154,99,90,63,142,39,93,25,21,12,75,363,19,0,18,"1,292",195,52,8,16,59,5,40,91,137,168,33,57,16,226,11,23,25,198,6,39,5,27,112,67,46,248,4,321,19,9,33,14,30,91,183,10,23,111,109,11,68,20,3,129,52,40,80,51,328,34,917,301,4,229,15,142,40,74,"1,943",36,168,134,76
9,광주광역시,"68,245",212,41,401,342,187,442,32,399,163,226,73,109,671,23,35,284,"2,421",418,474,35,123,361,"1,042",733,330,"1,099",323,480,370,101,187,291,"3,132",223,11,212,"3,884","1,693",389,52,317,273,46,301,830,873,870,205,432,258,"1,480",48,217,110,"1,864",46,347,40,199,677,527,398,"1,088",29,"3,165",316,64,261,76,97,258,"1,498",64,56,512,465,163,268,254,235,491,210,290,631,400,"1,237",190,"5,217","1,013",15,"1,016",126,"1,424",424,417,"9,578",217,"2,394","1,118",586
10,전라북도,"82,532",391,101,456,527,360,494,41,701,351,349,78,361,658,20,34,573,"2,432",840,451,35,172,724,699,883,433,848,654,612,269,160,209,438,"3,743",230,6,179,"3,178","1,917",418,57,583,345,26,265,856,994,791,247,900,378,"3,521",66,311,176,225,96,349,63,211,911,"1,036",417,"1,329",48,"3,498",321,127,448,73,185,483,"1,977",136,66,"1,060",582,167,836,115,288,"1,009",617,421,574,501,"2,178",215,"4,494","1,557",337,"1,169",89,"1,060",443,538,"14,005",216,"1,376","1,411",734
11,전라남도,"83,006",268,124,453,580,258,463,18,500,890,263,45,387,612,9,24,670,"1,811",699,405,35,106,396,859,901,449,761,"1,038",708,160,154,301,428,"3,404",210,0,91,"2,154","1,402",323,25,"1,513",245,16,131,785,"1,220",677,147,947,281,"3,715",41,265,159,"1,099",94,302,51,173,788,"1,313",428,884,43,"3,074",221,148,550,48,140,426,"1,981",101,57,808,543,190,823,92,215,804,713,451,482,494,"1,795",179,"4,153","1,493",579,"1,077",72,"1,235",377,401,"17,298",167,"2,441","1,062",614
12,대구광역시,"111,380",373,44,659,524,307,779,54,589,162,674,108,193,"2,365",32,90,365,"2,630",947,711,32,154,"1,201","1,294","1,044",565,"1,780",565,657,404,166,282,348,"5,258",294,23,264,"5,547","2,325",618,103,209,511,77,539,820,"1,770","1,205",251,699,547,"1,712",104,338,276,"2,405",102,490,101,348,"1,265",749,528,"1,345",39,"5,360",342,149,586,160,298,804,"2,194",161,96,"1,278",887,185,331,437,470,"1,230",430,345,898,653,"2,501",228,"10,863","1,287",22,"1,448",203,"1,405",587,880,"19,578",358,578,"2,177","1,011"
13,경상북도,"125,839",461,164,489,694,405,640,19,887,657,465,61,372,"1,588",15,28,"1,333","2,638","1,399",513,38,107,699,"1,161","1,196",532,"1,647","1,408",939,226,262,418,539,"5,701",257,3,116,"4,190","2,456",503,68,837,377,15,230,"1,223","1,884","1,073",238,"1,244",438,"3,592",50,380,271,"1,662",201,427,69,393,"1,104","1,978",451,"1,389",69,"4,710",255,205,876,87,237,527,"2,994",168,102,"1,221",857,233,"1,210",232,334,"1,454",909,488,675,681,"3,804",323,"7,155","2,208","1,005","1,820",99,"1,400",590,635,"29,090",344,"1,055","1,877","1,090"
14,부산광역시,"153,305",519,57,824,624,"1,024",836,56,803,506,676,122,341,"2,242",52,130,601,"3,513","1,546",881,60,222,"1,821","1,640","1,226",815,"1,844","1,247","1,016",443,234,762,514,"7,325",459,29,415,"7,913","4,090",789,103,"1,050",581,136,934,"1,289","1,952","1,574",409,715,782,"3,206",143,561,295,"3,814",146,650,132,574,"1,528","1,436","1,081","1,783",72,"7,213",593,207,"1,034",200,324,"1,023","2,332",109,142,"1,086","1,027",339,372,"1,702",236,"1,725",689,679,"1,293",707,"2,919",240,"14,387","2,452",119,"2,357",326,"2,482",668,"1,145","23,786",493,"1,828","2,511","1,397"
15,울산광역시,"50,337",183,30,281,194,110,258,20,210,126,211,19,43,622,22,27,158,"1,718",458,301,19,50,724,490,478,231,782,244,519,240,75,180,196,"2,545",112,4,118,"2,306",735,224,41,392,188,20,162,431,911,550,113,290,220,765,25,117,169,974,50,226,33,133,419,631,186,787,14,"1,867",106,71,366,47,77,266,"1,070",61,39,570,354,92,218,224,103,486,126,173,386,231,"1,298",96,"2,849",936,112,854,76,708,295,286,"10,829",134,354,964,503
16,경상남도,"153,264",566,152,802,731,"1,297",687,56,985,715,505,94,277,"1,841",38,72,"1,191","4,030","1,955",742,82,144,"1,188","1,826","1,507",678,"1,685","1,146","1,141",397,268,781,645,"6,790",385,10,222,"6,986","3,970",591,84,846,494,39,413,"1,261","1,977","1,645",353,"1,385",563,"4,017",70,430,394,"2,533",172,591,91,510,"1,280","2,374",573,"2,194",70,"5,902",406,216,787,126,241,729,"3,145",205,115,"1,166","1,036",298,"1,061",625,320,"1,635",805,544,910,703,"3,415",318,"8,350","3,105","1,161","2,803",165,"2,429",681,807,"31,852",390,"1,531","2,440","1,305"
17,제주특별자치도,"41,707",183,36,177,244,166,188,14,157,111,289,21,71,470,7,27,"1,023",692,170,195,17,56,738,398,292,151,296,183,315,82,75,114,149,"1,319",85,0,78,"1,893",786,311,22,413,137,20,101,594,419,361,121,444,95,835,21,112,72,"1,089",54,119,20,79,284,410,935,429,24,"1,642",79,38,163,27,70,513,543,35,37,283,374,24,182,39,53,378,288,99,210,221,"1,024",93,"1,773",553,"1,945","1,060",39,646,175,193,"8,518",106,590,688,215
