,A. 도시명,B. 업종전체,가구점,가스충전소,가전제품수리점,가전제품판매점,간이주점,간판광고물업,감정평가사,건강보조식품가게,건어물가게,건축사,결혼상담소,곡물가게,공부방,공인노무사,공인회계사,과일가게,교습학원,구내식당,기술및직업훈련학원,기술사,기타 일반의원,기타외국식전문점,기타음식점,꽃가게,내과ㆍ소아과 의원,노래방,담배가게,당구장,독서실,동물병원,목욕탕,문구점,미용실,법무사,변리사,변호사,부동산중개업,분식점,사진촬영업,산부인과 의원,생선가게,서점,성형외과 의원,세무사,세탁소,슈퍼마켓,스포츠교육기관,스포츠시설운영업,스포츠용품점,시계ㆍ귀금속점,식료품가게,신경정신과 의원,신발가게,실내스크린골프점,실내장식가게,실외골프연습장,안경점,안과 의원,애완용품점,약국,여관ㆍ모텔,여행사,예술학원,예식장,옷가게,의료용품가게,이륜자동차판매점,이발소,이비인후과 의원,일반외과 의원,일식전문점,자동차수리점,자전거판매점,장난감가게,정육점,제과점,종합병원,주유소,주차장운영업,중고차판매점,중식전문점,채소가게,철물점,치과병원ㆍ의원,침구ㆍ커튼가게,커피음료점,컴퓨터판매점,통신판매업,패스트푸드점,펜션ㆍ게스트하우스,편의점,피부ㆍ비뇨기과 의원,피부관리업,피시방,한방병원ㆍ한의원,한식전문점,헬스클럽,호프전문점,화장품가게,휴대폰가게
0,합계,"2,548,586","7,650","1,611","16,962","10,186","12,219","12,996","1,234","13,988","7,381","10,578","1,680","5,032","39,424",993,"1,848","12,289","56,379","20,315","15,690","1,158","3,325","25,263","22,259","24,367","11,447","28,758","12,275","17,867","9,685","4,247","5,274","9,058","104,713","6,624","1,054","7,733","132,291","54,191","15,039","1,670","12,156","8,486","1,536","12,969","24,300","28,612","26,288","8,852","15,176","8,133","48,259","1,845","6,323","5,365","62,591","2,183","9,244","1,678","8,561","23,220","20,114","13,438","30,721",828,"84,746","7,154","2,718","12,235","2,617","5,013","18,380","45,127","2,525","2,993","20,231","18,133","3,436","10,905","8,322","4,819","25,078","12,241","8,783","18,546","9,898","71,233","5,183","356,776","42,952","16,120","44,858","4,071","42,168","9,970","14,947","397,465","8,569","29,002","35,004","18,737"
1,서울특별시,"508,188","1,025",78,"2,818","1,534","3,849","2,574",267,"2,310",763,"2,784",448,630,"7,896",425,848,"1,294","10,430","3,578","3,448",314,913,"7,698","4,211","4,404","2,481","5,442","2,122","3,090","3,214",841,652,"1,532","18,213","1,987",742,"4,022","32,477","10,716","4,882",496,"1,496","1,633",759,"5,380","4,714","3,805","4,859","2,358","1,472","1,859","5,420",546,"1,232",726,"14,521",360,"2,012",460,"1,359","5,222","1,763","5,176","5,418",158,"15,363","1,564",464,"2,188",695,"1,163","5,569","4,967",395,497,"2,794","3,721",442,434,"1,800",483,"4,815","1,639","1,362","4,942","1,251","13,516","1,060","103,859","7,172",712,"8,133","1,404","7,916","1,565","3,699","54,784","2,093","5,939","6,529","3,103"
2,인천광역시,"131,544",309,70,"1,203",396,"1,239",552,81,665,400,350,65,213,"1,822",40,69,452,"2,511","1,316",658,33,150,859,924,985,599,"2,213",375,"1,133",464,193,200,470,"5,589",293,16,266,"7,245","2,538",667,80,793,395,50,542,"1,319","1,764","1,427",469,533,360,"2,116",75,324,226,"3,716",69,422,66,531,"1,133",792,391,"1,489",22,"3,993",305,98,420,140,269,951,"2,396",100,139,"1,078",835,149,286,319,243,"1,230",583,497,943,427,"3,617",215,"23,232","2,031",716,"2,401",187,"2,376",541,703,"18,866",459,"1,561","1,445","1,066"
3,경기도,"607,611","2,069",370,"5,024","2,060","2,504","3,225",399,"2,836",886,"2,230",260,896,"10,001",180,318,"2,024","15,015","4,955","3,697",273,659,"5,456","5,232","5,665","2,647","6,924","1,674","4,522","2,329","1,100",717,"2,092","23,721","1,252",96,"1,003","37,226","12,780","3,309",336,"1,354","2,070",201,"2,877","5,587","7,750","6,855","2,391","3,350","1,303","9,144",388,"1,234","1,415","18,659",495,"2,029",361,"2,689","5,197","3,114","1,759","8,450",125,"17,703","1,633",478,"2,165",664,"1,200","3,905","11,614",624,873,"4,407","4,279",690,"2,273","1,443","1,036","5,462","2,252","1,820","4,405","1,930","15,450","1,214","109,622","9,586","2,171","11,500",860,"10,150","2,402","3,298","83,129","2,068","6,084","8,071","4,391"
4,강원도,"89,174",298,93,575,464,373,519,35,513,675,345,34,332,"1,103",17,15,319,"1,443",569,470,41,72,829,952,788,320,821,556,772,164,104,176,360,"3,634",192,*,119,"2,686","1,670",432,37,600,239,17,179,961,986,735,257,884,234,"2,799",39,239,180,"1,322",103,253,42,244,688,"1,524",338,890,35,"3,137",190,93,659,51,137,945,"1,802",89,100,865,593,86,644,156,158,"1,063",821,476,407,387,"2,568",188,"5,020","1,946","2,874","1,865",62,"1,214",430,373,"19,881",246,"1,216","1,092",634
5,대전광역시,"73,542",211,39,560,306,75,382,32,480,128,227,70,153,"1,452",21,34,318,"1,276",661,526,29,146,630,524,723,380,"1,252",272,486,281,103,94,308,"3,349",172,86,230,"3,441","1,960",410,60,176,323,45,285,893,667,832,200,374,231,"1,307",76,198,157,"2,095",68,318,49,277,740,586,309,867,21,"2,796",255,65,408,80,146,455,"1,461",87,88,757,551,99,235,188,216,615,329,285,541,413,"2,501",187,"8,424","1,137",28,"1,237",114,"1,306",298,517,"11,821",269,773,"1,226",653
6,충청북도,"80,408",275,74,495,412,391,383,32,435,108,308,52,245,"1,056",18,33,650,"1,465",726,424,33,95,571,685,899,320,"1,100",524,694,201,115,147,324,"3,565",170,5,106,"3,037","2,186",323,45,181,236,24,175,910,949,763,207,624,246,"2,201",48,212,194,"1,460",95,289,40,255,684,836,266,867,35,"2,847",190,92,435,58,176,510,"1,857",83,86,808,567,102,714,172,189,925,534,343,446,392,"2,398",191,"6,737","1,722",484,"1,615",81,"1,256",359,406,"15,764",276,"1,533",985,551
7,충청남도,"106,102",299,130,705,532,544,479,38,"1,272",635,368,75,381,"1,341",27,42,681,"1,861",982,591,36,100,738,927,"1,126",444,"1,184",590,767,244,190,195,428,"4,396",219,8,148,"4,371","2,328",410,49,729,353,27,268,"1,152","1,240",945,237,"1,012",313,"3,301",52,265,232,"1,723",94,347,52,366,971,"1,469",313,"1,091",64,"3,289",286,142,649,58,196,714,"2,511",118,141,"1,022",731,140,"1,006",157,220,"1,253",720,458,577,504,"3,113",225,"8,926","2,211","1,362","2,383",99,"1,487",452,517,"20,013",292,"1,391","1,356",886
8,세종특별자치시,"14,380",30,4,86,46,15,29,12,60,14,61,8,30,343,6,12,104,491,77,132,4,20,176,124,113,68,141,44,95,44,26,13,86,447,24,*,16,"1,516",224,67,10,23,76,6,44,112,143,219,61,83,24,221,12,27,37,282,4,50,6,29,138,65,52,293,4,367,29,8,39,16,34,104,205,16,21,119,125,13,70,29,3,161,59,36,92,54,494,34,"1,852",347,9,295,16,202,45,82,"2,157",47,122,165,82
9,광주광역시,"73,840",220,38,477,348,166,431,35,415,174,253,86,106,855,29,34,302,"2,401",386,546,37,125,397,863,759,328,"1,005",285,583,384,109,172,292,"3,348",222,11,225,"4,286","1,558",417,54,343,272,47,314,896,832,943,264,435,264,"1,386",52,212,130,"2,214",41,353,41,195,684,486,381,"1,088",23,"3,061",311,65,256,81,101,269,"1,525",58,73,550,507,179,271,268,230,477,263,287,642,380,"2,005",184,"7,669","1,248",28,"1,091",124,"1,780",464,404,"10,334",238,"1,997","1,185",577
