,A. 도시명,B. 업종전체,가구점,가스충전소,가전제품수리점,가전제품판매점,간이주점,간판광고물업,감정평가사,건강보조식품가게,건어물가게,건축사,결혼상담소,곡물가게,공부방,공인노무사,공인회계사,과일가게,교습학원,구내식당,기술및직업훈련학원,기술사,기타 일반의원,기타외국식전문점,기타음식점,꽃가게,내과ㆍ소아과 의원,노래방,담배가게,당구장,독서실,동물병원,목욕탕,문구점,미용실,법무사,변리사,변호사,부동산중개업,분식점,사진촬영업,산부인과 의원,생선가게,서점,성형외과 의원,세무사,세탁소,슈퍼마켓,스포츠교육기관,스포츠시설운영업,스포츠용품점,시계ㆍ귀금속점,식료품가게,신경정신과 의원,신발가게,실내스크린골프점,실내장식가게,실외골프연습장,안경점,안과 의원,애완용품점,약국,여관ㆍ모텔,여행사,예술학원,예식장,옷가게,의료용품가게,이륜자동차판매점,이발소,이비인후과 의원,일반외과 의원,일식전문점,자동차수리점,자전거판매점,장난감가게,정육점,제과점,종합병원,주유소,주차장운영업,중고차판매점,중식전문점,채소가게,철물점,치과병원ㆍ의원,침구ㆍ커튼가게,커피음료점,컴퓨터판매점,통신판매업,패스트푸드점,펜션ㆍ게스트하우스,편의점,피부ㆍ비뇨기과 의원,피부관리업,피시방,한방병원ㆍ한의원,한식전문점,헬스클럽,호프전문점,화장품가게,휴대폰가게
0,합계," 2,369,932 "," 7,496 "," 1,622 "," 15,243 "," 10,097 "," 15,024 "," 12,992 "," 1,151 "," 13,370 "," 7,201 "," 9,762 "," 1,592 "," 5,009 "," 32,714 ", 887 ," 1,834 "," 11,821 "," 56,047 "," 22,356 "," 13,241 "," 1,034 "," 3,241 "," 23,609 "," 24,144 "," 23,634 "," 11,393 "," 30,626 "," 12,918 "," 18,374 "," 9,904 "," 4,080 "," 5,539 "," 9,242 "," 100,989 "," 6,463 ", 998 ," 7,269 "," 124,690 "," 53,834 "," 13,969 "," 1,674 "," 11,139 "," 8,257 "," 1,469 "," 12,369 "," 23,103 "," 29,978 "," 24,422 "," 7,682 "," 15,089 "," 8,196 "," 49,630 "," 1,719 "," 6,686 "," 4,804 "," 55,496 "," 2,267 "," 9,231 "," 1,651 "," 7,939 "," 22,575 "," 21,227 "," 14,199 "," 30,938 ", 914 ," 86,515 "," 7,050 "," 2,657 "," 11,877 "," 2,573 "," 4,805 "," 18,312 "," 43,732 "," 2,551 "," 3,070 "," 19,783 "," 16,967 "," 3,396 "," 10,703 "," 7,703 "," 4,818 "," 24,231 "," 11,192 "," 8,856 "," 18,168 "," 9,959 "," 59,105 "," 4,985 "," 251,758 "," 38,057 "," 13,137 "," 41,367 "," 3,885 "," 36,521 "," 10,337 "," 14,825 "," 384,379 "," 7,527 "," 33,897 "," 35,165 "," 18,006 "
1,서울특별시," 472,512 "," 1,024 ", 76 ," 2,419 "," 1,546 "," 4,893 "," 2,681 ", 245 ," 2,148 ", 748 ," 2,504 ", 432 , 655 ," 7,018 ", 390 , 845 ," 1,248 "," 10,365 "," 4,107 "," 2,960 ", 286 , 886 ," 7,188 "," 4,684 "," 4,327 "," 2,481 "," 5,818 "," 2,299 "," 3,258 "," 3,539 ", 820 , 724 ," 1,574 "," 17,914 "," 1,938 ", 700 ," 3,742 "," 30,779 "," 10,935 "," 4,563 ", 503 ," 1,467 "," 1,633 ", 722 ," 5,100 "," 4,523 "," 4,043 "," 4,509 "," 2,131 "," 1,478 "," 1,900 "," 5,560 ", 478 ," 1,377 ", 659 ," 13,647 ", 368 ," 2,061 ", 446 ," 1,315 "," 5,068 "," 2,027 "," 5,625 "," 5,492 ", 172 ," 16,002 "," 1,594 ", 464 ," 2,168 ", 678 ," 1,075 "," 5,590 "," 4,867 ", 407 , 549 ," 2,805 "," 3,564 ", 433 , 399 ," 1,755 ", 489 ," 4,785 "," 1,553 "," 1,406 "," 4,892 "," 1,314 "," 11,846 "," 1,008 "," 75,066 "," 6,162 ", 681 ," 8,039 "," 1,333 "," 7,161 "," 1,671 "," 3,702 "," 53,232 "," 1,798 "," 7,128 "," 6,776 "," 3,057 "
2,인천광역시," 120,307 ", 291 , 72 ," 1,099 ", 357 ," 1,566 ", 540 , 77 , 652 , 374 , 346 , 68 , 194 ," 1,638 ", 40 , 64 , 430 ," 2,518 "," 1,405 ", 542 , 28 , 145 , 794 ," 1,038 ", 947 , 598 ," 2,338 ", 368 ," 1,171 ", 449 , 191 , 209 , 472 ," 5,413 ", 279 , 14 , 247 ," 6,749 "," 2,552 ", 646 , 78 , 741 , 361 , 47 , 518 ," 1,228 "," 1,892 "," 1,329 ", 404 , 517 , 351 ," 2,122 ", 71 , 358 , 196 ," 3,208 ", 79 , 429 , 65 , 503 ," 1,108 ", 833 , 416 ," 1,517 ", 26 ," 4,066 ", 314 , 95 , 415 , 136 , 265 , 994 ," 2,301 ", 107 , 143 ," 1,060 ", 788 , 147 , 274 , 306 , 280 ," 1,166 ", 528 , 501 , 911 , 425 ," 2,877 ", 211 ," 16,599 "," 1,688 ", 598 ," 2,206 ", 170 ," 2,110 ", 522 , 692 ," 17,537 ", 404 ," 1,795 "," 1,438 ", 920 
3,경기도," 544,912 "," 1,898 ", 383 ," 4,426 "," 1,922 "," 2,947 "," 3,171 ", 368 ," 2,640 ", 813 ," 2,039 ", 234 , 876 ," 7,910 ", 145 , 309 ," 1,829 "," 14,812 "," 5,426 "," 2,960 ", 233 , 644 ," 4,886 "," 5,602 "," 5,427 "," 2,590 "," 7,305 "," 1,644 "," 4,685 "," 2,434 "," 1,046 ", 770 ," 2,129 "," 22,761 "," 1,213 ", 92 , 957 ," 34,719 "," 12,642 "," 2,914 ", 332 ," 1,209 "," 1,915 ", 188 ," 2,719 "," 5,303 "," 8,037 "," 6,328 "," 2,021 "," 3,139 "," 1,304 "," 9,027 ", 370 ," 1,249 "," 1,247 "," 16,380 ", 505 ," 1,981 ", 353 ," 2,380 "," 4,971 "," 3,283 "," 1,751 "," 8,538 ", 145 ," 17,573 "," 1,518 ", 449 ," 2,100 ", 648 ," 1,125 "," 3,697 "," 11,009 ", 617 , 859 ," 4,281 "," 3,910 ", 673 ," 2,163 "," 1,216 "," 1,043 "," 5,097 "," 1,960 "," 1,848 "," 4,255 "," 1,889 "," 12,466 "," 1,098 "," 73,744 "," 8,282 "," 1,761 "," 10,184 ", 817 ," 8,469 "," 2,399 "," 3,211 "," 79,416 "," 1,814 "," 7,030 "," 7,858 "," 3,957 "
4,강원도," 84,796 ", 303 , 95 , 538 , 464 , 435 , 514 , 31 , 505 , 665 , 321 , 27 , 325 , 875 , 16 , 13 , 301 ," 1,466 ", 622 , 400 , 37 , 63 , 759 ," 1,034 ", 749 , 322 , 857 , 597 , 812 , 155 , 95 , 179 , 383 ," 3,548 ", 188 , * , 118 ," 2,615 "," 1,595 ", 407 , 37 , 425 , 236 , 16 , 171 , 924 ," 1,034 ", 675 , 233 , 852 , 238 ," 2,907 ", 39 , 243 , 153 ," 1,068 ", 108 , 252 , 43 , 214 , 673 ," 1,574 ", 341 , 867 , 40 ," 3,218 ", 184 , 93 , 653 , 48 , 133 ," 1,000 "," 1,768 ", 89 , 98 , 856 , 554 , 86 , 628 , 146 , 158 ," 1,014 ", 780 , 458 , 389 , 407 ," 2,070 ", 185 ," 3,364 "," 1,874 "," 2,277 "," 1,665 ", 58 ," 1,049 ", 438 , 362 ," 19,570 ", 213 ," 1,407 "," 1,111 ", 600 
5,대전광역시," 69,757 ", 211 , 38 , 512 , 304 , 69 , 396 , 29 , 455 , 119 , 213 , 71 , 147 ," 1,286 ", 20 , 37 , 311 ," 1,292 ", 705 , 451 , 25 , 142 , 603 , 577 , 708 , 381 ," 1,331 ", 302 , 524 , 237 , 101 , 100 , 322 ," 3,303 ", 164 , 89 , 221 ," 3,276 "," 2,006 ", 394 , 61 , 149 , 335 , 45 , 273 , 869 , 689 , 801 , 174 , 389 , 226 ," 1,401 ", 73 , 205 , 154 ," 1,802 ", 64 , 320 , 48 , 277 , 737 , 645 , 323 , 908 , 24 ," 2,815 ", 276 , 58 , 413 , 82 , 141 , 445 ," 1,406 ", 97 , 94 , 758 , 508 , 101 , 228 , 169 , 169 , 572 , 276 , 280 , 533 , 423 ," 2,146 ", 178 ," 6,044 "," 1,034 ", 20 ," 1,124 ", 111 ," 1,193 ", 335 , 525 ," 11,615 ", 236 , 991 ," 1,241 ", 656 
6,충청북도," 76,576 ", 290 , 75 , 467 , 437 , 471 , 377 , 28 , 445 , 116 , 278 , 52 , 246 , 770 , 19 , 33 , 657 ," 1,459 ", 781 , 360 , 36 , 95 , 496 , 725 , 889 , 317 ," 1,150 ", 547 , 708 , 191 , 105 , 148 , 336 ," 3,452 ", 168 , 4 , 105 ," 2,868 "," 2,241 ", 314 , 46 , 154 , 243 , 23 , 167 , 883 ," 1,007 ", 721 , 172 , 654 , 258 ," 2,303 ", 45 , 234 , 177 ," 1,253 ", 102 , 287 , 38 , 242 , 670 , 865 , 285 , 894 , 38 ," 2,975 ", 176 , 88 , 414 , 61 , 174 , 495 ," 1,816 ", 83 , 87 , 779 , 525 , 98 , 711 , 150 , 195 , 891 , 494 , 354 , 429 , 397 ," 1,985 ", 187 ," 4,770 "," 1,554 ", 379 ," 1,481 ", 77 ," 1,091 ", 336 , 404 ," 15,253 ", 264 ," 1,797 "," 1,044 ", 545 
7,충청남도," 100,271 ", 297 , 128 , 651 , 526 , 689 , 456 , 36 ," 1,231 ", 641 , 341 , 74 , 383 ," 1,119 ", 22 , 45 , 666 ," 1,845 "," 1,055 ", 492 , 29 , 100 , 681 ," 1,019 "," 1,083 ", 439 ," 1,215 ", 588 , 829 , 237 , 182 , 196 , 431 ," 4,190 ", 215 , 5 , 135 ," 4,162 "," 2,318 ", 392 , 48 , 724 , 347 , 28 , 261 ," 1,104 "," 1,227 ", 881 , 203 ," 1,007 ", 321 ," 3,423 ", 52 , 286 , 210 ," 1,455 ", 100 , 342 , 54 , 326 , 947 ," 1,515 ", 311 ," 1,107 ", 70 ," 3,314 ", 287 , 146 , 609 , 57 , 190 , 743 ," 2,419 ", 111 , 135 ," 1,007 ", 676 , 141 ," 1,000 ", 131 , 210 ," 1,214 ", 682 , 457 , 569 , 511 ," 2,608 ", 212 ," 6,112 "," 2,020 "," 1,190 "," 2,192 ", 98 ," 1,296 ", 442 , 526 ," 19,396 ", 270 ," 1,636 "," 1,313 ", 859 
8,세종특별자치시," 12,209 ", 24 , 4 , 65 , 40 , 19 , 26 , 12 , 45 , 12 , 54 , 6 , 27 , 222 , 5 , 9 , 103 , 384 , 84 , 100 , 3 , 19 , 163 , 102 , 114 , 63 , 143 , 38 , 91 , 31 , 23 , 12 , 76 , 386 , 21 , * , 19 ," 1,313 ", 197 , 56 , 9 , 19 , 62 , 5 , 42 , 94 , 135 , 178 , 37 , 63 , 17 , 234 , 11 , 22 , 25 , 221 , 6 , 45 , 5 , 25 , 113 , 67 , 52 , 257 , 5 , 351 , 22 , 9 , 35 , 15 , 33 , 92 , 193 , 12 , 26 , 113 , 116 , 12 , 66 , 23 , 4 , 143 , 55 , 40 , 84 , 54 , 397 , 36 ," 1,131 ", 317 , 4 , 252 , 15 , 163 , 42 , 73 ," 2,012 ", 34 , 154 , 148 , 72 
9,광주광역시," 69,946 ", 215 , 39 , 451 , 354 , 194 , 443 , 35 , 392 , 173 , 232 , 76 , 111 , 717 , 25 , 37 , 285 ," 2,421 ", 408 , 473 , 35 , 127 , 376 ," 1,010 ", 767 , 335 ," 1,077 ", 306 , 492 , 374 , 104 , 178 , 291 ," 3,208 ", 219 , 11 , 217 ," 4,013 "," 1,609 ", 396 , 52 , 317 , 268 , 47 , 302 , 853 , 860 , 887 , 234 , 428 , 262 ," 1,482 ", 48 , 212 , 114 ," 1,948 ", 45 , 350 , 40 , 198 , 675 , 517 , 418 ," 1,098 ", 27 ," 3,189 ", 319 , 66 , 259 , 76 , 100 , 267 ," 1,510 ", 63 , 78 , 541 , 480 , 170 , 262 , 254 , 237 , 484 , 223 , 296 , 635 , 393 ," 1,522 ", 187 ," 5,764 "," 1,068 ", 22 ," 1,033 ", 124 ," 1,550 ", 413 , 412 ," 9,748 ", 228 ," 2,343 "," 1,146 ", 576 
