,A. 도시명,B. 업종전체,가구점,가스충전소,가전제품수리점,가전제품판매점,간이주점,간판광고물업,감정평가사,건강보조식품가게,건어물가게,건축사,결혼상담소,곡물가게,공부방,공인노무사,공인회계사,과일가게,교습학원,구내식당,기술및직업훈련학원,기술사,기타 일반의원,기타외국식전문점,기타음식점,꽃가게,내과ㆍ소아과 의원,노래방,담배가게,당구장,독서실,동물병원,목욕탕,문구점,미용실,법무사,변리사,변호사,부동산중개업,분식점,사진촬영업,산부인과 의원,생선가게,서점,성형외과 의원,세무사,세탁소,슈퍼마켓,스포츠교육기관,스포츠시설운영업,스포츠용품점,시계ㆍ귀금속점,식료품가게,신경정신과 의원,신발가게,실내스크린골프점,실내장식가게,실외골프연습장,안경점,안과 의원,애완용품점,약국,여관ㆍ모텔,여행사,예술학원,예식장,옷가게,의료용품가게,이륜자동차판매점,이발소,이비인후과 의원,일반외과 의원,일식전문점,자동차수리점,자전거판매점,장난감가게,정육점,제과점,종합병원,주유소,주차장운영업,중고차판매점,중식전문점,채소가게,철물점,치과병원ㆍ의원,침구ㆍ커튼가게,커피음료점,컴퓨터판매점,통신판매업,패스트푸드점,펜션ㆍ게스트하우스,편의점,피부ㆍ비뇨기과 의원,피부관리업,피시방,한방병원ㆍ한의원,한식전문점,헬스클럽,호프전문점,화장품가게,휴대폰가게
0,합계,"2,337,954","7,496","1,610","14,855","10,008","15,208","12,967","1,133","13,186","7,166","9,724","1,575","4,994","31,670",864,"1,833","11,607","55,885","22,782","12,765","1,027","3,230","23,279","24,407","21,545","11,339","30,932","13,066","18,507","9,893","4,054","5,558","9,250","100,086","6,461",991,"7,153","123,818","53,976","13,756","1,668","10,987","8,214","1,447","12,156","22,910","30,115","23,985","7,414","15,041","8,142","49,520","1,698","6,726","4,714","54,285","2,296","9,169","1,648","7,887","22,480","21,259","14,093","30,810",935,"86,496","7,016","2,627","11,811","2,563","4,769","18,242","43,462","2,573","2,154","19,653","16,787","3,372","10,766","7,527","4,803","23,742","10,997","8,848","18,117","9,983","56,174","5,030","239,332","37,384","12,127","40,437","3,855","35,054","10,408","14,798","382,902","7,351","34,400","35,072","18,067"
1,서울특별시,"466,911","1,028",77,"2,399","1,552","4,979","2,697",244,"2,107",754,"2,476",434,658,"6,812",383,851,"1,234","10,403","4,224","2,884",284,880,"7,133","4,776","4,226","2,462","5,876","2,329","3,302","3,552",823,737,"1,576","17,859","1,945",696,"3,672","30,431","11,048","4,521",502,"1,484","1,633",706,"4,993","4,497","4,072","4,406","2,071","1,473","1,897","5,625",468,"1,399",653,"13,488",369,"2,061",447,"1,327","5,071","2,049","5,614","5,489",172,"16,037","1,592",462,"2,155",679,"1,061","5,562","4,858",418,425,"2,801","3,543",438,398,"1,740",478,"4,633","1,526","1,398","4,890","1,327","11,374",998,"71,542","6,013",622,"7,945","1,317","6,991","1,713","3,702","53,122","1,760","7,294","6,772","3,035"
2,인천광역시,"118,354",289,70,"1,066",362,"1,575",542,75,634,371,347,67,195,"1,615",37,64,413,"2,487","1,430",504,27,144,769,"1,052",906,592,"2,346",362,"1,172",451,187,203,476,"5,368",280,15,246,"6,700","2,536",635,78,717,362,46,511,"1,207","1,899","1,297",400,501,346,"2,110",69,366,195,"3,123",79,430,67,504,"1,088",835,408,"1,511",29,"4,048",314,96,407,136,262,"1,001","2,288",110,101,"1,040",766,141,279,292,287,"1,131",516,503,909,422,"2,778",212,"15,884","1,674",550,"2,152",170,"1,985",534,690,"17,354",386,"1,793","1,441",914
3,경기도,"534,510","1,909",379,"4,220","1,874","2,950","3,143",364,"2,577",800,"2,027",225,877,"7,612",144,310,"1,760","14,703","5,532","2,851",231,640,"4,707","5,646","4,941","2,576","7,334","1,631","4,711","2,439","1,040",772,"2,129","22,467","1,212",91,933,"34,319","12,658","2,832",327,"1,168","1,881",186,"2,666","5,237","8,075","6,180","1,960","3,104","1,276","8,867",369,"1,238","1,217","15,950",510,"1,942",351,"2,351","4,926","3,292","1,726","8,512",149,"17,486","1,501",437,"2,088",640,"1,113","3,686","10,863",619,606,"4,285","3,846",666,"2,170","1,167","1,032","4,915","1,914","1,874","4,231","1,889","11,788","1,121","69,747","8,076","1,615","9,923",806,"8,089","2,420","3,197","79,025","1,752","7,135","7,815","3,947"
4,강원도,"83,778",303,94,510,457,435,512,30,503,670,319,27,328,871,16,13,298,"1,463",632,380,37,63,763,"1,027",629,323,866,601,807,153,97,183,391,"3,531",189,*,117,"2,587","1,593",400,37,413,234,16,169,907,"1,035",672,226,848,238,"2,910",37,246,149,"1,031",111,246,43,209,674,"1,573",334,866,40,"3,200",184,92,646,49,129,"1,005","1,768",90,61,847,545,89,640,143,157,"1,008",760,455,391,403,"1,973",182,"3,217","1,849","2,125","1,627",58,"1,018",432,359,"19,448",210,"1,451","1,089",595
5,대전광역시,"68,910",214,38,507,303,72,399,28,457,116,211,64,149,"1,263",19,35,312,"1,300",719,434,25,142,594,589,677,384,"1,330",304,528,233,104,100,315,"3,266",158,87,219,"3,230","2,040",390,61,147,336,44,273,868,687,784,179,389,227,"1,386",73,205,148,"1,768",64,317,47,272,737,649,321,903,24,"2,825",274,58,409,83,144,449,"1,404",97,67,748,513,100,227,168,164,550,266,279,532,432,"2,064",178,"5,743","1,005",18,"1,091",110,"1,133",329,524,"11,532",230,"1,013","1,224",663
6,충청북도,"75,554",291,74,460,430,463,377,28,441,116,279,54,245,735,18,32,645,"1,468",789,345,37,95,476,726,768,312,"1,152",548,709,191,105,146,333,"3,422",167,4,104,"2,860","2,217",310,46,147,245,23,166,873,"1,001",719,167,647,255,"2,310",45,235,177,"1,202",104,287,38,229,667,863,282,892,39,"2,969",176,85,414,62,172,497,"1,803",86,70,774,518,98,706,146,195,892,490,349,425,398,"1,911",189,"4,528","1,541",337,"1,431",75,"1,042",335,404,"15,159",257,"1,811","1,028",550
7,충청남도,"99,177",297,126,640,517,712,455,36,"1,218",641,339,73,379,"1,072",17,46,661,"1,827","1,070",474,30,102,687,"1,038",936,437,"1,232",600,843,230,181,194,432,"4,167",218,5,133,"4,163","2,333",389,48,726,340,28,256,"1,093","1,230",867,189,"1,006",317,"3,402",50,289,206,"1,412",102,338,53,316,937,"1,506",314,"1,089",71,"3,321",284,146,605,55,190,750,"2,403",113,92,"1,019",675,137,"1,007",126,211,"1,207",671,457,566,509,"2,511",215,"5,773","2,005","1,142","2,140",99,"1,245",439,526,"19,277",264,"1,688","1,312",862
8,세종특별자치시,"11,896",21,4,58,36,18,28,12,39,12,57,6,27,204,5,9,89,383,86,99,3,19,166,105,99,64,146,39,92,29,21,12,74,377,19,0,19,"1,306",193,52,9,16,59,5,41,95,136,175,34,61,17,225,11,22,25,207,6,42,5,24,113,67,49,257,5,340,20,9,33,14,32,89,187,12,23,113,115,12,66,20,3,141,52,38,84,51,363,38,"1,056",314,4,246,15,151,40,74,"2,003",36,156,140,72
9,광주광역시,"69,263",211,39,441,348,188,440,32,396,170,230,74,108,694,24,36,283,"2,426",411,463,36,126,382,"1,026",734,335,"1,095",316,489,374,102,184,289,"3,173",220,11,212,"3,988","1,650",395,52,318,267,46,301,840,860,879,219,429,261,"1,491",48,214,111,"1,896",48,346,40,198,673,526,414,"1,089",29,"3,182",319,66,259,76,99,266,"1,512",63,55,535,481,164,264,253,238,487,217,292,634,396,"1,378",186,"5,522","1,041",21,"1,033",124,"1,503",422,414,"9,708",226,"2,367","1,134",580
