,A. 도시명,B. 업종전체,가구점,가스충전소,가전제품수리점,가전제품판매점,간이주점,간판광고물업,감정평가사,건강보조식품가게,건어물가게,건축사,결혼상담소,곡물가게,공부방,공인노무사,공인회계사,과일가게,교습학원,구내식당,기술및직업훈련학원,기술사,기타 일반의원,기타외국식전문점,기타음식점,꽃가게,내과ㆍ소아과 의원,노래방,담배가게,당구장,독서실,동물병원,목욕탕,문구점,미용실,법무사,변리사,변호사,부동산중개업,분식점,사진촬영업,산부인과 의원,생선가게,서점,성형외과 의원,세무사,세탁소,슈퍼마켓,스포츠교육기관,스포츠시설운영업,스포츠용품점,시계ㆍ귀금속점,식료품가게,신경정신과 의원,신발가게,실내스크린골프점,실내장식가게,실외골프연습장,안경점,안과 의원,애완용품점,약국,여관ㆍ모텔,여행사,예술학원,예식장,옷가게,의료용품가게,이륜자동차판매점,이발소,이비인후과 의원,일반외과 의원,일식전문점,자동차수리점,자전거판매점,장난감가게,정육점,제과점,종합병원,주유소,주차장운영업,중고차판매점,중식전문점,채소가게,철물점,치과병원ㆍ의원,침구ㆍ커튼가게,커피음료점,컴퓨터판매점,통신판매업,패스트푸드점,펜션ㆍ게스트하우스,편의점,피부ㆍ비뇨기과 의원,피부관리업,피시방,한방병원ㆍ한의원,한식전문점,헬스클럽,호프전문점,화장품가게,휴대폰가게
0,합계,"2,350,456","7,478","1,612","15,023","10,066","15,175","12,957","1,134","13,222","7,185","9,735","1,576","5,006","31,935",871,"1,832","11,684","55,970","22,640","12,890","1,023","3,231","23,337","24,343","23,584","11,354","30,840","13,011","18,483","9,900","4,060","5,556","9,249","100,385","6,464",996,"7,195","124,164","53,873","13,843","1,666","11,022","8,214","1,453","12,228","22,984","30,121","24,147","7,539","15,063","8,165","49,802","1,704","6,723","4,752","54,733","2,288","9,202","1,648","7,904","22,515","21,289","14,125","30,845",930,"86,474","7,018","2,649","11,844","2,569","4,778","18,300","43,588","2,559","3,071","19,676","16,806","3,383","10,719","7,608","4,802","23,857","11,090","8,841","18,151","9,986","57,190","5,030","242,982","37,620","12,506","40,801","3,860","35,700","10,391","14,803","383,093","7,390","34,296","35,070","18,011"
1,서울특별시,"468,708","1,022",77,"2,397","1,549","4,943","2,690",244,2119,751,2494,432,659,"6,847",386,849,"1,239","10,391","4,185","2,907",283,880,"7,101","4,756","4,321","2,473","5,848","2,319","3,290","3,539",822,738,"1,573","17,860","1,945",700,"3,694","30,556","11,007","4,541",500,"1,484","1,637",711,"5,033","4,500","4,079","4,433","2,094","1,480","1,895","5,615",472,"1,393",655,"13,526",370,"2,059",445,"1,325","5,068","2,038","5,614","5,503",170,"16,032","1,585",468,"2,167",679,"1,066","5,592","4,854",412,562,"2,799","3,538",437,394,"1,749",478,"4,675","1,535","1,401","4,888","1,318","11,556","1,006","72,591","6,058",644,"7,983","1,320","7,060","1,698","3,710","53,100","1,762","7,255","6,763","3,047"
2,인천광역시,"119,193",288,70,"1,080",361,"1,583",536,77,640,378,347,66,192,"1,619",38,66,420,"2,495","1,427",511,27,145,776,"1,047",943,598,"2,339",359,"1,184",451,187,204,478,"5,410",280,15,251,"6,737","2,520",645,78,727,361,47,514,"1,223","1,891","1,312",399,508,348,"2,122",70,359,200,"3,169",79,429,66,501,"1,099",840,413,"1,509",30,"4,031",314,98,410,136,261,"1,001","2,297",109,137,"1,046",774,143,276,299,285,"1,142",529,503,913,424,"2,824",211,"16,144","1,682",573,"2,183",169,"2,040",531,689,"17,386",394,"1,796","1,448",911
3,경기도,"538,423","1,903",379,"4,292","1,895","2,963","3,143",362,2587,810,2020,228,875,"7,695",145,309,"1,784","14,751","5,507","2,882",231,638,"4,755","5,620","5,422","2,580","7,333","1,637","4,709","2,437","1,043",775,"2,132","22,552","1,209",89,942,"34,452","12,598","2,866",329,"1,182","1,887",186,"2,686","5,262","8,065","6,248","1,999","3,111","1,284","8,984",368,"1,246","1,225","16,138",506,"1,962",353,"2,365","4,934","3,299","1,732","8,517",148,"17,504","1,512",445,"2,090",645,"1,117","3,690","10,933",617,864,"4,286","3,863",664,"2,157","1,201","1,030","4,964","1,935","1,864","4,247","1,903","12,007","1,120","70,948","8,136","1,678","10,021",810,"8,271","2,414","3,201","79,073","1,774","7,120","7,835","3,918"
4,강원도,"84,145",304,94,532,463,432,511,29,503,666,319,26,326,876,16,13,301,"1,468",629,388,37,63,759,"1,035",746,322,860,600,809,153,97,180,388,"3,542",190,*,117,"2,599","1,591",402,37,412,231,16,169,914,"1,026",674,231,844,238,"2,917",37,248,152,"1,048",111,250,43,208,674,"1,577",337,864,40,"3,189",182,93,646,49,131,"1,003","1,768",89,94,848,547,89,633,145,159,"1,011",765,450,390,402,"2,007",181,"3,261","1,865","2,162","1,637",58,"1,035",433,359,"19,453",210,"1,431","1,091",594
5,대전광역시,"69,213",210,38,509,306,69,397,29,454,114,213,65,149,"1,272",18,35,312,"1,291",711,439,25,142,600,589,709,384,"1,329",301,525,237,103,101,317,"3,278",162,89,219,"3,229","2,021",394,61,149,335,43,273,871,690,799,180,393,227,"1,403",73,208,147,"1,780",62,319,48,271,738,655,319,905,24,"2,813",274,57,409,82,141,450,"1,403",97,94,754,511,100,226,166,167,554,269,279,534,430,"2,085",180,"5,839","1,015",19,"1,106",110,"1,161",333,524,"11,553",232,"1,006","1,220",662
6,충청북도,"76,004",288,75,461,435,463,376,28,442,116,279,54,249,744,18,32,646,"1,466",786,348,36,95,481,728,884,313,"1,154",549,710,192,106,146,335,"3,428",168,4,104,"2,867","2,236",313,45,149,243,23,166,881,999,718,171,646,255,"2,310",45,233,178,"1,219",104,288,38,235,667,861,281,888,38,"2,967",176,87,415,62,174,502,"1,809",84,94,774,522,99,709,147,197,887,493,351,427,401,"1,937",188,"4,583","1,553",356,"1,458",75,"1,054",331,403,"15,214",258,"1,805","1,030",546
7,충청남도,"99,714",299,129,645,516,704,456,36,1219,640,339,73,376,"1,080",19,45,660,"1,844","1,064",475,29,102,678,"1,030","1,081",439,"1,231",595,838,231,180,194,432,"4,175",218,5,134,"4,178","2,321",386,48,716,344,29,256,"1,097","1,243",868,195,"1,012",318,"3,426",50,288,206,"1,425",103,340,53,314,943,"1,515",313,"1,086",72,"3,323",286,147,606,55,190,753,"2,416",112,130,"1,014",679,139,"1,000",125,212,"1,209",677,457,568,506,"2,550",217,"5,878","2,016","1,166","2,166",98,"1,262",444,526,"19,327",263,"1,666","1,314",861
8,세종특별자치시,"12,030",23,4,65,39,19,27,12,43,12,55,6,27,207,5,9,99,385,86,97,3,19,167,104,113,63,147,38,93,30,23,12,75,383,20,0,19,"1,308",200,55,9,18,59,5,41,94,135,175,36,59,17,229,11,22,25,210,6,42,5,23,116,67,51,259,5,347,20,9,33,15,33,88,188,12,25,113,114,12,67,21,3,144,54,38,84,53,370,37,"1,078",320,4,245,15,155,42,73,"2,006",34,158,141,68
9,광주광역시,"69,512",213,39,450,356,191,438,32,394,172,230,72,110,700,24,36,283,"2,421",408,468,36,126,383,"1,021",763,332,"1,088",312,495,374,102,180,289,"3,185",221,11,214,"3,998","1,642",392,52,316,269,46,301,844,865,883,224,428,261,"1,495",48,213,110,"1,900",47,349,40,199,673,523,410,"1,093",28,"3,180",314,67,261,76,99,265,"1,515",63,80,531,477,164,263,255,238,486,219,293,634,393,"1,446",187,"5,583","1,050",20,"1,027",124,"1,522",421,415,"9,726",225,"2,361","1,136",578
