,A. 도시명,B. 업종전체,가구점,가스충전소,가전제품수리점,가전제품판매점,간이주점,간판광고물업,감정평가사,건강보조식품가게,건어물가게,건축사,결혼상담소,곡물가게,공부방,공인노무사,공인회계사,과일가게,교습학원,구내식당,기술및직업훈련학원,기술사,기타 일반의원,기타외국식전문점,기타음식점,꽃가게,내과ㆍ소아과 의원,노래방,담배가게,당구장,독서실,동물병원,목욕탕,문구점,미용실,법무사,변리사,변호사,부동산중개업,분식점,사진촬영업,산부인과 의원,생선가게,서점,성형외과 의원,세무사,세탁소,슈퍼마켓,스포츠교육기관,스포츠시설운영업,스포츠용품점,시계ㆍ귀금속점,식료품가게,신경정신과 의원,신발가게,실내스크린골프점,실내장식가게,실외골프연습장,안경점,안과 의원,애완용품점,약국,여관ㆍ모텔,여행사,예술학원,예식장,옷가게,의료용품가게,이륜자동차판매점,이발소,이비인후과 의원,일반외과 의원,일식전문점,자동차수리점,자전거판매점,장난감가게,정육점,제과점,종합병원,주유소,주차장운영업,중고차판매점,중식전문점,채소가게,철물점,치과병원ㆍ의원,침구ㆍ커튼가게,커피음료점,컴퓨터판매점,통신판매업,패스트푸드점,펜션ㆍ게스트하우스,편의점,피부ㆍ비뇨기과 의원,피부관리업,피시방,한방병원ㆍ한의원,한식전문점,헬스클럽,호프전문점,화장품가게,휴대폰가게
0,합계," 2,389,698 "," 7,521 "," 1,603 "," 15,251 "," 10,100 "," 14,756 "," 12,987 "," 1,169 "," 13,478 "," 7,201 "," 9,788 "," 1,617 "," 5,034 "," 33,451 ", 905 ," 1,830 "," 11,885 "," 56,122 "," 22,045 "," 13,564 "," 1,051 "," 3,262 "," 23,706 "," 23,915 "," 23,784 "," 11,410 "," 30,464 "," 12,847 "," 18,305 "," 9,833 "," 4,081 "," 5,549 "," 9,239 "," 101,511 "," 6,475 "," 1,007 "," 7,289 "," 124,937 "," 54,158 "," 14,119 "," 1,678 "," 11,305 "," 8,289 "," 1,471 "," 12,442 "," 23,248 "," 29,637 "," 24,726 "," 7,838 "," 15,069 "," 8,177 "," 49,291 "," 1,733 "," 6,606 "," 4,856 "," 56,190 "," 2,255 "," 9,235 "," 1,658 "," 8,011 "," 22,629 "," 21,098 "," 14,216 "," 31,008 ", 905 ," 86,713 "," 7,100 "," 2,658 "," 11,896 "," 2,579 "," 4,828 "," 18,197 "," 43,932 "," 2,543 "," 3,071 "," 19,725 "," 17,116 "," 3,402 "," 10,684 "," 7,773 "," 4,787 "," 24,499 "," 11,284 "," 8,859 "," 18,236 "," 9,935 "," 60,545 "," 4,983 "," 262,691 "," 38,641 "," 13,402 "," 41,638 "," 3,906 "," 37,313 "," 10,208 "," 14,858 "," 386,351 "," 7,680 "," 33,595 "," 35,160 "," 18,090 "
1,서울특별시," 476,341 "," 1,028 ", 75 ," 2,427 "," 1,538 "," 4,798 "," 2,669 ", 255 ," 2,169 ", 745 ," 2,505 ", 441 , 654 ," 7,132 ", 399 , 841 ," 1,244 "," 10,349 "," 4,012 "," 3,041 ", 294 , 895 ," 7,218 "," 4,623 "," 4,358 "," 2,482 "," 5,797 "," 2,289 "," 3,236 "," 3,491 ", 823 , 721 ," 1,571 "," 17,968 "," 1,939 ", 710 ," 3,744 "," 30,934 "," 10,965 "," 4,611 ", 501 ," 1,458 "," 1,637 ", 720 ," 5,134 "," 4,535 "," 3,960 "," 4,553 "," 2,157 "," 1,481 "," 1,886 "," 5,535 ", 484 ," 1,349 ", 669 ," 13,715 ", 373 ," 2,064 ", 449 ," 1,314 "," 5,067 "," 1,996 "," 5,612 "," 5,494 ", 172 ," 16,064 "," 1,600 ", 463 ," 2,170 ", 680 ," 1,087 "," 5,574 "," 4,892 ", 403 , 550 ," 2,790 "," 3,581 ", 437 , 399 ," 1,760 ", 493 ," 4,848 "," 1,556 "," 1,397 "," 4,909 "," 1,309 "," 12,060 "," 1,008 "," 78,021 "," 6,267 ", 705 ," 7,990 "," 1,338 "," 7,244 "," 1,646 "," 3,711 "," 53,367 "," 1,846 "," 7,056 "," 6,734 "," 3,080 "
2,인천광역시," 121,552 ", 299 , 69 ," 1,099 ", 361 ," 1,527 ", 549 , 78 , 657 , 368 , 347 , 67 , 199 ," 1,655 ", 40 , 66 , 435 ," 2,510 "," 1,394 ", 560 , 26 , 144 , 795 ," 1,000 ", 949 , 600 ," 2,323 ", 366 ," 1,167 ", 444 , 189 , 213 , 470 ," 5,448 ", 280 , 14 , 245 ," 6,759 "," 2,567 ", 659 , 79 , 753 , 358 , 48 , 523 ," 1,240 "," 1,862 "," 1,353 ", 407 , 519 , 352 ," 2,108 ", 72 , 347 , 199 ," 3,241 ", 78 , 428 , 65 , 503 ," 1,105 ", 827 , 414 ," 1,522 ", 25 ," 4,095 ", 307 , 95 , 419 , 138 , 269 , 965 ," 2,320 ", 107 , 144 ," 1,060 ", 800 , 145 , 273 , 306 , 274 ," 1,181 ", 544 , 504 , 914 , 428 ," 2,962 ", 213 ," 17,322 "," 1,731 ", 611 ," 2,221 ", 172 ," 2,137 ", 520 , 695 ," 17,768 ", 416 ," 1,764 "," 1,438 ", 928 
3,경기도," 551,603 "," 1,908 ", 370 ," 4,466 "," 1,931 "," 2,878 "," 3,172 ", 374 ," 2,674 ", 813 ," 2,052 ", 246 , 880 ," 8,144 ", 150 , 311 ," 1,843 "," 14,880 "," 5,345 "," 3,038 ", 238 , 648 ," 4,934 "," 5,578 "," 5,470 "," 2,602 "," 7,259 "," 1,648 "," 4,679 "," 2,414 "," 1,045 ", 771 ," 2,133 "," 22,898 "," 1,222 ", 92 , 964 ," 34,887 "," 12,742 "," 2,970 ", 335 ," 1,215 "," 1,941 ", 189 ," 2,746 "," 5,342 "," 7,968 "," 6,433 "," 2,081 "," 3,155 "," 1,303 "," 8,975 ", 370 ," 1,248 "," 1,255 "," 16,662 ", 504 ," 1,989 ", 355 ," 2,415 "," 5,012 "," 3,251 "," 1,769 "," 8,555 ", 145 ," 17,614 "," 1,542 ", 452 ," 2,103 ", 650 ," 1,132 "," 3,695 "," 11,082 ", 613 , 858 ," 4,245 "," 3,957 ", 674 ," 2,157 "," 1,241 "," 1,022 "," 5,205 "," 1,971 "," 1,860 "," 4,277 "," 1,884 "," 12,815 "," 1,090 "," 77,279 "," 8,408 "," 1,791 "," 10,337 ", 824 ," 8,731 "," 2,359 "," 3,230 "," 79,907 "," 1,853 "," 6,976 "," 7,873 "," 4,014 "
4,강원도," 85,274 ", 302 , 96 , 531 , 467 , 433 , 514 , 33 , 502 , 671 , 324 , 27 , 331 , 889 , 16 , 13 , 305 ," 1,462 ", 618 , 414 , 38 , 64 , 761 ," 1,035 ", 749 , 320 , 856 , 591 , 805 , 159 , 95 , 183 , 376 ," 3,565 ", 188 , * , 118 ," 2,605 "," 1,623 ", 413 , 37 , 512 , 236 , 16 , 174 , 932 ," 1,025 ", 679 , 233 , 859 , 237 ," 2,883 ", 40 , 239 , 156 ," 1,096 ", 108 , 251 , 43 , 219 , 674 ," 1,570 ", 342 , 885 , 41 ," 3,214 ", 184 , 95 , 656 , 49 , 133 , 989 ," 1,782 ", 89 , 97 , 853 , 563 , 85 , 627 , 148 , 157 ," 1,026 ", 786 , 458 , 394 , 401 ," 2,143 ", 187 ," 3,471 "," 1,887 "," 2,288 "," 1,686 ", 58 ," 1,068 ", 435 , 365 ," 19,571 ", 217 ," 1,399 "," 1,119 ", 614 
5,대전광역시," 70,226 ", 210 , 37 , 510 , 306 , 74 , 394 , 30 , 463 , 121 , 215 , 67 , 147 ," 1,303 ", 20 , 37 , 310 ," 1,283 ", 704 , 457 , 26 , 143 , 604 , 575 , 711 , 380 ," 1,319 ", 295 , 519 , 236 , 100 , 100 , 319 ," 3,310 ", 167 , 87 , 223 ," 3,284 "," 1,984 ", 402 , 61 , 157 , 336 , 46 , 275 , 871 , 675 , 812 , 178 , 375 , 225 ," 1,388 ", 73 , 202 , 152 ," 1,833 ", 65 , 316 , 48 , 275 , 741 , 641 , 330 , 906 , 23 ," 2,810 ", 274 , 58 , 411 , 82 , 142 , 450 ," 1,422 ", 97 , 92 , 750 , 513 , 100 , 226 , 171 , 168 , 589 , 285 , 284 , 534 , 417 ," 2,211 ", 185 ," 6,316 "," 1,056 ", 19 ," 1,140 ", 111 ," 1,198 ", 331 , 522 ," 11,667 ", 250 , 974 ," 1,251 ", 644 
6,충청북도," 77,078 ", 288 , 74 , 465 , 436 , 471 , 377 , 29 , 441 , 117 , 276 , 54 , 247 , 789 , 18 , 33 , 661 ," 1,442 ", 777 , 376 , 36 , 95 , 510 , 736 , 895 , 319 ," 1,150 ", 547 , 709 , 186 , 107 , 148 , 337 ," 3,463 ", 170 , 4 , 105 ," 2,847 "," 2,247 ", 314 , 46 , 159 , 243 , 24 , 167 , 888 , 998 , 730 , 180 , 656 , 259 ," 2,285 ", 45 , 230 , 177 ," 1,274 ", 101 , 289 , 38 , 243 , 671 , 860 , 281 , 893 , 36 ," 2,980 ", 182 , 90 , 418 , 61 , 176 , 493 ," 1,813 ", 83 , 86 , 789 , 534 , 98 , 712 , 151 , 193 , 896 , 506 , 353 , 431 , 397 ," 2,039 ", 188 ," 4,969 "," 1,577 ", 381 ," 1,486 ", 77 ," 1,110 ", 339 , 405 ," 15,356 ", 267 ," 1,773 "," 1,059 ", 541 
7,충청남도," 100,995 ", 298 , 127 , 649 , 531 , 681 , 455 , 36 ," 1,241 ", 640 , 340 , 73 , 386 ," 1,149 ", 23 , 45 , 670 ," 1,845 "," 1,047 ", 508 , 29 , 101 , 668 ," 1,001 "," 1,092 ", 440 ," 1,212 ", 590 , 824 , 240 , 181 , 199 , 437 ," 4,227 ", 217 , 5 , 139 ," 4,135 "," 2,326 ", 398 , 49 , 725 , 350 , 28 , 261 ," 1,118 "," 1,228 ", 889 , 209 ," 1,005 ", 319 ," 3,405 ", 52 , 277 , 215 ," 1,484 ", 97 , 341 , 53 , 335 , 954 ," 1,512 ", 317 ," 1,108 ", 71 ," 3,323 ", 285 , 146 , 611 , 56 , 192 , 740 ," 2,421 ", 111 , 131 ," 1,009 ", 682 , 142 , 997 , 134 , 210 ," 1,224 ", 688 , 458 , 570 , 513 ," 2,677 ", 212 ," 6,408 "," 2,038 "," 1,208 "," 2,213 ", 98 ," 1,325 ", 446 , 525 ," 19,567 ", 270 ," 1,608 "," 1,305 ", 845 
8,세종특별자치시," 12,461 ", 24 , 4 , 66 , 42 , 16 , 26 , 12 , 48 , 11 , 55 , 6 , 29 , 239 , 5 , 10 , 103 , 405 , 81 , 104 , 3 , 19 , 163 , 106 , 111 , 63 , 143 , 38 , 91 , 35 , 24 , 12 , 80 , 398 , 22 , * , 19 ," 1,320 ", 194 , 56 , 9 , 22 , 64 , 5 , 42 , 98 , 131 , 185 , 38 , 64 , 16 , 235 , 11 , 23 , 27 , 226 , 4 , 45 , 5 , 25 , 115 , 69 , 54 , 257 , 5 , 361 , 25 , 8 , 36 , 16 , 33 , 87 , 196 , 12 , 25 , 113 , 120 , 12 , 67 , 23 , 4 , 145 , 57 , 40 , 85 , 51 , 401 , 34 ," 1,205 ", 321 , 4 , 257 , 15 , 168 , 43 , 75 ," 2,056 ", 36 , 150 , 150 , 71 
9,광주광역시," 70,526 ", 213 , 39 , 447 , 349 , 190 , 443 , 37 , 397 , 178 , 234 , 76 , 113 , 738 , 27 , 37 , 289 ," 2,422 ", 401 , 485 , 35 , 127 , 380 , 996 , 765 , 335 ," 1,075 ", 302 , 494 , 377 , 103 , 180 , 293 ," 3,229 ", 221 , 11 , 212 ," 4,058 "," 1,594 ", 398 , 52 , 324 , 275 , 48 , 304 , 859 , 855 , 895 , 238 , 433 , 259 ," 1,468 ", 48 , 211 , 113 ," 1,981 ", 46 , 351 , 40 , 203 , 677 , 508 , 417 ," 1,097 ", 25 ," 3,209 ", 318 , 67 , 256 , 76 , 99 , 270 ," 1,507 ", 63 , 79 , 542 , 476 , 169 , 258 , 252 , 238 , 495 , 225 , 294 , 637 , 391 ," 1,595 ", 184 ," 5,988 "," 1,095 ", 22 ," 1,041 ", 125 ," 1,586 ", 406 , 413 ," 9,849 ", 229 ," 2,326 "," 1,154 ", 565 
