,A. 도시명,B. 업종전체,가구점,가스충전소,가전제품수리점,가전제품판매점,간이주점,간판광고물업,감정평가사,건강보조식품가게,건어물가게,건축사,결혼상담소,곡물가게,공부방,공인노무사,공인회계사,과일가게,교습학원,구내식당,기술및직업훈련학원,기술사,기타 일반의원,기타외국식전문점,기타음식점,꽃가게,내과ㆍ소아과 의원,노래방,담배가게,당구장,독서실,동물병원,목욕탕,문구점,미용실,법무사,변리사,변호사,부동산중개업,분식점,사진촬영업,산부인과 의원,생선가게,서점,성형외과 의원,세무사,세탁소,슈퍼마켓,스포츠교육기관,스포츠시설운영업,스포츠용품점,시계ㆍ귀금속점,식료품가게,신경정신과 의원,신발가게,실내스크린골프점,실내장식가게,실외골프연습장,안경점,안과 의원,애완용품점,약국,여관ㆍ모텔,여행사,예술학원,예식장,옷가게,의료용품가게,이륜자동차판매점,이발소,이비인후과 의원,일반외과 의원,일식전문점,자동차수리점,자전거판매점,장난감가게,정육점,제과점,종합병원,주유소,주차장운영업,중고차판매점,중식전문점,채소가게,철물점,치과병원ㆍ의원,침구ㆍ커튼가게,커피음료점,컴퓨터판매점,통신판매업,패스트푸드점,펜션ㆍ게스트하우스,편의점,피부ㆍ비뇨기과 의원,피부관리업,피시방,한방병원ㆍ한의원,한식전문점,헬스클럽,호프전문점,화장품가게,휴대폰가게
0,합계," 2,397,281 "," 7,486 "," 1,604 "," 15,534 "," 10,019 "," 14,413 "," 12,976 "," 1,169 "," 13,454 "," 7,190 "," 9,813 "," 1,596 "," 5,009 "," 33,880 ", 908 ," 1,826 "," 11,791 "," 55,880 "," 21,677 "," 13,868 "," 1,059 "," 3,276 "," 23,778 "," 23,474 "," 23,742 "," 11,406 "," 30,291 "," 12,620 "," 18,111 "," 9,649 "," 4,080 "," 5,495 "," 9,168 "," 101,771 "," 6,459 "," 1,029 "," 7,351 "," 125,057 "," 53,934 "," 14,138 "," 1,679 "," 11,334 "," 8,287 "," 1,480 "," 12,523 "," 23,310 "," 29,289 "," 24,945 "," 7,980 "," 14,987 "," 8,152 "," 48,680 "," 1,748 "," 6,551 "," 4,925 "," 56,837 "," 2,228 "," 9,216 "," 1,665 "," 8,000 "," 22,687 "," 20,939 "," 14,185 "," 30,846 ", 890 ," 86,092 "," 7,103 "," 2,645 "," 11,833 "," 2,592 "," 4,855 "," 17,955 "," 44,056 "," 2,528 "," 3,051 "," 19,654 "," 17,161 "," 3,410 "," 10,674 "," 7,830 "," 4,778 "," 24,610 "," 11,273 "," 8,814 "," 18,256 "," 9,865 "," 61,548 "," 4,980 "," 271,383 "," 38,956 "," 13,638 "," 41,786 "," 3,916 "," 37,874 "," 10,102 "," 14,817 "," 386,161 "," 7,718 "," 32,992 "," 34,922 "," 18,109 "
1,서울특별시," 477,788 "," 1,020 ", 77 ," 2,567 "," 1,520 "," 4,658 "," 2,649 ", 253 ," 2,161 ", 753 ," 2,511 ", 429 , 650 ," 7,226 ", 398 , 840 ," 1,235 "," 10,292 "," 3,906 "," 3,097 ", 291 , 895 ," 7,239 "," 4,494 "," 4,348 "," 2,482 "," 5,758 "," 2,226 "," 3,189 "," 3,421 ", 821 , 716 ," 1,551 "," 18,000 "," 1,938 ", 730 ," 3,781 "," 30,919 "," 10,898 "," 4,589 ", 501 ," 1,445 "," 1,633 ", 727 ," 5,162 "," 4,541 "," 3,912 "," 4,592 "," 2,196 "," 1,456 "," 1,873 "," 5,452 ", 495 ," 1,332 ", 666 ," 13,781 ", 368 ," 2,048 ", 450 ," 1,301 "," 5,087 "," 1,964 "," 5,578 "," 5,465 ", 166 ," 15,932 "," 1,599 ", 459 ," 2,162 ", 686 ," 1,098 "," 5,534 "," 4,946 ", 399 , 534 ," 2,763 "," 3,576 ", 439 , 394 ," 1,761 ", 483 ," 4,853 "," 1,525 "," 1,388 "," 4,906 "," 1,291 "," 12,165 "," 1,015 "," 80,314 "," 6,354 ", 737 ," 7,953 "," 1,339 "," 7,324 "," 1,629 "," 3,694 "," 53,355 "," 1,854 "," 6,917 "," 6,631 "," 3,060 "
2,인천광역시," 121,917 ", 299 , 67 ," 1,091 ", 369 ," 1,496 ", 551 , 77 , 648 , 372 , 345 , 65 , 200 ," 1,650 ", 38 , 67 , 418 ," 2,497 "," 1,371 ", 578 , 27 , 146 , 809 , 973 , 946 , 593 ," 2,305 ", 358 ," 1,140 ", 437 , 187 , 213 , 475 ," 5,439 ", 284 , 14 , 248 ," 6,737 "," 2,561 ", 665 , 81 , 742 , 360 , 47 , 524 ," 1,241 "," 1,826 "," 1,352 ", 413 , 512 , 349 ," 2,099 ", 72 , 338 , 204 ," 3,282 ", 76 , 429 , 66 , 500 ," 1,109 ", 825 , 410 ," 1,499 ", 26 ," 4,069 ", 306 , 92 , 415 , 137 , 271 , 953 ," 2,330 ", 105 , 141 ," 1,060 ", 795 , 145 , 272 , 291 , 276 ," 1,184 ", 533 , 504 , 920 , 420 ," 3,005 ", 212 ," 17,852 "," 1,752 ", 617 ," 2,215 ", 176 ," 2,161 ", 517 , 697 ," 17,846 ", 414 ," 1,738 "," 1,430 ", 928 
3,경기도," 555,330 "," 1,924 ", 368 ," 4,500 "," 1,932 "," 2,834 "," 3,186 ", 378 ," 2,673 ", 809 ," 2,068 ", 246 , 880 ," 8,296 ", 151 , 308 ," 1,815 "," 14,882 "," 5,274 "," 3,121 ", 246 , 654 ," 4,989 "," 5,468 "," 5,480 "," 2,602 "," 7,238 "," 1,639 "," 4,657 "," 2,357 "," 1,050 ", 756 ," 2,121 "," 22,962 "," 1,217 ", 91 , 966 ," 34,976 "," 12,694 "," 3,003 ", 339 ," 1,220 "," 1,951 ", 189 ," 2,777 "," 5,363 "," 7,880 "," 6,508 "," 2,129 "," 3,163 "," 1,298 "," 8,890 ", 369 ," 1,237 "," 1,285 "," 16,869 ", 496 ," 1,990 ", 357 ," 2,432 "," 5,023 "," 3,229 "," 1,778 "," 8,531 ", 140 ," 17,493 "," 1,560 ", 454 ," 2,098 ", 653 ," 1,137 "," 3,659 "," 11,121 ", 605 , 862 ," 4,238 "," 3,987 ", 674 ," 2,165 "," 1,277 "," 1,011 "," 5,258 "," 1,981 "," 1,847 "," 4,277 "," 1,880 "," 13,097 "," 1,092 "," 80,153 "," 8,515 "," 1,828 "," 10,407 ", 824 ," 8,901 "," 2,340 "," 3,227 "," 79,896 "," 1,853 "," 6,833 "," 7,828 "," 4,045 "
4,강원도," 85,423 ", 302 , 95 , 541 , 467 , 428 , 514 , 33 , 500 , 656 , 325 , 28 , 332 , 894 , 15 , 13 , 300 ," 1,454 ", 614 , 419 , 38 , 67 , 777 ," 1,028 ", 744 , 325 , 847 , 581 , 789 , 154 , 96 , 180 , 374 ," 3,567 ", 189 , * , 118 ," 2,597 "," 1,627 ", 413 , 37 , 524 , 238 , 17 , 173 , 931 ," 1,017 ", 680 , 240 , 862 , 237 ," 2,840 ", 40 , 240 , 162 ," 1,118 ", 107 , 253 , 43 , 215 , 670 ," 1,575 ", 345 , 887 , 39 ," 3,180 ", 183 , 92 , 652 , 50 , 133 , 971 ," 1,790 ", 90 , 98 , 853 , 563 , 86 , 630 , 148 , 153 ," 1,035 ", 783 , 457 , 394 , 402 ," 2,191 ", 185 ," 3,665 "," 1,880 "," 2,314 "," 1,694 ", 58 ," 1,094 ", 428 , 365 ," 19,552 ", 223 ," 1,375 "," 1,103 ", 621 
5,대전광역시," 70,411 ", 209 , 38 , 526 , 298 , 74 , 394 , 30 , 457 , 123 , 213 , 68 , 146 ," 1,327 ", 20 , 38 , 302 ," 1,269 ", 693 , 465 , 26 , 145 , 597 , 578 , 698 , 382 ," 1,310 ", 286 , 515 , 238 , 96 , 99 , 322 ," 3,325 ", 165 , 86 , 223 ," 3,294 "," 1,968 ", 403 , 60 , 159 , 332 , 45 , 278 , 880 , 677 , 823 , 184 , 375 , 225 ," 1,378 ", 74 , 201 , 150 ," 1,878 ", 66 , 318 , 48 , 270 , 745 , 639 , 327 , 905 , 23 ," 2,790 ", 269 , 59 , 409 , 82 , 143 , 435 ," 1,427 ", 96 , 95 , 747 , 520 , 99 , 225 , 174 , 195 , 586 , 282 , 284 , 532 , 414 ," 2,242 ", 186 ," 6,475 "," 1,055 ", 19 ," 1,148 ", 112 ," 1,199 ", 324 , 520 ," 11,661 ", 253 , 940 ," 1,250 ", 658 
6,충청북도," 77,071 ", 283 , 75 , 459 , 434 , 468 , 377 , 29 , 436 , 114 , 276 , 53 , 243 , 817 , 18 , 33 , 652 ," 1,437 ", 770 , 383 , 35 , 94 , 524 , 733 , 891 , 322 ," 1,145 ", 532 , 708 , 189 , 108 , 146 , 329 ," 3,469 ", 170 , 4 , 106 ," 2,819 "," 2,219 ", 313 , 46 , 164 , 244 , 24 , 169 , 888 , 988 , 733 , 183 , 654 , 259 ," 2,268 ", 46 , 229 , 177 ," 1,301 ", 100 , 289 , 39 , 235 , 675 , 856 , 281 , 880 , 34 ," 2,964 ", 185 , 90 , 419 , 60 , 175 , 483 ," 1,813 ", 83 , 84 , 785 , 539 , 97 , 711 , 153 , 192 , 900 , 493 , 355 , 435 , 394 ," 2,083 ", 185 ," 5,138 "," 1,578 ", 382 ," 1,495 ", 77 ," 1,124 ", 339 , 404 ," 15,291 ", 265 ," 1,743 "," 1,044 ", 538 
7,충청남도," 101,074 ", 296 , 126 , 643 , 519 , 650 , 458 , 35 ," 1,243 ", 631 , 345 , 73 , 384 ," 1,157 ", 23 , 44 , 672 ," 1,838 "," 1,039 ", 520 , 29 , 101 , 680 , 974 ," 1,093 ", 439 ," 1,209 ", 587 , 807 , 236 , 186 , 199 , 440 ," 4,237 ", 217 , 6 , 140 ," 4,138 "," 2,320 ", 399 , 49 , 703 , 349 , 28 , 263 ," 1,116 "," 1,207 ", 896 , 214 ," 1,002 ", 313 ," 3,360 ", 52 , 277 , 209 ," 1,516 ", 95 , 341 , 52 , 335 , 955 ," 1,486 ", 326 ," 1,096 ", 72 ," 3,297 ", 279 , 144 , 608 , 57 , 193 , 733 ," 2,438 ", 110 , 130 ," 1,002 ", 689 , 141 , 997 , 134 , 213 ," 1,232 ", 695 , 453 , 572 , 504 ," 2,690 ", 215 ," 6,688 "," 2,049 "," 1,220 "," 2,200 ", 99 ," 1,341 ", 438 , 521 ," 19,549 ", 271 ," 1,580 "," 1,295 ", 852 
8,세종특별자치시," 12,722 ", 24 , 4 , 70 , 41 , 13 , 29 , 12 , 52 , 12 , 54 , 7 , 30 , 248 , 5 , 11 , 105 , 421 , 80 , 110 , 3 , 20 , 159 , 105 , 106 , 64 , 145 , 39 , 89 , 35 , 24 , 12 , 78 , 408 , 22 , * , 18 ," 1,348 ", 203 , 57 , 9 , 25 , 65 , 5 , 41 , 96 , 137 , 196 , 41 , 66 , 18 , 231 , 11 , 23 , 27 , 235 , 4 , 45 , 6 , 25 , 117 , 66 , 56 , 261 , 5 , 368 , 26 , 8 , 37 , 15 , 33 , 89 , 194 , 13 , 24 , 117 , 121 , 12 , 67 , 25 , 4 , 150 , 58 , 41 , 87 , 50 , 412 , 35 ," 1,280 ", 326 , 7 , 264 , 15 , 166 , 43 , 76 ," 2,073 ", 38 , 148 , 151 , 74 
9,광주광역시," 70,813 ", 214 , 38 , 449 , 347 , 191 , 435 , 36 , 399 , 177 , 236 , 79 , 116 , 743 , 29 , 37 , 289 ," 2,415 ", 402 , 499 , 34 , 129 , 385 , 979 , 767 , 330 ," 1,065 ", 296 , 486 , 366 , 107 , 180 , 293 ," 3,247 ", 219 , 11 , 216 ," 4,076 "," 1,563 ", 395 , 51 , 319 , 275 , 48 , 304 , 861 , 856 , 904 , 244 , 423 , 260 ," 1,454 ", 49 , 210 , 113 ," 1,993 ", 46 , 352 , 40 , 203 , 668 , 506 , 413 ," 1,105 ", 25 ," 3,208 ", 315 , 66 , 254 , 77 , 99 , 265 ," 1,500 ", 62 , 80 , 541 , 476 , 173 , 258 , 263 , 235 , 487 , 231 , 292 , 641 , 385 ," 1,642 ", 188 ," 6,177 "," 1,097 ", 23 ," 1,049 ", 123 ," 1,609 ", 403 , 410 ," 9,918 ", 230 ," 2,286 "," 1,175 ", 578 
