,A. 도시명,B. 업종전체,가구점,가스충전소,가전제품수리점,가전제품판매점,간이주점,간판광고물업,감정평가사,건강보조식품가게,건어물가게,건축사,결혼상담소,곡물가게,공부방,공인노무사,공인회계사,과일가게,교습학원,구내식당,기술및직업훈련학원,기술사,기타 일반의원,기타외국식전문점,기타음식점,꽃가게,내과ㆍ소아과 의원,노래방,담배가게,당구장,독서실,동물병원,목욕탕,문구점,미용실,법무사,변리사,변호사,부동산중개업,분식점,사진촬영업,산부인과 의원,생선가게,서점,성형외과 의원,세무사,세탁소,슈퍼마켓,스포츠교육기관,스포츠시설운영업,스포츠용품점,시계ㆍ귀금속점,식료품가게,신경정신과 의원,신발가게,실내스크린골프점,실내장식가게,실외골프연습장,안경점,안과 의원,애완용품점,약국,여관ㆍ모텔,여행사,예술학원,예식장,옷가게,의료용품가게,이륜자동차판매점,이발소,이비인후과 의원,일반외과 의원,일식전문점,자동차수리점,자전거판매점,장난감가게,정육점,제과점,종합병원,주유소,주차장운영업,중고차판매점,중식전문점,채소가게,철물점,치과병원ㆍ의원,침구ㆍ커튼가게,커피음료점,컴퓨터판매점,통신판매업,패스트푸드점,펜션ㆍ게스트하우스,편의점,피부ㆍ비뇨기과 의원,피부관리업,피시방,한방병원ㆍ한의원,한식전문점,헬스클럽,호프전문점,화장품가게,휴대폰가게
0,합계," 2,376,170 "," 7,503 "," 1,606 "," 15,212 "," 10,082 "," 14,916 "," 12,977 "," 1,165 "," 13,411 "," 7,181 "," 9,779 "," 1,601 "," 5,022 "," 33,029 ", 892 ," 1,830 "," 11,857 "," 56,071 "," 22,199 "," 13,371 "," 1,042 "," 3,251 "," 23,604 "," 24,004 "," 23,689 "," 11,389 "," 30,514 "," 12,900 "," 18,321 "," 9,882 "," 4,087 "," 5,547 "," 9,225 "," 101,168 "," 6,476 "," 1,002 "," 7,275 "," 124,673 "," 53,869 "," 14,029 "," 1,676 "," 11,161 "," 8,271 "," 1,462 "," 12,406 "," 23,162 "," 29,779 "," 24,557 "," 7,749 "," 15,083 "," 8,182 "," 49,416 "," 1,722 "," 6,637 "," 4,845 "," 55,690 "," 2,257 "," 9,228 "," 1,653 "," 7,952 "," 22,582 "," 21,154 "," 14,178 "," 30,949 ", 903 ," 86,461 "," 7,061 "," 2,656 "," 11,874 "," 2,574 "," 4,812 "," 18,225 "," 43,763 "," 2,550 "," 3,071 "," 19,738 "," 17,002 "," 3,399 "," 10,686 "," 7,731 "," 4,804 "," 24,364 "," 11,232 "," 8,852 "," 18,196 "," 9,933 "," 59,730 "," 4,960 "," 256,045 "," 38,291 "," 13,264 "," 41,443 "," 3,896 "," 36,845 "," 10,258 "," 14,835 "," 384,852 "," 7,600 "," 33,735 "," 35,121 "," 18,006 "
1,서울특별시," 473,615 "," 1,023 ", 75 ," 2,413 "," 1,540 "," 4,849 "," 2,672 ", 251 ," 2,152 ", 746 ," 2,507 ", 432 , 655 ," 7,047 ", 393 , 844 ," 1,244 "," 10,339 "," 4,058 "," 3,001 ", 288 , 893 ," 7,188 "," 4,644 "," 4,341 "," 2,478 "," 5,802 "," 2,292 "," 3,247 "," 3,523 ", 823 , 724 ," 1,565 "," 17,920 "," 1,940 ", 705 ," 3,739 "," 30,820 "," 10,915 "," 4,580 ", 502 ," 1,460 "," 1,631 ", 717 ," 5,111 "," 4,531 "," 3,996 "," 4,537 "," 2,148 "," 1,473 "," 1,889 "," 5,528 ", 480 ," 1,357 ", 667 ," 13,642 ", 371 ," 2,059 ", 448 ," 1,306 "," 5,064 "," 2,008 "," 5,594 "," 5,483 ", 171 ," 16,020 "," 1,595 ", 464 ," 2,163 ", 680 ," 1,079 "," 5,567 "," 4,872 ", 410 , 556 ," 2,791 "," 3,567 ", 436 , 398 ," 1,757 ", 493 ," 4,831 "," 1,557 "," 1,401 "," 4,904 "," 1,308 "," 11,945 "," 1,005 "," 76,205 "," 6,181 ", 692 ," 7,999 "," 1,335 "," 7,203 "," 1,661 "," 3,706 "," 53,268 "," 1,825 "," 7,095 "," 6,748 "," 3,057 "
2,인천광역시," 120,745 ", 297 , 69 ," 1,101 ", 360 ," 1,545 ", 545 , 78 , 655 , 372 , 346 , 69 , 196 ," 1,651 ", 41 , 65 , 435 ," 2,508 "," 1,397 ", 545 , 27 , 145 , 799 ," 1,025 ", 948 , 601 ," 2,335 ", 369 ," 1,167 ", 447 , 190 , 211 , 470 ," 5,421 ", 280 , 14 , 245 ," 6,759 "," 2,552 ", 654 , 78 , 744 , 359 , 47 , 518 ," 1,229 "," 1,876 "," 1,339 ", 404 , 522 , 351 ," 2,117 ", 72 , 355 , 196 ," 3,209 ", 79 , 427 , 65 , 499 ," 1,108 ", 831 , 418 ," 1,528 ", 24 ," 4,075 ", 313 , 95 , 419 , 136 , 264 , 973 ," 2,308 ", 107 , 140 ," 1,061 ", 793 , 148 , 273 , 307 , 276 ," 1,168 ", 534 , 498 , 910 , 428 ," 2,912 ", 211 ," 16,857 "," 1,713 ", 604 ," 2,208 ", 170 ," 2,118 ", 523 , 693 ," 17,636 ", 409 ," 1,776 "," 1,440 ", 920 
3,경기도," 547,325 "," 1,901 ", 371 ," 4,436 "," 1,927 "," 2,923 "," 3,164 ", 375 ," 2,664 ", 814 ," 2,046 ", 239 , 874 ," 7,999 ", 146 , 311 ," 1,828 "," 14,849 "," 5,379 "," 2,992 ", 236 , 645 ," 4,890 "," 5,576 "," 5,444 "," 2,595 "," 7,272 "," 1,654 "," 4,663 "," 2,425 "," 1,050 ", 770 ," 2,126 "," 22,817 "," 1,218 ", 92 , 959 ," 34,744 "," 12,671 "," 2,934 ", 333 ," 1,210 "," 1,922 ", 187 ," 2,739 "," 5,312 "," 7,989 "," 6,378 "," 2,052 "," 3,158 "," 1,302 "," 9,003 ", 370 ," 1,252 "," 1,257 "," 16,476 ", 502 ," 1,989 ", 354 ," 2,382 "," 4,984 "," 3,271 "," 1,761 "," 8,529 ", 144 ," 17,555 "," 1,532 ", 451 ," 2,101 ", 648 ," 1,129 "," 3,687 "," 11,033 ", 614 , 854 ," 4,269 "," 3,922 ", 674 ," 2,158 "," 1,222 "," 1,033 "," 5,143 "," 1,958 "," 1,851 "," 4,262 "," 1,888 "," 12,614 "," 1,082 "," 75,160 "," 8,327 "," 1,771 "," 10,250 ", 821 ," 8,578 "," 2,373 "," 3,218 "," 79,590 "," 1,833 "," 6,999 "," 7,860 "," 3,990 "
4,강원도," 84,913 ", 301 , 95 , 533 , 464 , 440 , 512 , 32 , 504 , 663 , 323 , 26 , 330 , 879 , 16 , 13 , 303 ," 1,460 ", 622 , 403 , 38 , 63 , 761 ," 1,036 ", 748 , 321 , 857 , 595 , 803 , 155 , 95 , 183 , 381 ," 3,546 ", 188 ,*, 118 ," 2,608 "," 1,616 ", 409 , 37 , 423 , 238 , 16 , 173 , 926 ," 1,033 ", 677 , 233 , 861 , 238 ," 2,893 ", 39 , 242 , 154 ," 1,086 ", 108 , 252 , 43 , 215 , 674 ," 1,572 ", 342 , 875 , 40 ," 3,205 ", 183 , 93 , 654 , 49 , 133 , 993 ," 1,779 ", 89 , 100 , 854 , 556 , 85 , 626 , 147 , 159 ," 1,020 ", 782 , 460 , 390 , 405 ," 2,104 ", 184 ," 3,409 "," 1,871 "," 2,280 "," 1,685 ", 58 ," 1,054 ", 434 , 364 ," 19,535 ", 215 ," 1,404 "," 1,121 ", 602 
5,대전광역시," 69,892 ", 209 , 37 , 515 , 305 , 72 , 394 , 31 , 454 , 119 , 214 , 69 , 148 ," 1,299 ", 20 , 37 , 311 ," 1,290 ", 706 , 453 , 25 , 142 , 602 , 573 , 707 , 380 ," 1,326 ", 300 , 524 , 239 , 100 , 100 , 318 ," 3,308 ", 169 , 88 , 221 ," 3,279 "," 1,994 ", 398 , 61 , 150 , 334 , 45 , 275 , 871 , 677 , 800 , 171 , 385 , 226 ," 1,395 ", 73 , 203 , 154 ," 1,821 ", 66 , 319 , 48 , 277 , 738 , 643 , 325 , 907 , 23 ," 2,814 ", 277 , 58 , 413 , 82 , 141 , 443 ," 1,403 ", 97 , 92 , 757 , 512 , 100 , 227 , 169 , 167 , 578 , 281 , 282 , 532 , 418 ," 2,178 ", 180 ," 6,146 "," 1,043 ", 20 ," 1,131 ", 111 ," 1,189 ", 335 , 522 ," 11,606 ", 245 , 990 ," 1,244 ", 646 
6,충청북도," 76,725 ", 288 , 74 , 463 , 436 , 477 , 376 , 28 , 447 , 116 , 278 , 55 , 245 , 776 , 18 , 33 , 660 ," 1,458 ", 782 , 367 , 36 , 95 , 502 , 724 , 895 , 317 ," 1,145 ", 548 , 703 , 189 , 107 , 147 , 337 ," 3,458 ", 170 , 4 , 107 ," 2,851 "," 2,233 ", 315 , 46 , 156 , 244 , 23 , 167 , 888 , 999 , 724 , 174 , 655 , 257 ," 2,295 ", 45 , 231 , 176 ," 1,254 ", 102 , 288 , 38 , 243 , 671 , 865 , 282 , 899 , 38 ," 2,967 ", 177 , 90 , 417 , 61 , 175 , 494 ," 1,811 ", 83 , 87 , 783 , 530 , 98 , 710 , 151 , 196 , 889 , 500 , 354 , 429 , 395 ," 2,000 ", 187 ," 4,858 "," 1,556 ", 382 ," 1,481 ", 77 ," 1,103 ", 340 , 403 ," 15,283 ", 267 ," 1,784 "," 1,046 ", 541 
7,충청남도," 100,488 ", 298 , 127 , 647 , 524 , 683 , 457 , 36 ," 1,232 ", 640 , 340 , 73 , 385 ," 1,141 ", 22 , 45 , 669 ," 1,844 "," 1,053 ", 494 , 29 , 100 , 672 ," 1,006 "," 1,086 ", 439 ," 1,216 ", 591 , 829 , 236 , 182 , 197 , 432 ," 4,203 ", 216 , 5 , 137 ," 4,146 "," 2,319 ", 394 , 49 , 727 , 349 , 28 , 262 ," 1,112 "," 1,226 ", 880 , 204 ," 1,000 ", 321 ," 3,411 ", 52 , 278 , 213 ," 1,465 ", 98 , 341 , 53 , 327 , 951 ," 1,507 ", 314 ," 1,105 ", 71 ," 3,304 ", 284 , 146 , 608 , 56 , 190 , 742 ," 2,414 ", 110 , 134 , 997 , 677 , 141 ," 1,000 ", 132 , 209 ," 1,224 ", 689 , 456 , 568 , 512 ," 2,646 ", 212 ," 6,235 "," 2,029 "," 1,197 "," 2,203 ", 98 ," 1,306 ", 446 , 526 ," 19,457 ", 270 ," 1,621 "," 1,309 ", 851 
8,세종특별자치시," 12,312 ", 24 , 4 , 66 , 42 , 17 , 26 , 12 , 47 , 11 , 55 , 6 , 29 , 228 , 5 , 9 , 102 , 390 , 83 , 102 , 3 , 19 , 164 , 103 , 113 , 63 , 142 , 38 , 92 , 32 , 23 , 12 , 79 , 394 , 22 ,*, 19 ," 1,311 ", 193 , 56 , 9 , 21 , 62 , 5 , 42 , 95 , 131 , 179 , 37 , 64 , 17 , 234 , 11 , 22 , 26 , 223 , 4 , 45 , 5 , 25 , 116 , 67 , 54 , 258 , 5 , 352 , 24 , 9 , 36 , 15 , 33 , 90 , 193 , 12 , 25 , 113 , 117 , 12 , 66 , 22 , 4 , 143 , 57 , 41 , 85 , 51 , 399 , 34 ," 1,162 ", 322 , 4 , 256 , 15 , 167 , 43 , 75 ," 2,029 ", 35 , 155 , 151 , 71 
9,광주광역시," 70,184 ", 215 , 38 , 450 , 350 , 188 , 442 , 35 , 394 , 176 , 234 , 76 , 112 , 723 , 25 , 37 , 290 ," 2,415 ", 406 , 480 , 35 , 127 , 383 ," 1,005 ", 767 , 334 ," 1,072 ", 307 , 492 , 376 , 103 , 178 , 291 ," 3,228 ", 220 , 11 , 215 ," 4,037 "," 1,603 ", 399 , 52 , 322 , 271 , 47 , 303 , 858 , 860 , 890 , 239 , 429 , 261 ," 1,470 ", 48 , 211 , 113 ," 1,972 ", 45 , 349 , 40 , 199 , 672 , 510 , 418 ," 1,097 ", 26 ," 3,197 ", 320 , 66 , 255 , 76 , 100 , 269 ," 1,504 ", 63 , 78 , 542 , 475 , 169 , 257 , 255 , 238 , 490 , 223 , 294 , 636 , 393 ," 1,548 ", 184 ," 5,883 "," 1,083 ", 22 ," 1,033 ", 125 ," 1,567 ", 406 , 411 ," 9,780 ", 226 ," 2,328 "," 1,150 ", 567 
10,전라북도," 84,358 ", 397 , 112 , 494 , 530 , 326 , 501 , 39 , 711 , 363 , 349 , 78 , 371 , 734 , 21 , 35 , 577 ," 2,428 ", 811 , 495 , 34 , 171 , 730 , 717 ," 1,080 ", 432 , 845 , 645 , 598 , 269 , 162 , 206 , 432 ," 3,849 ", 232 , 6 , 187 ," 3,160 "," 1,949 ", 432 , 56 , 586 , 349 , 26 , 267 , 872 ," 1,007 ", 822 , 257 , 894 , 383 ," 3,436 ", 66 , 301 , 180 , 246 , 93 , 351 , 63 , 220 , 915 ," 1,024 ", 418 ," 1,335 ", 45 ," 3,477 ", 331 , 127 , 458 , 73 , 181 , 507 ," 1,987 ", 135 , 105 ," 1,056 ", 614 , 167 , 836 , 124 , 291 ," 1,031 ", 617 , 425 , 583 , 493 ," 2,449 ", 213 ," 4,976 "," 1,633 ", 401 ," 1,219 ", 89 ," 1,175 ", 422 , 542 ," 14,163 ", 227 ," 1,365 "," 1,435 ", 711 
