,A. 도시명,B. 업종전체,가구점,가스충전소,가전제품수리점,가전제품판매점,간이주점,간판광고물업,감정평가사,건강보조식품가게,건어물가게,건축사,결혼상담소,곡물가게,공부방,공인노무사,공인회계사,과일가게,교습학원,구내식당,기술및직업훈련학원,기술사,기타 일반의원,기타외국식전문점,기타음식점,꽃가게,내과ㆍ소아과 의원,노래방,담배가게,당구장,독서실,동물병원,목욕탕,문구점,미용실,법무사,변리사,변호사,부동산중개업,분식점,사진촬영업,산부인과 의원,생선가게,서점,성형외과 의원,세무사,세탁소,슈퍼마켓,스포츠교육기관,스포츠시설운영업,스포츠용품점,시계ㆍ귀금속점,식료품가게,신경정신과 의원,신발가게,실내스크린골프점,실내장식가게,실외골프연습장,안경점,안과 의원,애완용품점,약국,여관ㆍ모텔,여행사,예술학원,예식장,옷가게,의료용품가게,이륜자동차판매점,이발소,이비인후과 의원,일반외과 의원,일식전문점,자동차수리점,자전거판매점,장난감가게,정육점,제과점,종합병원,주유소,주차장운영업,중고차판매점,중식전문점,채소가게,철물점,치과병원ㆍ의원,침구ㆍ커튼가게,커피음료점,컴퓨터판매점,통신판매업,패스트푸드점,펜션ㆍ게스트하우스,편의점,피부ㆍ비뇨기과 의원,피부관리업,피시방,한방병원ㆍ한의원,한식전문점,헬스클럽,호프전문점,화장품가게,휴대폰가게
0,합계,"2,530,626","7,614","1,613","17,016","10,212","12,800","13,023","1,242","14,025","7,367","10,423","1,668","5,069","38,822",981,"1,842","12,338","56,500","20,625","15,391","1,140","3,330","24,836","22,539","24,450","11,449","29,070","12,371","17,948","9,732","4,230","5,327","9,086","104,308","6,636","1,057","7,700","131,507","54,244","14,850","1,670","12,124","8,451","1,526","12,879","24,135","28,802","26,210","8,762","15,198","8,139","48,501","1,831","6,381","5,258","61,570","2,181","9,251","1,675","8,467","23,183","20,275","13,607","30,868",841,"85,248","7,206","2,698","12,097","2,625","4,977","18,187","45,059","2,526","3,038","20,160","17,978","3,445","10,938","8,221","4,816","24,981","12,151","8,790","18,515","9,891","70,185","5,141","343,859","42,260","15,914","44,535","4,050","41,481","10,190","14,967","395,820","8,416","30,264","35,135","18,696"
1,서울특별시,"504,873","1,031",76,"2,827","1,545","4,031","2,590",267,"2,325",771,"2,720",445,643,"7,825",421,846,"1,308","10,458","3,662","3,387",316,916,"7,564","4,295","4,434","2,491","5,506","2,147","3,105","3,265",836,668,"1,540","18,232","1,995",747,"4,012","32,303","10,735","4,839",496,"1,499","1,635",755,"5,335","4,694","3,817","4,829","2,358","1,478","1,874","5,440",538,"1,252",708,"14,377",353,"2,026",457,"1,351","5,218","1,793","5,272","5,419",161,"15,517","1,588",460,"2,168",701,"1,149","5,544","4,977",396,507,"2,779","3,691",441,437,"1,790",482,"4,816","1,617","1,360","4,939","1,242","13,456","1,050","100,521","6,970",740,"8,133","1,395","7,834","1,613","3,718","54,640","2,056","6,199","6,581","3,107"
2,인천광역시,"130,124",305,69,"1,207",393,"1,291",554,82,659,390,349,65,215,"1,806",42,69,445,"2,525","1,337",644,30,151,845,928,978,597,"2,232",376,"1,133",471,193,203,473,"5,561",294,16,264,"7,193","2,554",662,81,785,389,49,540,"1,310","1,787","1,407",458,521,362,"2,127",74,331,218,"3,645",71,422,65,533,"1,135",809,395,"1,499",23,"4,012",304,93,410,140,269,956,"2,382",101,143,"1,068",820,150,288,312,246,"1,211",578,493,940,426,"3,547",209,"22,393","1,975",706,"2,368",184,"2,330",544,700,"18,635",453,"1,622","1,439","1,040"
3,경기도,"600,608","2,043",373,"5,029","2,033","2,602","3,229",402,"2,833",877,"2,198",249,894,"9,730",175,317,"2,013","15,047","5,036","3,594",264,662,"5,314","5,286","5,660","2,646","6,989","1,679","4,563","2,346","1,097",730,"2,100","23,643","1,245",93,"1,001","36,996","12,764","3,229",337,"1,339","2,044",195,"2,846","5,548","7,811","6,842","2,359","3,359","1,299","9,151",383,"1,243","1,386","18,377",489,"2,023",362,"2,651","5,184","3,142","1,753","8,497",126,"17,732","1,645",478,"2,141",662,"1,186","3,851","11,556",623,890,"4,360","4,238",694,"2,272","1,407","1,038","5,422","2,227","1,833","4,393","1,930","15,236","1,199","105,040","9,406","2,119","11,362",857,"9,917","2,460","3,301","82,620","2,027","6,363","8,074","4,322"
4,강원도,"88,777",299,93,574,465,391,521,35,514,666,344,35,327,"1,067",16,14,311,"1,449",578,459,39,70,816,973,782,320,830,566,774,163,102,179,360,"3,632",194,*,118,"2,684","1,689",432,37,597,236,17,175,959,994,722,256,877,234,"2,820",40,238,177,"1,281",106,252,42,238,687,"1,529",344,892,35,"3,154",188,93,659,51,135,941,"1,799",87,97,877,596,85,639,154,157,"1,055",817,475,405,391,"2,521",186,"4,779","1,928","2,834","1,851",62,"1,200",434,372,"19,842",240,"1,275","1,102",629
5,대전광역시,"73,245",210,38,562,304,82,383,31,474,130,221,69,153,"1,452",21,36,324,"1,276",671,518,28,148,622,524,727,380,"1,265",273,490,273,102,96,305,"3,358",171,89,229,"3,440","1,952",411,59,169,324,46,286,882,669,834,199,376,232,"1,321",75,195,150,"2,048",69,318,49,275,745,603,313,886,21,"2,792",254,66,408,82,147,440,"1,467",88,90,762,538,98,237,191,217,614,318,282,540,415,"2,486",188,"8,154","1,133",27,"1,225",112,"1,290",297,519,"11,776",269,823,"1,249",669
6,충청북도,"80,182",276,76,490,414,421,385,32,432,111,307,52,246,"1,035",18,32,658,"1,472",736,414,34,95,568,705,914,321,"1,111",528,697,200,113,149,327,"3,547",170,5,105,"3,030","2,203",320,45,190,239,25,173,905,951,768,201,632,251,"2,232",49,213,190,"1,440",97,289,38,246,682,844,269,884,36,"2,901",191,92,422,60,177,494,"1,856",83,84,796,561,101,716,167,188,931,526,344,443,392,"2,363",190,"6,477","1,703",483,"1,591",80,"1,240",358,403,"15,697",273,"1,609",995,557
7,충청남도,"105,462",296,130,704,533,571,478,37,"1,285",636,361,74,384,"1,321",27,42,690,"1,865",997,584,36,100,726,944,"1,130",449,"1,188",593,774,243,190,195,435,"4,350",224,8,148,"4,331","2,351",408,49,743,354,26,266,"1,142","1,215",946,229,"1,010",314,"3,324",52,271,226,"1,685",91,347,52,360,973,"1,479",315,"1,099",66,"3,300",291,143,640,58,196,707,"2,505",117,139,"1,021",722,141,"1,009",152,217,"1,239",727,456,574,504,"3,045",218,"8,565","2,193","1,354","2,351",100,"1,456",451,521,"19,907",289,"1,447","1,341",894
8,세종특별자치시,"14,113",28,4,82,47,15,31,13,61,14,60,7,31,314,5,12,105,481,78,129,4,20,168,123,112,66,144,44,96,45,26,14,80,438,24,*,17,"1,479",218,64,9,26,74,6,44,110,142,222,57,81,23,224,12,28,33,276,4,49,6,31,134,65,52,289,5,369,30,8,42,16,34,99,206,15,22,124,125,13,69,30,3,156,61,38,91,54,492,34,"1,738",344,9,289,16,197,48,82,"2,153",45,119,163,76
9,광주광역시,"73,601",217,39,490,346,181,432,37,413,177,248,84,110,849,29,34,307,"2,397",387,548,38,127,394,880,768,330,"1,013",286,587,391,108,174,287,"3,314",221,11,219,"4,280","1,570",415,53,344,276,47,312,887,841,941,261,433,263,"1,399",52,213,119,"2,165",43,353,41,191,681,491,396,"1,099",24,"3,123",318,65,255,80,98,260,"1,523",58,75,557,504,180,277,271,229,476,264,286,644,379,"1,955",184,"7,425","1,228",26,"1,090",126,"1,741",490,407,"10,267",238,"2,064","1,197",578
10,전라북도,"87,841",400,108,576,538,287,513,39,744,358,371,84,373,870,27,36,608,"2,419",750,563,40,180,764,697,"1,104",420,821,622,610,281,164,207,416,"4,006",249,6,197,"3,299","2,045",431,54,632,343,26,273,923,993,869,265,886,374,"3,343",70,286,186,287,89,360,63,233,933,"1,008",407,"1,326",43,"3,351",345,128,488,73,181,504,"1,991",137,108,"1,082",632,169,835,146,288,"1,043",666,423,588,492,"2,825",208,"6,454","1,729",488,"1,340",96,"1,375",398,538,"14,566",242,"1,204","1,482",731
11,전라남도,"88,843",281,119,526,573,252,487,20,484,944,294,53,407,836,12,25,667,"1,816",618,470,44,108,442,769,"1,185",435,708,935,721,185,169,290,413,"3,642",224,3,93,"2,426","1,482",344,24,"1,671",260,16,137,871,"1,218",735,183,902,284,"3,588",43,254,170,"1,330",91,313,49,194,796,"1,293",442,872,41,"3,056",225,150,610,49,137,439,"2,001",95,111,856,590,201,816,110,220,826,785,466,499,493,"2,590",181,"5,851","1,625",911,"1,279",78,"1,554",380,399,"17,990",189,"2,164","1,055",583
12,대구광역시,"120,146",369,42,824,492,242,760,59,596,158,696,112,188,"2,863",33,89,399,"2,678",851,840,34,160,"1,209","1,153","1,171",581,"1,596",488,673,420,171,247,355,"5,639",312,22,284,"6,062","2,500",674,106,245,492,81,562,901,"1,620","1,298",357,637,521,"1,654",113,328,323,"2,855",94,478,101,373,"1,306",657,525,"1,410",39,"5,231",346,155,574,158,307,831,"2,281",153,136,"1,311",943,195,337,427,486,"1,237",455,339,905,655,"3,184",236,"15,417","1,630",44,"1,727",211,"1,773",536,890,"19,849",403,518,"2,129","1,019"
13,경상북도,"133,861",478,168,612,702,351,671,19,940,642,490,66,372,"2,086",17,27,"1,372","2,600","1,251",637,45,109,736,"1,149","1,430",535,"1,487","1,284",902,259,281,410,516,"6,037",263,5,123,"4,254","2,557",533,66,959,395,16,241,"1,281","1,798","1,200",317,"1,219",428,"3,467",51,362,323,"2,005",192,436,69,424,"1,117","1,938",455,"1,388",62,"4,622",287,209,889,88,230,538,"3,090",172,146,"1,283",959,229,"1,212",268,305,"1,519",960,486,689,662,"4,714",310,"10,377","2,383","1,411","2,086",102,"1,822",561,642,"29,694",375,965,"1,903","1,048"
14,부산광역시,"165,454",490,59,"1,021",615,802,829,60,840,524,697,116,334,"2,784",62,131,648,"3,589","1,364","1,037",67,232,"1,881","1,525","1,335",813,"1,628","1,099",924,462,245,719,532,"7,598",465,28,438,"8,435","4,079",856,102,"1,108",548,141,969,"1,373","1,789","1,718",524,692,789,"3,012",156,554,318,"4,335",131,641,134,619,"1,570","1,318","1,027","1,847",60,"7,022",588,214,"1,033",202,339,"1,054","2,432",112,189,"1,128","1,110",333,356,"1,782",234,"1,802",773,664,"1,324",713,"4,118",239,"21,045","2,770",196,"2,659",335,"2,973",596,"1,164","25,098",594,"1,630","2,428","1,367"
15,울산광역시,"53,445",165,29,309,203,102,267,23,225,143,221,31,47,918,26,28,157,"1,647",401,342,18,49,663,534,533,223,707,233,488,240,74,182,192,"2,672",113,6,125,"2,355",806,235,44,416,194,19,168,444,838,604,152,289,220,748,26,107,187,"1,122",50,220,33,138,422,609,176,805,16,"1,762",111,72,374,47,76,280,"1,113",57,62,614,382,98,217,247,122,511,145,175,393,227,"1,610",88,"4,200","1,116",133,971,78,914,238,287,"11,012",142,333,958,501
16,경상남도,"163,113",537,155,990,756,"1,020",697,70,"1,017",718,537,97,277,"2,418",41,75,"1,255","4,053","1,755",898,83,148,"1,259","1,680","1,802",683,"1,535","1,045","1,076",405,277,750,592,"7,244",388,12,236,"6,906","3,958",595,84,933,499,42,438,"1,296","1,922","1,835",449,"1,353",568,"3,835",75,402,434,"2,994",157,592,94,500,"1,300","2,295",551,"2,203",62,"5,595",414,231,815,131,244,733,"3,267",200,173,"1,251","1,149",293,"1,038",707,329,"1,685",918,561,928,694,"4,594",326,"12,760","3,432","1,497","3,024",173,"3,092",619,827,"33,015",450,"1,291","2,371","1,333"
17,제주특별자치도,"46,938",189,35,193,253,159,196,16,183,108,309,29,68,648,9,29,"1,071",728,153,327,20,55,865,374,385,159,310,173,335,83,82,114,163,"1,395",84,3,91,"2,034",781,402,24,468,149,19,114,609,397,440,137,453,103,816,22,104,110,"1,348",54,132,20,110,300,402,915,453,21,"1,709",81,41,169,27,72,516,613,32,66,291,418,24,183,60,55,438,314,109,220,222,"1,449",95,"2,663",695,"2,936","1,189",45,773,167,197,"9,059",131,638,668,242
