"업종별(1)",업종별(2),2018. 01,2018. 01,2018. 01,2018. 02,2018. 02,2018. 02,2018. 03,2018. 03,2018. 03,2018. 04,2018. 04,2018. 04,2018. 05,2018. 05,2018. 05,2018. 06,2018. 06,2018. 06,2018. 07,2018. 07,2018. 07,2018. 08,2018. 08,2018. 08,2018. 09,2018. 09,2018. 09,2018. 10,2018. 10,2018. 10,2018. 11,2018. 11,2018. 11,2018. 12,2018. 12,2018. 12,2019. 01,2019. 01,2019. 01,2019. 02,2019. 02,2019. 02,2019. 03,2019. 03,2019. 03,2019. 04,2019. 04,2019. 04,2019. 05,2019. 05,2019. 05,2019. 06,2019. 06,2019. 06,2019. 07,2019. 07,2019. 07,2019. 08,2019. 08,2019. 08,2019. 09,2019. 09,2019. 09,2019. 10,2019. 10,2019. 10,2019. 11,2019. 11,2019. 11,2019. 12,2019. 12,2019. 12,2020. 01,2020. 01,2020. 01,2020. 02,2020. 02,2020. 02,2020. 03,2020. 03,2020. 03,2020. 04,2020. 04,2020. 04,2020. 05,2020. 05,2020. 05,2020. 06,2020. 06,2020. 06,2020. 07,2020. 07,2020. 07,2020. 08,2020. 08,2020. 08,2020. 09,2020. 09,2020. 09,2020. 10,2020. 10,2020. 10,2020. 11,2020. 11,2020. 11,2020. 12,2020. 12,2020. 12,2021. 01,2021. 01,2021. 01,2021. 02,2021. 02,2021. 02,2021. 03,2021. 03,2021. 03
"업종별(1)",업종별(2),전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인,전체,법인,개인
"제조업", 기계 금속,1506,435,1071,1054,264,790,1276,331,945,1306,351,955,1181,333,848,1187,295,892,1318,393,925,1120,335,785,849,285,564,1146,346,800,1056,365,691,959,286,673,1292,399,893,896,270,626,1164,374,790,1076,325,751,1034,336,698,1165,322,843,1383,395,988,1117,334,783,958,262,696,1144,321,823,1088,334,754,1071,358,713,1336,393,943,1186,333,853,1214,369,845,1072,322,750,889,251,638,1184,386,798,1240,383,857,972,300,672,938,327,611,878,245,633,959,307,652,1052,323,729,1277,352,925,910,289,621,1227,315,912
"제조업", 전기. 전자 및 정밀기기,917,403,514,633,270,363,747,311,436,718,296,422,652,269,383,697,285,412,750,302,448,696,280,416,539,191,348,661,277,384,613,250,363,614,283,331,850,343,507,556,217,339,667,292,375,620,269,351,602,255,347,555,246,309,691,282,409,540,244,296,518,237,281,609,252,357,495,210,285,547,283,264,631,277,354,602,242,360,592,272,320,620,230,390,493,188,305,598,254,344,698,308,390,530,236,294,501,212,289,513,210,303,540,234,306,586,290,296,695,292,403,523,225,298,616,245,371
"제조업", 자동차 및 운송장비,331,122,209,208,78,130,255,93,162,280,116,164,277,97,180,292,113,179,294,104,190,254,120,134,190,73,117,245,103,142,289,117,172,236,103,133,335,146,189,214,94,120,249,106,143,266,115,151,246,111,135,223,88,135,307,120,187,204,91,113,222,91,131,232,98,134,232,97,135,238,100,138,261,104,157,241,98,143,225,109,116,207,97,110,172,71,101,248,116,132,262,108,154,190,84,106,207,92,115,198,81,117,213,80,133,271,134,137,287,123,164,216,94,122,271,94,177
"제조업", 기타제조업,587,65,522,475,48,427,559,73,486,404,47,357,424,43,381,393,45,348,481,66,415,627,58,569,486,50,436,686,50,636,634,64,570,593,57,536,871,116,755,592,49,543,644,63,581,681,80,601,634,72,562,276,38,238,354,73,281,286,56,230,247,54,193,280,57,223,261,57,204,239,48,191,303,50,253,265,42,223,282,44,238,241,54,187,235,37,198,266,55,211,287,61,226,256,54,202,233,37,196,218,31,187,239,52,187,216,38,178,290,43,247,247,50,197,257,56,201
"전기, 가스, 증기 및 공기 조절 공급업",소계,3746,287,3459,3001,274,2727,3234,268,2966,2978,278,2700,3196,320,2876,3250,221,3029,3542,298,3244,3187,233,2954,3008,289,2719,3165,236,2929,2601,137,2464,1850,113,1737,2238,147,2091,1901,107,1794,2592,143,2449,2840,135,2705,2847,131,2716,2698,99,2599,2660,91,2569,2061,76,1985,1741,50,1691,2200,65,2135,2052,52,2000,1899,68,1831,1592,67,1525,1943,66,1877,2195,64,2131,2079,74,2005,1805,51,1754,2356,66,2290,2383,68,2315,2041,56,1985,2658,96,2562,2757,57,2700,2278,48,2230,2044,44,2000,1935,43,1892,1688,31,1657,2079,60,2019
"건설업",소계,6470,1097,5373,5035,799,4236,6444,959,5485,5953,845,5108,5642,811,4831,5548,692,4856,6172,863,5309,5467,722,4745,4251,610,3641,5857,726,5131,5473,651,4822,5085,551,4534,6665,1086,5579,5120,741,4379,6170,898,5272,6277,895,5382,5698,739,4959,5015,667,4348,6296,961,5335,4990,764,4226,4472,672,3800,5438,779,4659,5019,695,4324,5119,735,4384,5958,1121,4837,5778,1134,4644,6041,1048,4993,5476,850,4626,5039,783,4256,5773,885,4888,6250,994,5256,4779,753,4026,5137,795,4342,5214,698,4516,5313,759,4554,5608,819,4789,6773,1215,5558,5770,999,4771,7343,1122,6221
"서비스업",소계,105847,6599,99248,83302,5077,78225,130023,6279,123744,98343,6335,92008,93610,6005,87605,90304,5799,84505,96257,6417,89840,91286,6462,84824,92748,4758,87990,100461,6151,94310,94791,6409,88382,95205,6153,89052,103428,6990,96438,80482,5564,74918,95548,6893,88655,98603,7297,91306,94253,6821,87432,86267,6218,80049,99738,7536,92202,85359,6607,78752,79956,5678,74278,95201,6988,88213,93323,7109,86214,114786,7565,107221,208001,7936,200065,117477,8778,108699,97509,9127,88382,91567,7716,83851,101976,7636,94340,114741,9147,105594,116579,8337,108242,94211,6716,87495,93052,7311,85741,90765,6242,84523,97940,6802,91138,105330,7820,97510,106654,7750,98904,97598,6952,90646,114606,8545,106061
"서비스업", 수도 하수 및 폐기물 처리 원료 재생업,77,26,51,71,21,50,105,33,72,68,25,43,82,25,57,79,28,51,92,38,54,91,29,62,53,19,34,77,22,55,81,29,52,79,30,49,83,26,57,54,19,35,64,22,42,84,22,62,83,39,44,66,27,39,76,44,32,79,36,43,61,29,32,69,31,38,96,39,57,120,46,74,86,26,60,78,18,60,84,38,46,71,25,46,62,21,41,71,20,51,75,35,40,64,31,33,66,26,40,61,20,41,73,19,54,91,42,49,70,19,51,71,22,49,56,21,35
"서비스업", 도매 및 소매업,28367,2471,25896,23084,1861,21223,29396,2228,27168,27744,2326,25418,25786,2305,23481,24901,2288,22613,26819,2531,24288,26163,2561,23602,20631,1864,18767,26941,2250,24691,25230,2278,22952,23736,2288,21448,31486,2582,28904,25029,1996,23033,29549,2539,27010,30171,2692,27479,27757,2431,25326,25487,2231,23256,29155,2768,26387,26181,2345,23836,24227,2012,22215,28884,2527,26357,27233,2464,24769,28087,2579,25508,30338,2692,27646,29558,2892,26666,31270,2977,28293,31476,2724,28752,30420,2663,27757,33686,3301,30385,36047,3248,32799,31826,2668,29158,33010,2800,30210,33242,2352,30890,33751,2487,31264,35431,2879,32552,39434,2803,36631,33445,2524,30921,42309,3084,39225
"서비스업", 운수 및 창고업,5852,152,5700,4261,128,4133,6007,166,5841,5764,147,5617,5229,152,5077,5095,142,4953,5794,173,5621,5326,163,5163,3945,87,3858,5410,122,5288,5158,164,4994,4844,145,4699,6154,175,5979,4726,138,4588,5780,164,5616,5759,158,5601,5315,162,5153,4849,173,4676,5836,147,5689,4779,126,4653,4082,96,3986,5372,112,5260,5047,124,4923,5155,122,5033,5366,154,5212,5366,130,5236,5395,148,5247,4738,150,4588,4535,132,4403,5362,139,5223,5544,162,5382,4477,120,4357,5085,132,4953,4800,114,4686,5385,147,5238,5410,168,5242,5364,153,5211,4440,133,4307,6631,186,6445
