,corp,city,2
0,업종전체,합계,"2,305,692"
1,업종전체,서울특별시,"461,009"
2,업종전체,인천광역시,"116,392"
3,업종전체,경기도,"523,587"
4,업종전체,강원도,"82,869"
5,업종전체,대전광역시,"68,310"
6,업종전체,충청북도,"74,571"
7,업종전체,충청남도,"97,898"
8,업종전체,세종특별자치시,"11,441"
9,업종전체,광주광역시,"68,245"
10,업종전체,전라북도,"82,532"
11,업종전체,전라남도,"83,006"
12,업종전체,대구광역시,"111,380"
13,업종전체,경상북도,"125,839"
14,업종전체,부산광역시,"153,305"
15,업종전체,울산광역시,"50,337"
16,업종전체,경상남도,"153,264"
17,업종전체,제주특별자치도,"41,707"
18,가구점,합계,"7,473"
19,가구점,서울특별시,"1,015"
20,가구점,인천광역시,291
21,가구점,경기도,"1,880"
22,가구점,강원도,302
23,가구점,대전광역시,213
24,가구점,충청북도,288
25,가구점,충청남도,308
26,가구점,세종특별자치시,20
27,가구점,광주광역시,212
28,가구점,전라북도,391
29,가구점,전라남도,268
30,가구점,대구광역시,373
31,가구점,경상북도,461
32,가구점,부산광역시,519
33,가구점,울산광역시,183
34,가구점,경상남도,566
35,가구점,제주특별자치도,183
36,가전제품수리점,합계,"13,495"
37,가전제품수리점,서울특별시,"2,234"
38,가전제품수리점,인천광역시,974
39,가전제품수리점,경기도,"3,784"
40,가전제품수리점,강원도,459
41,가전제품수리점,대전광역시,474
42,가전제품수리점,충청북도,419
43,가전제품수리점,충청남도,562
44,가전제품수리점,세종특별자치시,47
45,가전제품수리점,광주광역시,401
46,가전제품수리점,전라북도,456
47,가전제품수리점,전라남도,453
48,가전제품수리점,대구광역시,659
49,가전제품수리점,경상북도,489
50,가전제품수리점,부산광역시,824
51,가전제품수리점,울산광역시,281
52,가전제품수리점,경상남도,802
53,가전제품수리점,제주특별자치도,177
54,가전제품판매점,합계,"9,891"
55,가전제품판매점,서울특별시,"1,524"
56,가전제품판매점,인천광역시,360
57,가전제품판매점,경기도,"1,829"
58,가전제품판매점,강원도,443
59,가전제품판매점,대전광역시,297
60,가전제품판매점,충청북도,425
61,가전제품판매점,충청남도,516
62,가전제품판매점,세종특별자치시,37
63,가전제품판매점,광주광역시,342
64,가전제품판매점,전라북도,527
65,가전제품판매점,전라남도,580
66,가전제품판매점,대구광역시,524
67,가전제품판매점,경상북도,694
68,가전제품판매점,부산광역시,624
69,가전제품판매점,울산광역시,194
70,가전제품판매점,경상남도,731
71,가전제품판매점,제주특별자치도,244
72,간이주점,합계,"15,542"
73,간이주점,서울특별시,"5,103"
74,간이주점,인천광역시,"1,623"
75,간이주점,경기도,"2,978"
76,간이주점,강원도,435
77,간이주점,대전광역시,75
78,간이주점,충청북도,475
79,간이주점,충청남도,720
80,간이주점,세종특별자치시,19
81,간이주점,광주광역시,187
82,간이주점,전라북도,360
83,간이주점,전라남도,258
84,간이주점,대구광역시,307
85,간이주점,경상북도,405
86,간이주점,부산광역시,"1,024"
87,간이주점,울산광역시,110
88,간이주점,경상남도,"1,297"
89,간이주점,제주특별자치도,166
90,간판광고물업,합계,"12,905"
91,간판광고물업,서울특별시,"2,701"
92,간판광고물업,인천광역시,545
93,간판광고물업,경기도,"3,115"
94,간판광고물업,강원도,505
95,간판광고물업,대전광역시,393
96,간판광고물업,충청북도,379
97,간판광고물업,충청남도,449
98,간판광고물업,세종특별자치시,31
99,간판광고물업,광주광역시,442
100,간판광고물업,전라북도,494
101,간판광고물업,전라남도,463
102,간판광고물업,대구광역시,779
103,간판광고물업,경상북도,640
104,간판광고물업,부산광역시,836
105,간판광고물업,울산광역시,258
106,간판광고물업,경상남도,687
107,간판광고물업,제주특별자치도,188
108,감정평가사,합계,"1,115"
109,감정평가사,서울특별시,241
110,감정평가사,인천광역시,73
111,감정평가사,경기도,358
112,감정평가사,강원도,30
113,감정평가사,대전광역시,28
114,감정평가사,충청북도,28
115,감정평가사,충청남도,35
116,감정평가사,세종특별자치시,12
117,감정평가사,광주광역시,32
118,감정평가사,전라북도,41
119,감정평가사,전라남도,18
120,감정평가사,대구광역시,54
121,감정평가사,경상북도,19
122,감정평가사,부산광역시,56
123,감정평가사,울산광역시,20
124,감정평가사,경상남도,56
125,감정평가사,제주특별자치도,14
126,건강보조식품가게,합계,"13,068"
127,건강보조식품가게,서울특별시,"2,082"
128,건강보조식품가게,인천광역시,620
129,건강보조식품가게,경기도,"2,517"
130,건강보조식품가게,강원도,495
131,건강보조식품가게,대전광역시,442
132,건강보조식품가게,충청북도,437
133,건강보조식품가게,충청남도,"1,207"
134,건강보조식품가게,세종특별자치시,37
135,건강보조식품가게,광주광역시,399
136,건강보조식품가게,전라북도,701
137,건강보조식품가게,전라남도,500
138,건강보조식품가게,대구광역시,589
139,건강보조식품가게,경상북도,887
140,건강보조식품가게,부산광역시,803
141,건강보조식품가게,울산광역시,210
142,건강보조식품가게,경상남도,985
143,건강보조식품가게,제주특별자치도,157
144,건어물가게,합계,"7,137"
145,건어물가게,서울특별시,750
146,건어물가게,인천광역시,366
147,건어물가게,경기도,796
148,건어물가게,강원도,674
149,건어물가게,대전광역시,114
150,건어물가게,충청북도,111
151,건어물가게,충청남도,631
152,건어물가게,세종특별자치시,14
153,건어물가게,광주광역시,163
154,건어물가게,전라북도,351
155,건어물가게,전라남도,890
156,건어물가게,대구광역시,162
157,건어물가게,경상북도,657
158,건어물가게,부산광역시,506
159,건어물가게,울산광역시,126
160,건어물가게,경상남도,715
161,건어물가게,제주특별자치도,111
162,건축사,합계,"9,642"
163,건축사,서울특별시,"2,443"
164,건축사,인천광역시,349
165,건축사,경기도,"2,002"
166,건축사,강원도,319
167,건축사,대전광역시,206
168,건축사,충청북도,275
169,건축사,충청남도,335
170,건축사,세종특별자치시,55
171,건축사,광주광역시,226
172,건축사,전라북도,349
173,건축사,전라남도,263
174,건축사,대구광역시,674
175,건축사,경상북도,465
176,건축사,부산광역시,676
177,건축사,울산광역시,211
178,건축사,경상남도,505
179,건축사,제주특별자치도,289
180,결혼상담소,합계,"1,572"
181,결혼상담소,서울특별시,426
182,결혼상담소,인천광역시,70
183,결혼상담소,경기도,233
184,결혼상담소,강원도,30
185,결혼상담소,대전광역시,61
186,결혼상담소,충청북도,52
187,결혼상담소,충청남도,74
188,결혼상담소,세종특별자치시,5
189,결혼상담소,광주광역시,73
190,결혼상담소,전라북도,78
191,결혼상담소,전라남도,45
192,결혼상담소,대구광역시,108
193,결혼상담소,경상북도,61
194,결혼상담소,부산광역시,122
195,결혼상담소,울산광역시,19
196,결혼상담소,경상남도,94
197,결혼상담소,제주특별자치도,21
198,곡물가게,합계,"5,029"
199,곡물가게,서울특별시,667
200,곡물가게,인천광역시,200
201,곡물가게,경기도,889
202,곡물가게,강원도,332
203,곡물가게,대전광역시,149
204,곡물가게,충청북도,237
205,곡물가게,충청남도,374
206,곡물가게,세종특별자치시,27
207,곡물가게,광주광역시,109
208,곡물가게,전라북도,361
209,곡물가게,전라남도,387
210,곡물가게,대구광역시,193
211,곡물가게,경상북도,372
212,곡물가게,부산광역시,341
213,곡물가게,울산광역시,43
214,곡물가게,경상남도,277
215,곡물가게,제주특별자치도,71
216,공인노무사,합계,840
217,공인노무사,서울특별시,379
218,공인노무사,인천광역시,38
219,공인노무사,경기도,132
220,공인노무사,강원도,14
221,공인노무사,대전광역시,19
222,공인노무사,충청북도,18
223,공인노무사,충청남도,17
224,공인노무사,세종특별자치시,5
225,공인노무사,광주광역시,23
226,공인노무사,전라북도,20
227,공인노무사,전라남도,9
228,공인노무사,대구광역시,32
229,공인노무사,경상북도,15
230,공인노무사,부산광역시,52
231,공인노무사,울산광역시,22
232,공인노무사,경상남도,38
233,공인노무사,제주특별자치도,7
234,공인회계사,합계,"1,817"
235,공인회계사,서울특별시,848
236,공인회계사,인천광역시,64
237,공인회계사,경기도,305
238,공인회계사,강원도,12
239,공인회계사,대전광역시,35
240,공인회계사,충청북도,32
241,공인회계사,충청남도,45
242,공인회계사,세종특별자치시,9
243,공인회계사,광주광역시,35
244,공인회계사,전라북도,34
245,공인회계사,전라남도,24
246,공인회계사,대구광역시,90
247,공인회계사,경상북도,28
248,공인회계사,부산광역시,130
249,공인회계사,울산광역시,27
250,공인회계사,경상남도,72
251,공인회계사,제주특별자치도,27
252,과일가게,합계,"11,590"
253,과일가게,서울특별시,"1,232"
254,과일가게,인천광역시,404
255,과일가게,경기도,"1,752"
256,과일가게,강원도,294
257,과일가게,대전광역시,309
258,과일가게,충청북도,645
259,과일가게,충청남도,668
260,과일가게,세종특별자치시,88
261,과일가게,광주광역시,284
262,과일가게,전라북도,573
263,과일가게,전라남도,670
264,과일가게,대구광역시,365
265,과일가게,경상북도,"1,333"
266,과일가게,부산광역시,601
267,과일가게,울산광역시,158
268,과일가게,경상남도,"1,191"
269,과일가게,제주특별자치도,"1,023"
270,교습소ㆍ공부방,합계,"30,742"
271,교습소ㆍ공부방,서울특별시,"6,684"
272,교습소ㆍ공부방,인천광역시,"1,605"
273,교습소ㆍ공부방,경기도,"7,328"
274,교습소ㆍ공부방,강원도,858
275,교습소ㆍ공부방,대전광역시,"1,237"
276,교습소ㆍ공부방,충청북도,719
277,교습소ㆍ공부방,충청남도,"1,048"
278,교습소ㆍ공부방,세종특별자치시,194
279,교습소ㆍ공부방,광주광역시,671
280,교습소ㆍ공부방,전라북도,658
281,교습소ㆍ공부방,전라남도,612
282,교습소ㆍ공부방,대구광역시,"2,365"
283,교습소ㆍ공부방,경상북도,"1,588"
284,교습소ㆍ공부방,부산광역시,"2,242"
285,교습소ㆍ공부방,울산광역시,622
286,교습소ㆍ공부방,경상남도,"1,841"
287,교습소ㆍ공부방,제주특별자치도,470
288,교습학원,합계,"55,765"
289,교습학원,서울특별시,"10,369"
290,교습학원,인천광역시,"2,466"
291,교습학원,경기도,"14,581"
292,교습학원,강원도,"1,466"
293,교습학원,대전광역시,"1,311"
294,교습학원,충청북도,"1,475"
295,교습학원,충청남도,"1,835"
296,교습학원,세종특별자치시,377
297,교습학원,광주광역시,"2,421"
298,교습학원,전라북도,"2,432"
299,교습학원,전라남도,"1,811"
300,교습학원,대구광역시,"2,630"
301,교습학원,경상북도,"2,638"
302,교습학원,부산광역시,"3,513"
303,교습학원,울산광역시,"1,718"
304,교습학원,경상남도,"4,030"
305,교습학원,제주특별자치도,692
306,구내식당,합계,"23,204"
307,구내식당,서울특별시,"4,340"
308,구내식당,인천광역시,"1,446"
309,구내식당,경기도,"5,648"
310,구내식당,강원도,643
311,구내식당,대전광역시,733
312,구내식당,충청북도,793
313,구내식당,충청남도,"1,085"
314,구내식당,세종특별자치시,84
315,구내식당,광주광역시,418
316,구내식당,전라북도,840
317,구내식당,전라남도,699
318,구내식당,대구광역시,947
319,구내식당,경상북도,"1,399"
320,구내식당,부산광역시,"1,546"
321,구내식당,울산광역시,458
322,구내식당,경상남도,"1,955"
323,구내식당,제주특별자치도,170
324,기술및직업훈련학원,합계,"12,431"
