,corp,city,2
0,업종전체,합계,"2,467,976"
1,업종전체,서울특별시,"492,161"
2,업종전체,인천광역시,"125,964"
3,업종전체,경기도,"579,208"
4,업종전체,강원도,"87,269"
5,업종전체,대전광역시,"72,008"
6,업종전체,충청북도,"78,588"
7,업종전체,충청남도,"103,432"
8,업종전체,세종특별자치시,"13,479"
9,업종전체,광주광역시,"72,330"
10,업종전체,전라북도,"86,474"
11,업종전체,전라남도,"87,123"
12,업종전체,대구광역시,"117,929"
13,업종전체,경상북도,"131,699"
14,업종전체,부산광역시,"161,958"
15,업종전체,울산광역시,"52,559"
16,업종전체,경상남도,"160,082"
17,업종전체,제주특별자치도,"45,713"
18,LPG 충전소,합계,"1,604"
19,LPG 충전소,서울특별시,76
20,LPG 충전소,인천광역시,68
21,LPG 충전소,경기도,372
22,LPG 충전소,강원도,95
23,LPG 충전소,대전광역시,38
24,LPG 충전소,충청북도,73
25,LPG 충전소,충청남도,128
26,LPG 충전소,세종특별자치시,4
27,LPG 충전소,광주광역시,38
28,LPG 충전소,전라북도,108
29,LPG 충전소,전라남도,119
30,LPG 충전소,대구광역시,44
31,LPG 충전소,경상북도,164
32,LPG 충전소,부산광역시,57
33,LPG 충전소,울산광역시,29
34,LPG 충전소,경상남도,156
35,LPG 충전소,제주특별자치도,35
36,PC방,합계,"10,210"
37,PC방,서울특별시,"1,651"
38,PC방,인천광역시,549
39,PC방,경기도,"2,481"
40,PC방,강원도,427
41,PC방,대전광역시,307
42,PC방,충청북도,340
43,PC방,충청남도,428
44,PC방,세종특별자치시,43
45,PC방,광주광역시,418
46,PC방,전라북도,411
47,PC방,전라남도,365
48,PC방,대구광역시,558
49,PC방,경상북도,569
50,PC방,부산광역시,624
51,PC방,울산광역시,247
52,PC방,경상남도,623
53,PC방,제주특별자치도,169
54,가구점,합계,"7,544"
55,가구점,서울특별시,"1,031"
56,가구점,인천광역시,296
57,가구점,경기도,"1,998"
58,가구점,강원도,303
59,가구점,대전광역시,217
60,가구점,충청북도,271
61,가구점,충청남도,293
62,가구점,세종특별자치시,26
63,가구점,광주광역시,213
64,가구점,전라북도,396
65,가구점,전라남도,277
66,가구점,대구광역시,368
67,가구점,경상북도,475
68,가구점,부산광역시,491
69,가구점,울산광역시,166
70,가구점,경상남도,539
71,가구점,제주특별자치도,184
72,가전제품수리점,합계,"16,774"
73,가전제품수리점,서울특별시,"2,801"
74,가전제품수리점,인천광역시,"1,185"
75,가전제품수리점,경기도,"4,952"
76,가전제품수리점,강원도,576
77,가전제품수리점,대전광역시,566
78,가전제품수리점,충청북도,484
79,가전제품수리점,충청남도,685
80,가전제품수리점,세종특별자치시,77
81,가전제품수리점,광주광역시,487
82,가전제품수리점,전라북도,571
83,가전제품수리점,전라남도,508
84,가전제품수리점,대구광역시,806
85,가전제품수리점,경상북도,591
86,가전제품수리점,부산광역시,"1,012"
87,가전제품수리점,울산광역시,312
88,가전제품수리점,경상남도,960
89,가전제품수리점,제주특별자치도,201
90,가전제품판매점,합계,"10,132"
91,가전제품판매점,서울특별시,"1,541"
92,가전제품판매점,인천광역시,390
93,가전제품판매점,경기도,"1,983"
94,가전제품판매점,강원도,462
95,가전제품판매점,대전광역시,298
96,가전제품판매점,충청북도,422
97,가전제품판매점,충청남도,530
98,가전제품판매점,세종특별자치시,43
99,가전제품판매점,광주광역시,343
100,가전제품판매점,전라북도,535
101,가전제품판매점,전라남도,577
102,가전제품판매점,대구광역시,504
103,가전제품판매점,경상북도,698
104,가전제품판매점,부산광역시,608
105,가전제품판매점,울산광역시,202
106,가전제품판매점,경상남도,749
107,가전제품판매점,제주특별자치도,247
108,간이주점,합계,"13,380"
109,간이주점,서울특별시,"4,259"
110,간이주점,인천광역시,"1,355"
111,간이주점,경기도,"2,710"
112,간이주점,강원도,398
113,간이주점,대전광역시,76
114,간이주점,충청북도,430
115,간이주점,충청남도,599
116,간이주점,세종특별자치시,14
117,간이주점,광주광역시,187
118,간이주점,전라북도,292
119,간이주점,전라남도,252
120,간이주점,대구광역시,248
121,간이주점,경상북도,363
122,간이주점,부산광역시,856
123,간이주점,울산광역시,107
124,간이주점,경상남도,"1,067"
125,간이주점,제주특별자치도,167
126,간판광고물업,합계,"13,029"
127,간판광고물업,서울특별시,"2,612"
128,간판광고물업,인천광역시,558
129,간판광고물업,경기도,"3,215"
130,간판광고물업,강원도,519
131,간판광고물업,대전광역시,389
132,간판광고물업,충청북도,382
133,간판광고물업,충청남도,479
134,간판광고물업,세종특별자치시,31
135,간판광고물업,광주광역시,436
136,간판광고물업,전라북도,508
137,간판광고물업,전라남도,480
138,간판광고물업,대구광역시,766
139,간판광고물업,경상북도,669
140,간판광고물업,부산광역시,835
141,간판광고물업,울산광역시,260
142,간판광고물업,경상남도,698
143,간판광고물업,제주특별자치도,192
144,감정평가사,합계,"1,176"
145,감정평가사,서울특별시,258
146,감정평가사,인천광역시,76
147,감정평가사,경기도,377
148,감정평가사,강원도,34
149,감정평가사,대전광역시,29
150,감정평가사,충청북도,29
151,감정평가사,충청남도,36
152,감정평가사,세종특별자치시,12
153,감정평가사,광주광역시,37
154,감정평가사,전라북도,38
155,감정평가사,전라남도,20
156,감정평가사,대구광역시,56
157,감정평가사,경상북도,20
158,감정평가사,부산광역시,57
159,감정평가사,울산광역시,19
160,감정평가사,경상남도,63
161,감정평가사,제주특별자치도,15
162,건강보조식품가게,합계,"13,793"
163,건강보조식품가게,서울특별시,"2,243"
164,건강보조식품가게,인천광역시,666
165,건강보조식품가게,경기도,"2,774"
166,건강보조식품가게,강원도,514
167,건강보조식품가게,대전광역시,459
168,건강보조식품가게,충청북도,426
169,건강보조식품가게,충청남도,"1,274"
170,건강보조식품가게,세종특별자치시,54
171,건강보조식품가게,광주광역시,405
172,건강보조식품가게,전라북도,729
173,건강보조식품가게,전라남도,484
174,건강보조식품가게,대구광역시,595
175,건강보조식품가게,경상북도,934
176,건강보조식품가게,부산광역시,829
177,건강보조식품가게,울산광역시,222
178,건강보조식품가게,경상남도,"1,007"
179,건강보조식품가게,제주특별자치도,178
180,건어물가게,합계,"7,275"
181,건어물가게,서울특별시,757
182,건어물가게,인천광역시,373
183,건어물가게,경기도,867
184,건어물가게,강원도,662
185,건어물가게,대전광역시,126
186,건어물가게,충청북도,109
187,건어물가게,충청남도,637
188,건어물가게,세종특별자치시,11
189,건어물가게,광주광역시,180
190,건어물가게,전라북도,353
191,건어물가게,전라남도,926
192,건어물가게,대구광역시,160
193,건어물가게,경상북도,647
194,건어물가게,부산광역시,517
195,건어물가게,울산광역시,133
196,건어물가게,경상남도,708
197,건어물가게,제주특별자치도,109
198,건축사,합계,"10,194"
199,건축사,서울특별시,"2,641"
200,건축사,인천광역시,347
201,건축사,경기도,"2,155"
202,건축사,강원도,337
203,건축사,대전광역시,221
204,건축사,충청북도,297
205,건축사,충청남도,356
206,건축사,세종특별자치시,58
207,건축사,광주광역시,242
208,건축사,전라북도,364
209,건축사,전라남도,278
210,건축사,대구광역시,684
211,건축사,경상북도,483
212,건축사,부산광역시,685
213,건축사,울산광역시,219
214,건축사,경상남도,524
215,건축사,제주특별자치도,303
