사업자 현황 ( 7월/100대 생활업종),,,,,,,
*조회년월,,2020년 7월,,,,,
,,,,,,,
,,,"(단위 : 인원수, %)",,,,
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
업종전체,합계,합계,"2,485,979","2,467,976",100.73%,"2,360,274",105.33%
업종전체,서울특별시,합계,"496,455","492,161",100.87%,"470,669",105.48%
업종전체,서울특별시,종로구,"17,093","16,981",100.66%,"16,764",101.96%
업종전체,서울특별시,중구,"18,779","18,806",99.86%,"18,518",101.41%
업종전체,서울특별시,용산구,"14,110","14,016",100.67%,"13,438",105.00%
업종전체,서울특별시,성동구,"15,598","15,437",101.04%,"14,370",108.55%
업종전체,서울특별시,광진구,"17,701","17,591",100.63%,"16,718",105.88%
업종전체,서울특별시,동대문구,"17,158","17,013",100.85%,"16,659",103.00%
업종전체,서울특별시,중랑구,"15,846","15,705",100.90%,"15,153",104.57%
업종전체,서울특별시,성북구,"16,942","16,776",100.99%,"16,127",105.05%
업종전체,서울특별시,강북구,"13,684","13,545",101.03%,"13,043",104.91%
업종전체,서울특별시,도봉구,"11,887","11,799",100.75%,"11,353",104.70%
업종전체,서울특별시,노원구,"17,887","17,706",101.02%,"17,010",105.16%
업종전체,서울특별시,은평구,"18,221","18,017",101.13%,"17,142",106.29%
업종전체,서울특별시,서대문구,"13,907","13,783",100.90%,"13,257",104.90%
업종전체,서울특별시,마포구,"26,076","25,853",100.86%,"24,651",105.78%
업종전체,서울특별시,양천구,"17,439","17,324",100.66%,"16,602",105.04%
업종전체,서울특별시,강서구,"25,434","25,175",101.03%,"23,251",109.39%
업종전체,서울특별시,구로구,"17,635","17,479",100.89%,"16,666",105.81%
업종전체,서울특별시,금천구,"12,891","12,735",101.22%,"11,909",108.25%
업종전체,서울특별시,영등포구,"22,890","22,713",100.78%,"21,424",106.84%
업종전체,서울특별시,동작구,"15,424","15,306",100.77%,"14,764",104.47%
업종전체,서울특별시,관악구,"20,249","20,002",101.23%,"18,953",106.84%
업종전체,서울특별시,서초구,"31,270","31,058",100.68%,"30,027",104.14%
업종전체,서울특별시,강남구,"47,117","46,641",101.02%,"44,842",105.07%
업종전체,서울특별시,송파구,"31,971","31,641",101.04%,"30,010",106.53%
업종전체,서울특별시,강동구,"19,246","19,059",100.98%,"18,018",106.82%
업종전체,인천광역시,합계,"127,035","125,964",100.85%,"119,897",105.95%
업종전체,인천광역시,중구,"8,094","7,970",101.56%,"7,423",109.04%
