사업자 현황 ( 11월/100대 생활업종),,,,,,,
*조회년월,,2019년 11월,,,,,
,,,,,,,
,,,,,,,"(단위 : 인원수, %)"
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
업종,합계,합계," 2,400,922 "," 2,389,698 ",100.47%," 2,294,090 ",104.66%
업종,서울특별시,합계," 478,626 "," 476,341 ",100.48%," 458,387 ",104.42%
업종,서울특별시,종로구," 16,886 "," 16,843 ",100.26%," 16,544 ",102.07%
업종,서울특별시,중구," 18,636 "," 18,624 ",100.06%," 18,171 ",102.56%
업종,서울특별시,용산구," 13,684 "," 13,600 ",100.62%," 13,215 ",103.55%
업종,서울특별시,성동구," 14,779 "," 14,675 ",100.71%," 13,794 ",107.14%
업종,서울특별시,광진구," 16,988 "," 16,907 ",100.48%," 16,237 ",104.63%
업종,서울특별시,동대문구," 16,771 "," 16,705 ",100.40%," 16,612 ",100.96%
업종,서울특별시,중랑구," 15,398 "," 15,321 ",100.50%," 14,752 ",104.38%
업종,서울특별시,성북구," 16,424 "," 16,362 ",100.38%," 15,729 ",104.42%
업종,서울특별시,강북구," 13,231 "," 13,161 ",100.53%," 12,741 ",103.85%
업종,서울특별시,도봉구," 11,537 "," 11,496 ",100.36%," 11,115 ",103.80%
업종,서울특별시,노원구," 17,303 "," 17,214 ",100.52%," 16,586 ",104.32%
업종,서울특별시,은평구," 17,415 "," 17,345 ",100.40%," 16,613 ",104.83%
업종,서울특별시,서대문구," 13,458 "," 13,387 ",100.53%," 12,831 ",104.89%
업종,서울특별시,마포구," 25,133 "," 24,950 ",100.73%," 23,888 ",105.21%
업종,서울특별시,양천구," 16,820 "," 16,772 ",100.29%," 16,287 ",103.27%
업종,서울특별시,강서구," 24,022 "," 23,783 ",101.00%," 22,085 ",108.77%
업종,서울특별시,구로구," 16,942 "," 16,871 ",100.42%," 16,394 ",103.34%
업종,서울특별시,금천구," 12,255 "," 12,165 ",100.74%," 11,264 ",108.80%
업종,서울특별시,영등포구," 21,704 "," 21,635 ",100.32%," 21,013 ",103.29%
업종,서울특별시,동작구," 14,919 "," 14,885 ",100.23%," 14,517 ",102.77%
업종,서울특별시,관악구," 19,310 "," 19,184 ",100.66%," 18,424 ",104.81%
업종,서울특별시,서초구," 30,454 "," 30,378 ",100.25%," 29,335 ",103.81%
업종,서울특별시,강남구," 45,519 "," 45,304 ",100.47%," 43,727 ",104.10%
업종,서울특별시,송파구," 30,635 "," 30,486 ",100.49%," 28,827 ",106.27%
