사업자 현황 ( 11월/100대 생활업종),,,,,,,
*조회년월,,2020년 11월,,,,,
,,,,,,,
,,,"(단위 : 인원수, %)",,,,
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
업종전체,합계,합계,"2,544,505","2,530,626",100.55%,"2,400,922",105.98%
업종전체,서울특별시,합계,"507,899","504,873",100.60%,"478,626",106.12%
업종전체,서울특별시,종로구,"17,145","17,127",100.11%,"16,886",101.53%
업종전체,서울특별시,중구,"18,790","18,775",100.08%,"18,636",100.83%
업종전체,서울특별시,용산구,"14,503","14,416",100.60%,"13,684",105.99%
업종전체,서울특별시,성동구,"16,076","15,927",100.94%,"14,779",108.78%
업종전체,서울특별시,광진구,"18,162","18,038",100.69%,"16,988",106.91%
업종전체,서울특별시,동대문구,"17,500","17,433",100.38%,"16,771",104.35%
업종전체,서울특별시,중랑구,"16,326","16,192",100.83%,"15,398",106.03%
업종전체,서울특별시,성북구,"17,381","17,267",100.66%,"16,424",105.83%
업종전체,서울특별시,강북구,"13,869","13,832",100.27%,"13,231",104.82%
업종전체,서울특별시,도봉구,"12,079","12,030",100.41%,"11,537",104.70%
업종전체,서울특별시,노원구,"18,446","18,283",100.89%,"17,303",106.61%
업종전체,서울특별시,은평구,"18,780","18,645",100.72%,"17,415",107.84%
업종전체,서울특별시,서대문구,"14,093","14,060",100.23%,"13,458",104.72%
업종전체,서울특별시,마포구,"26,576","26,471",100.40%,"25,133",105.74%
업종전체,서울특별시,양천구,"17,881","17,745",100.77%,"16,820",106.31%
업종전체,서울특별시,강서구,"26,405","26,140",101.01%,"24,022",109.92%
업종전체,서울특별시,구로구,"18,118","18,032",100.48%,"16,942",106.94%
업종전체,서울특별시,금천구,"13,297","13,219",100.59%,"12,255",108.50%
업종전체,서울특별시,영등포구,"23,318","23,173",100.63%,"21,704",107.44%
업종전체,서울특별시,동작구,"15,758","15,660",100.63%,"14,919",105.62%
업종전체,서울특별시,관악구,"20,732","20,561",100.83%,"19,310",107.36%
업종전체,서울특별시,서초구,"31,890","31,721",100.53%,"30,454",104.72%
업종전체,서울특별시,강남구,"48,044","47,828",100.45%,"45,519",105.55%
업종전체,서울특별시,송파구,"32,882","32,642",100.74%,"30,635",107.33%
업종전체,서울특별시,강동구,"19,848","19,656",100.98%,"18,403",107.85%
업종전체,인천광역시,합계,"131,051","130,124",100.71%,"122,152",107.29%
업종전체,인천광역시,중구,"8,410","8,321",101.07%,"7,647",109.98%
