사업자 현황 ( 10월/100대 생활업종),,,,,,,
*조회년월,,2019년 10월,,,,,
,,,,,,,
,,,,,,,"(단위 : 인원수, %)"
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
업종전체,합계,합계," 2,389,698 "," 2,376,170 ",100.57%," 2,285,001 ",104.58%
업종전체,서울특별시,합계," 476,341 "," 473,615 ",100.58%," 456,576 ",104.33%
업종전체,서울특별시,종로구," 16,843 "," 16,776 ",100.40%," 16,501 ",102.07%
업종전체,서울특별시,중구," 18,624 "," 18,559 ",100.35%," 18,121 ",102.78%
업종전체,서울특별시,용산구," 13,600 "," 13,520 ",100.59%," 13,190 ",103.11%
업종전체,서울특별시,성동구," 14,675 "," 14,601 ",100.51%," 13,726 ",106.91%
업종전체,서울특별시,광진구," 16,907 "," 16,801 ",100.63%," 16,150 ",104.69%
업종전체,서울특별시,동대문구," 16,705 "," 16,678 ",100.16%," 16,555 ",100.91%
업종전체,서울특별시,중랑구," 15,321 "," 15,264 ",100.37%," 14,703 ",104.20%
업종전체,서울특별시,성북구," 16,362 "," 16,255 ",100.66%," 15,670 ",104.42%
업종전체,서울특별시,강북구," 13,161 "," 13,093 ",100.52%," 12,736 ",103.34%
업종전체,서울특별시,도봉구," 11,496 "," 11,397 ",100.87%," 11,071 ",103.84%
업종전체,서울특별시,노원구," 17,214 "," 17,107 ",100.63%," 16,545 ",104.04%
업종전체,서울특별시,은평구," 17,345 "," 17,254 ",100.53%," 16,558 ",104.75%
업종전체,서울특별시,서대문구," 13,387 "," 13,325 ",100.47%," 12,813 ",104.48%
업종전체,서울특별시,마포구," 24,950 "," 24,780 ",100.69%," 23,786 ",104.89%
업종전체,서울특별시,양천구," 16,772 "," 16,707 ",100.39%," 16,232 ",103.33%
업종전체,서울특별시,강서구," 23,783 "," 23,535 ",101.05%," 21,958 ",108.31%
업종전체,서울특별시,구로구," 16,871 "," 16,777 ",100.56%," 16,300 ",103.50%
업종전체,서울특별시,금천구," 12,165 "," 12,042 ",101.02%," 11,154 ",109.06%
업종전체,서울특별시,영등포구," 21,635 "," 21,535 ",100.46%," 20,928 ",103.38%
업종전체,서울특별시,동작구," 14,885 "," 14,810 ",100.51%," 14,458 ",102.95%
업종전체,서울특별시,관악구," 19,184 "," 19,098 ",100.45%," 18,380 ",104.37%
업종전체,서울특별시,서초구," 30,378 "," 30,237 ",100.47%," 29,225 ",103.95%
