사업자 현황(2월/100대 생활업종),,,,,,,
*조회년월,,2019년 2월,,,,,
,,,,,,,
,,,"(단위 : 인원수, %)",,,,
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
업종전체,합계,합계,"2,305,692","2,295,565",100.44%,"2,233,041",103.25%
업종전체,서울특별시,합계,"461,009","458,980",100.44%,"448,284",102.84%
업종전체,서울특별시,종로구,"16,542","16,497",100.27%,"16,235",101.89%
업종전체,서울특별시,중구,"18,218","18,154",100.35%,"18,020",101.10%
업종전체,서울특별시,용산구,"13,254","13,222",100.24%,"12,979",102.12%
업종전체,서울특별시,성동구,"13,984","13,894",100.65%,"13,108",106.68%
업종전체,서울특별시,광진구,"16,376","16,292",100.52%,"15,960",102.61%
업종전체,서울특별시,동대문구,"16,615","16,587",100.17%,"16,223",102.42%
업종전체,서울특별시,중랑구,"14,811","14,749",100.42%,"14,507",102.10%
업종전체,서울특별시,성북구,"15,788","15,720",100.43%,"15,374",102.69%
업종전체,서울특별시,강북구,"12,821","12,742",100.62%,"12,559",102.09%
업종전체,서울특별시,도봉구,"11,199","11,148",100.46%,"10,950",102.27%
업종전체,서울특별시,노원구,"16,721","16,594",100.77%,"16,260",102.84%
업종전체,서울특별시,은평구,"16,713","16,653",100.36%,"16,253",102.83%
업종전체,서울특별시,서대문구,"12,913","12,857",100.44%,"12,588",102.58%
업종전체,서울특별시,마포구,"24,010","23,901",100.46%,"23,025",104.28%
업종전체,서울특별시,양천구,"16,316","16,276",100.25%,"16,079",101.47%
업종전체,서울특별시,강서구,"22,460","22,278",100.82%,"21,066",106.62%
업종전체,서울특별시,구로구,"16,432","16,397",100.21%,"16,176",101.58%
업종전체,서울특별시,금천구,"11,506","11,406",100.88%,"10,798",106.56%
업종전체,서울특별시,영등포구,"21,111","21,024",100.41%,"20,621",102.38%
업종전체,서울특별시,동작구,"14,564","14,524",100.28%,"14,275",102.02%
업종전체,서울특별시,관악구,"18,527","18,475",100.28%,"17,974",103.08%
업종전체,서울특별시,서초구,"29,400","29,292",100.37%,"28,787",102.13%
업종전체,서울특별시,강남구,"43,880","43,692",100.43%,"43,129",101.74%
업종전체,서울특별시,송파구,"29,118","28,933",100.64%,"27,863",104.50%
업종전체,서울특별시,강동구,"17,730","17,673",100.32%,"17,475",101.46%
업종전체,인천광역시,합계,"116,392","115,817",100.50%,"111,341",104.54%
업종전체,인천광역시,중구,"7,118","7,076",100.59%,"6,643",107.15%
