사업자 현황 (6월/100대 생활업종),,,,,,,,,,,,,,,,
*조회년월,,2019년 6월,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,"(단위 : 인원수, %)",,,,,,,,,,,,,
구분,,, 사업자 수,,,,,,,,,,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③),,,,,,,,,
업종전체,서울특별시,관악구,"18,837","18,757",100.43%,"18,151",103.78%,,,,,,,,,
업종전체,서울특별시,서초구,"29,900","29,778",100.41%,"29,027",103.01%,,,,,,,,,
업종전체,서울특별시,강남구,"44,663","44,498",100.37%,"43,427",102.85%,,,,,,,,,
업종전체,서울특별시,송파구,"29,794","29,683",100.37%,"28,161",105.80%,,,,,,,,,
업종전체,서울특별시,강동구,"17,951","17,878",100.41%,"17,526",102.42%,,,,,,,,,
업종전체,인천광역시,합계,"119,193","118,435",100.64%,"113,052",105.43%,,,,,,,,,
업종전체,인천광역시,동구,"2,781","2,777",100.14%,"2,745",101.31%,,,,,,,,,
업종전체,인천광역시,중구,"7,356","7,283",101.00%,"6,828",107.73%,,,,,,,,,
업종전체,인천광역시,연수구,"12,552","12,424",101.03%,"11,613",108.09%,,,,,,,,,
업종전체,인천광역시,남동구,"21,898","21,774",100.57%,"21,018",104.19%,,,,,,,,,
업종전체,인천광역시,부평구,"20,281","20,157",100.62%,"19,399",104.55%,,,,,,,,,
업종전체,인천광역시,계양구,"11,454","11,389",100.57%,"11,115",103.05%,,,,,,,,,
업종전체,인천광역시,서구,"20,598","20,469",100.63%,"18,912",108.91%,,,,,,,,,
업종전체,인천광역시,강화군,"3,893","3,866",100.70%,"3,769",103.29%,,,,,,,,,
업종전체,인천광역시,옹진군,"1,270","1,259",100.87%,"1,221",104.01%,,,,,,,,,
업종전체,인천광역시,미추홀구,"17,110","17,037",100.43%,"16,432",104.13%,,,,,,,,,
업종전체,경기도,합계,"538,423","535,193",100.60%,"506,043",106.40%,,,,,,,,,
업종전체,경기도,수원시 장안구,"10,390","10,363",100.26%,"10,127",102.60%,,,,,,,,,
업종전체,경기도,수원시 권선구,"12,881","12,801",100.62%,"12,180",105.76%,,,,,,,,,
업종전체,경기도,수원시 팔달구,"11,785","11,739",100.39%,"11,655",101.12%,,,,,,,,,
업종전체,경기도,수원시 영통구,"13,308","13,182",100.96%,"12,381",107.49%,,,,,,,,,
업종전체,경기도,성남시 수정구,"9,816","9,751",100.67%,"9,326",105.25%,,,,,,,,,
업종전체,경기도,성남시 중원구,"9,885","9,823",100.63%,"9,612",102.84%,,,,,,,,,
업종전체,경기도,성남시 분당구,"21,279","21,194",100.40%,"20,435",104.13%,,,,,,,,,
업종전체,경기도,의정부시,"19,522","19,399",100.63%,"18,908",103.25%,,,,,,,,,
업종전체,경기도,안양시 만안구,"9,961","9,922",100.39%,"9,689",102.81%,,,,,,,,,
업종전체,경기도,안양시 동안구,"14,054","14,019",100.25%,"13,484",104.23%,,,,,,,,,
업종전체,경기도,부천시,"35,397","35,203",100.55%,"34,040",103.99%,,,,,,,,,
업종전체,경기도,광명시,"11,543","11,501",100.37%,"11,083",104.15%,,,,,,,,,
업종전체,경기도,평택시,"23,184","23,084",100.43%,"22,010",105.33%,,,,,,,,,
업종전체,경기도,동두천시,"4,206","4,204",100.05%,"4,129",101.86%,,,,,,,,,
업종전체,경기도,안산시 상록구,"12,782","12,691",100.72%,"12,182",104.93%,,,,,,,,,
업종전체,경기도,안산시 단원구,"15,984","15,931",100.33%,"15,226",104.98%,,,,,,,,,
업종전체,경기도,고양시 덕양구,"16,664","16,585",100.48%,"15,735",105.90%,,,,,,,,,
업종전체,경기도,고양시 일산동구,"16,034","15,962",100.45%,"15,195",105.52%,,,,,,,,,
업종전체,경기도,고양시 일산서구,"11,551","11,487",100.56%,"11,001",105.00%,,,,,,,,,
업종전체,경기도,과천시,"2,297","2,274",101.01%,"2,184",105.17%,,,,,,,,,
업종전체,경기도,구리시,"9,043","9,010",100.37%,"8,619",104.92%,,,,,,,,,
업종전체,경기도,남양주시,"26,463","26,164",101.14%,"24,286",108.96%,,,,,,,,,
업종전체,경기도,오산시,"8,227","8,192",100.43%,"7,817",105.24%,,,,,,,,,
업종전체,경기도,시흥시,"19,070","18,936",100.71%,"17,350",109.91%,,,,,,,,,
업종전체,경기도,군포시,"9,487","9,456",100.33%,"8,994",105.48%,,,,,,,,,
업종전체,경기도,의왕시,"4,939","4,924",100.30%,"4,691",105.29%,,,,,,,,,
업종전체,경기도,하남시,"9,928","9,775",101.57%,"8,083",122.83%,,,,,,,,,
업종전체,경기도,용인시 처인구,"11,185","11,084",100.91%,"10,064",111.14%,,,,,,,,,
업종전체,경기도,용인시 기흥구,"14,589","14,489",100.69%,"13,501",108.06%,,,,,,,,,
업종전체,경기도,용인시 수지구,"10,769","10,680",100.83%,"10,042",107.24%,,,,,,,,,
업종전체,경기도,파주시,"18,250","18,127",100.68%,"16,915",107.89%,,,,,,,,,
업종전체,경기도,이천시,"9,390","9,351",100.42%,"9,004",104.29%,,,,,,,,,
업종전체,경기도,안성시,"8,151","8,128",100.28%,"7,869",103.58%,,,,,,,,,
업종전체,경기도,김포시,"17,575","17,399",101.01%,"15,423",113.95%,,,,,,,,,
업종전체,경기도,화성시,"29,674","29,469",100.70%,"26,670",111.26%,,,,,,,,,
업종전체,경기도,광주시,"14,165","14,063",100.73%,"12,992",109.03%,,,,,,,,,
업종전체,경기도,양주시,"8,816","8,750",100.75%,"8,032",109.76%,,,,,,,,,
업종전체,경기도,포천시,"8,208","8,198",100.12%,"7,983",102.82%,,,,,,,,,
업종전체,경기도,여주시,"5,259","5,250",100.17%,"5,176",101.60%,,,,,,,,,
업종전체,경기도,가평군,"4,696","4,659",100.79%,"4,412",106.44%,,,,,,,,,
업종전체,경기도,양평군,"5,856","5,818",100.65%,"5,431",107.83%,,,,,,,,,
업종전체,경기도,연천군,"2,160","2,156",100.19%,"2,107",102.52%,,,,,,,,,
업종전체,강원도,합계,"84,145","83,933",100.25%,"81,934",102.70%,,,,,,,,,
업종전체,강원도,춘천시,"13,989","13,941",100.34%,"13,660",102.41%,,,,,,,,,
업종전체,강원도,원주시,"17,593","17,515",100.45%,"16,883",104.21%,,,,,,,,,
업종전체,강원도,강릉시,"12,288","12,289",99.99%,"11,906",103.21%,,,,,,,,,
업종전체,강원도,동해시,"4,829","4,830",99.98%,"4,778",101.07%,,,,,,,,,
업종전체,강원도,태백시,"2,291","2,287",100.17%,"2,242",102.19%,,,,,,,,,
업종전체,강원도,속초시,"5,641","5,623",100.32%,"5,563",101.40%,,,,,,,,,
업종전체,강원도,삼척시,"3,449","3,441",100.23%,"3,345",103.11%,,,,,,,,,
업종전체,강원도,홍천군,"3,846","3,831",100.39%,"3,734",103.00%,,,,,,,,,
업종전체,강원도,횡성군,"2,208","2,223",99.33%,"2,164",102.03%,,,,,,,,,
업종전체,강원도,영월군,"2,084","2,083",100.05%,"2,044",101.96%,,,,,,,,,
업종전체,강원도,평창군,"2,857","2,855",100.07%,"2,829",100.99%,,,,,,,,,
업종전체,강원도,정선군,"2,364","2,355",100.38%,"2,321",101.85%,,,,,,,,,
업종전체,강원도,철원군,"2,338","2,346",99.66%,"2,353",99.36%,,,,,,,,,
업종전체,강원도,화천군,"1,303","1,293",100.77%,"1,267",102.84%,,,,,,,,,
업종전체,강원도,양구군,"1,208","1,213",99.59%,"1,157",104.41%,,,,,,,,,
업종전체,강원도,인제군,"2,111","2,095",100.76%,"2,053",102.83%,,,,,,,,,
업종전체,강원도,고성군,"1,636","1,624",100.74%,"1,603",102.06%,,,,,,,,,
업종전체,강원도,양양군,"2,110","2,089",101.01%,"2,032",103.84%,,,,,,,,,
업종전체,대전광역시,합계,"69,213","68,972",100.35%,"67,370",102.74%,,,,,,,,,
업종전체,대전광역시,동구,"10,233","10,185",100.47%,"9,987",102.46%,,,,,,,,,
업종전체,대전광역시,중구,"12,216","12,170",100.38%,"11,929",102.41%,,,,,,,,,
업종전체,대전광역시,서구,"22,998","22,936",100.27%,"22,396",102.69%,,,,,,,,,
업종전체,대전광역시,대덕구,"8,119","8,102",100.21%,"8,089",100.37%,,,,,,,,,
업종전체,대전광역시,유성구,"15,647","15,579",100.44%,"14,969",104.53%,,,,,,,,,
업종전체,충청북도,합계,"76,004","75,698",100.40%,"73,443",103.49%,,,,,,,,,
업종전체,충청북도,괴산군,"1,746","1,741",100.29%,"1,704",102.46%,,,,,,,,,
업종전체,충청북도,단양군,"1,756","1,746",100.57%,"1,678",104.65%,,,,,,,,,
업종전체,충청북도,보은군,"1,594","1,594",100.00%,"1,574",101.27%,,,,,,,,,
업종전체,충청북도,영동군,"2,209","2,209",100.00%,"2,182",101.24%,,,,,,,,,
업종전체,충청북도,옥천군,"2,144","2,139",100.23%,"2,107",101.76%,,,,,,,,,
업종전체,충청북도,음성군,"4,825","4,795",100.63%,"4,670",103.32%,,,,,,,,,
업종전체,충청북도,제천시,"7,400","7,366",100.46%,"7,293",101.47%,,,,,,,,,
업종전체,충청북도,증평군,"1,792","1,786",100.34%,"1,746",102.63%,,,,,,,,,
업종전체,충청북도,진천군,"3,656","3,633",100.63%,"3,457",105.76%,,,,,,,,,
업종전체,충청북도,청주시 상당구,"8,779","8,770",100.10%,"8,458",103.80%,,,,,,,,,
업종전체,충청북도,청주시 서원구,"9,023","8,986",100.41%,"8,807",102.45%,,,,,,,,,
업종전체,충청북도,청주시 청원구,"8,571","8,530",100.48%,"8,118",105.58%,,,,,,,,,
업종전체,충청북도,청주시 흥덕구,"11,972","11,883",100.75%,"11,409",104.93%,,,,,,,,,
업종전체,충청북도,충주시,"10,537","10,520",100.16%,"10,240",102.90%,,,,,,,,,
업종전체,충청남도,합계,"99,714","99,356",100.36%,"96,283",103.56%,,,,,,,,,
업종전체,충청남도,계룡시,"1,488","1,489",99.93%,"1,463",101.71%,,,,,,,,,
업종전체,충청남도,공주시,"5,407","5,402",100.09%,"5,317",101.69%,,,,,,,,,
업종전체,충청남도,금산군,"3,136","3,133",100.10%,"3,088",101.55%,,,,,,,,,
업종전체,충청남도,논산시,"5,846","5,841",100.09%,"5,697",102.62%,,,,,,,,,
업종전체,충청남도,당진시,"7,729","7,710",100.25%,"7,495",103.12%,,,,,,,,,
업종전체,충청남도,보령시,"5,585","5,577",100.14%,"5,454",102.40%,,,,,,,,,
업종전체,충청남도,부여군,"2,722","2,717",100.18%,"2,701",100.78%,,,,,,,,,
업종전체,충청남도,서산시,"8,317","8,284",100.40%,"8,019",103.72%,,,,,,,,,
업종전체,충청남도,서천군,"2,496","2,503",99.72%,"2,451",101.84%,,,,,,,,,
업종전체,충청남도,아산시,"12,979","12,948",100.24%,"12,466",104.12%,,,,,,,,,
업종전체,충청남도,예산군,"3,906","3,916",99.74%,"3,875",100.80%,,,,,,,,,
업종전체,충청남도,천안시 동남구,"12,316","12,221",100.78%,"11,795",104.42%,,,,,,,,,
업종전체,충청남도,천안시 서북구,"17,325","17,215",100.64%,"16,192",107.00%,,,,,,,,,
업종전체,충청남도,청양군,"1,298","1,299",99.92%,"1,283",101.17%,,,,,,,,,
업종전체,충청남도,태안군,"4,398","4,366",100.73%,"4,302",102.23%,,,,,,,,,
업종전체,충청남도,홍성군,"4,766","4,735",100.65%,"4,685",101.73%,,,,,,,,,
업종전체,세종특별자치시,합계,"12,030","11,910",101.01%,"10,546",114.07%,,,,,,,,,
업종전체,세종특별자치시,세종시,"12,030","11,910",101.01%,"10,546",114.07%,,,,,,,,,
업종전체,광주광역시,합계,"69,512","69,320",100.28%,"66,822",104.03%,,,,,,,,,
업종전체,광주광역시,동구,"8,367","8,362",100.06%,"8,208",101.94%,,,,,,,,,
업종전체,광주광역시,남구,"8,670","8,630",100.46%,"8,334",104.03%,,,,,,,,,
업종전체,광주광역시,서구,"16,207","16,179",100.17%,"15,612",103.81%,,,,,,,,,
업종전체,광주광역시,광산구,"17,161","17,093",100.40%,"16,158",106.21%,,,,,,,,,
업종전체,광주광역시,북구,"19,107","19,056",100.27%,"18,510",103.23%,,,,,,,,,
업종전체,전라북도,합계,"83,766","83,577",100.23%,"81,793",102.41%,,,,,,,,,
업종전체,전라북도,고창군,"2,238","2,231",100.31%,"2,146",104.29%,,,,,,,,,
