사업자 현황(4월/100대 생활업종),,,,,,,
*조회년월,,2019년 4월,,,,,
,,,,,,,
,,,"(단위 : 인원수, %)",,,,
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
업종전체,합계,합계,"2,326,567","2,313,927",100.55%,"2,235,689",104.06%
업종전체,서울특별시,합계,"464,744","462,391",100.51%,"448,184",103.69%
업종전체,서울특별시,종로구,"16,647","16,603",100.27%,"16,352",101.80%
업종전체,서울특별시,중구,"18,369","18,276",100.51%,"17,969",102.23%
업종전체,서울특별시,용산구,"13,332","13,282",100.38%,"12,949",102.96%
업종전체,서울특별시,성동구,"14,142","14,042",100.71%,"13,235",106.85%
업종전체,서울특별시,광진구,"16,543","16,450",100.57%,"15,820",104.57%
업종전체,서울특별시,동대문구,"16,607","16,557",100.30%,"16,258",102.15%
업종전체,서울특별시,중랑구,"14,979","14,892",100.58%,"14,418",103.89%
업종전체,서울특별시,성북구,"15,977","15,853",100.78%,"15,438",103.49%
업종전체,서울특별시,강북구,"12,929","12,849",100.62%,"12,436",103.96%
업종전체,서울특별시,도봉구,"11,238","11,190",100.43%,"10,842",103.65%
업종전체,서울특별시,노원구,"16,805","16,728",100.46%,"16,230",103.54%
업종전체,서울특별시,은평구,"16,918","16,812",100.63%,"16,227",104.26%
업종전체,서울특별시,서대문구,"13,034","12,932",100.79%,"12,592",103.51%
업종전체,서울특별시,마포구,"24,258","24,149",100.45%,"23,186",104.62%
업종전체,서울특별시,양천구,"16,371","16,327",100.27%,"16,025",102.16%
업종전체,서울특별시,강서구,"22,792","22,609",100.81%,"21,160",107.71%
업종전체,서울특별시,구로구,"16,551","16,470",100.49%,"16,126",102.64%
업종전체,서울특별시,금천구,"11,632","11,558",100.64%,"10,837",107.34%
업종전체,서울특별시,영등포구,"21,149","21,068",100.38%,"20,666",102.34%
업종전체,서울특별시,동작구,"14,609","14,544",100.45%,"14,234",102.63%
업종전체,서울특별시,관악구,"18,650","18,584",100.36%,"17,957",103.86%
업종전체,서울특별시,서초구,"29,638","29,474",100.56%,"28,775",103.00%
업종전체,서울특별시,강남구,"44,292","44,060",100.53%,"43,159",102.63%
업종전체,서울특별시,송파구,"29,474","29,322",100.52%,"27,917",105.58%
업종전체,서울특별시,강동구,"17,808","17,760",100.27%,"17,376",102.49%
업종전체,인천광역시,합계,"117,732","116,997",100.63%,"111,797",105.31%
업종전체,인천광역시,중구,"7,238","7,172",100.92%,"6,686",108.26%
