사업자 현황 ( 8월/100대 생활업종),,,,,,,
*조회년월,,2020년 8월,,,,,
,,,,,,,
,,,"(단위 : 인원수, %)",,,,
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
헬스클럽,서울특별시,서초구,148,143,103.50%,125,118.40%
헬스클럽,서울특별시,강남구,280,281,99.64%,256,109.38%
헬스클럽,서울특별시,송파구,168,166,101.20%,136,123.53%
헬스클럽,서울특별시,강동구,77,77,100.00%,80,96.25%
헬스클럽,인천광역시,합계,443,442,100.23%,404,109.65%
헬스클럽,인천광역시,중구,20,20,100.00%,16,125.00%
헬스클럽,인천광역시,동구,5,5,100.00%,4,125.00%
헬스클럽,인천광역시,미추홀구,52,52,100.00%,42,123.81%
헬스클럽,인천광역시,연수구,73,73,100.00%,64,114.06%
헬스클럽,인천광역시,남동구,88,87,101.15%,82,107.32%
헬스클럽,인천광역시,부평구,76,76,100.00%,72,105.56%
헬스클럽,인천광역시,계양구,39,39,100.00%,39,100.00%
헬스클럽,인천광역시,서구,80,80,100.00%,76,105.26%
헬스클럽,인천광역시,강화군,10,10,100.00%,9,111.11%
헬스클럽,경기도,합계,"1,990","1,988",100.10%,"1,814",109.70%
헬스클럽,경기도,수원시 장안구,44,45,97.78%,42,104.76%
헬스클럽,경기도,수원시 권선구,54,55,98.18%,47,114.89%
헬스클럽,경기도,수원시 팔달구,50,51,98.04%,44,113.64%
헬스클럽,경기도,수원시 영통구,57,58,98.28%,57,100.00%
헬스클럽,경기도,성남시 수정구,36,36,100.00%,26,138.46%
헬스클럽,경기도,성남시 중원구,33,34,97.06%,33,100.00%
헬스클럽,경기도,성남시 분당구,128,126,101.59%,125,102.40%
헬스클럽,경기도,의정부시,71,71,100.00%,69,102.90%
헬스클럽,경기도,안양시 만안구,29,29,100.00%,23,126.09%
헬스클럽,경기도,안양시 동안구,67,67,100.00%,61,109.84%
헬스클럽,경기도,부천시,131,131,100.00%,119,110.08%
헬스클럽,경기도,광명시,38,38,100.00%,35,108.57%
헬스클럽,경기도,평택시,82,79,103.80%,77,106.49%
헬스클럽,경기도,동두천시,8,8,100.00%,7,114.29%
헬스클럽,경기도,안산시 상록구,43,42,102.38%,39,110.26%
헬스클럽,경기도,안산시 단원구,58,58,100.00%,53,109.43%
헬스클럽,경기도,고양시 덕양구,60,61,98.36%,57,105.26%
헬스클럽,경기도,고양시 일산동구,56,57,98.25%,54,103.70%
헬스클럽,경기도,고양시 일산서구,47,44,106.82%,44,106.82%
헬스클럽,경기도,과천시,7,7,100.00%,6,116.67%
헬스클럽,경기도,구리시,35,34,102.94%,31,112.90%
헬스클럽,경기도,남양주시,80,80,100.00%,76,105.26%
헬스클럽,경기도,오산시,36,36,100.00%,31,116.13%
헬스클럽,경기도,시흥시,71,71,100.00%,63,112.70%
헬스클럽,경기도,군포시,39,41,95.12%,38,102.63%
헬스클럽,경기도,의왕시,17,17,100.00%,16,106.25%
헬스클럽,경기도,하남시,39,38,102.63%,27,144.44%
헬스클럽,경기도,용인시 처인구,18,18,100.00%,19,94.74%
헬스클럽,경기도,용인시 기흥구,74,73,101.37%,67,110.45%
헬스클럽,경기도,용인시 수지구,64,65,98.46%,61,104.92%
헬스클럽,경기도,파주시,62,62,100.00%,49,126.53%
헬스클럽,경기도,이천시,30,30,100.00%,23,130.43%
헬스클럽,경기도,안성시,28,28,100.00%,25,112.00%
헬스클럽,경기도,김포시,67,68,98.53%,62,108.06%
헬스클럽,경기도,화성시,100,101,99.01%,92,108.70%
헬스클럽,경기도,광주시,49,48,102.08%,47,104.26%
헬스클럽,경기도,양주시,23,23,100.00%,26,88.46%
헬스클럽,경기도,포천시,19,18,105.56%,13,146.15%
헬스클럽,경기도,여주시,15,15,100.00%,12,125.00%
헬스클럽,경기도,연천군,4,4,100.00%,4,100.00%
헬스클럽,경기도,가평군,12,12,100.00%,8,150.00%
헬스클럽,경기도,양평군,9,9,100.00%,6,150.00%
헬스클럽,강원도,합계,238,235,101.28%,213,111.74%
헬스클럽,강원도,춘천시,61,58,105.17%,45,135.56%
헬스클럽,강원도,원주시,55,55,100.00%,54,101.85%
헬스클럽,강원도,강릉시,40,41,97.56%,38,105.26%
헬스클럽,강원도,동해시,9,9,100.00%,8,112.50%
헬스클럽,강원도,태백시,9,7,128.57%,8,112.50%
헬스클럽,강원도,속초시,9,9,100.00%,9,100.00%
헬스클럽,강원도,삼척시,12,13,92.31%,11,109.09%
헬스클럽,강원도,홍천군,10,10,100.00%,9,111.11%
헬스클럽,강원도,횡성군,4,4,100.00%,3,133.33%
헬스클럽,강원도,영월군,3,3,100.00%,*,150.00%
헬스클럽,강원도,평창군,5,5,100.00%,6,83.33%
헬스클럽,강원도,정선군,*,*,100.00%,*,100.00%
헬스클럽,강원도,철원군,12,12,100.00%,12,100.00%
헬스클럽,강원도,화천군,*,*,100.00%,*,100.00%
헬스클럽,강원도,양구군,*,*,100.00%,*,100.00%
헬스클럽,강원도,인제군,*,*,100.00%,*,200.00%
헬스클럽,강원도,양양군,*,*,100.00%,*,100.00%
헬스클럽,대전광역시,합계,265,264,100.38%,236,112.29%
헬스클럽,대전광역시,동구,21,21,100.00%,18,116.67%
헬스클럽,대전광역시,중구,28,28,100.00%,26,107.69%
헬스클럽,대전광역시,서구,103,103,100.00%,92,111.96%
헬스클럽,대전광역시,유성구,83,82,101.22%,73,113.70%
헬스클럽,대전광역시,대덕구,30,30,100.00%,27,111.11%
헬스클럽,충청북도,합계,273,270,101.11%,264,103.41%
헬스클럽,충청북도,청주시 상당구,25,25,100.00%,25,100.00%
