사업자 현황 (5월/100대 생활업종),,,,,,,
*조회년월,,2019년 5월,,,,,
,,,,,,,
,,,"(단위 : 인원수, %)",,,,
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
헬스클럽,인천광역시,부평구,67,67,100.00%,61,109.84%
헬스클럽,인천광역시,계양구,37,39,94.87%,35,105.71%
헬스클럽,인천광역시,서구,71,70,101.43%,64,110.94%
헬스클럽,인천광역시,강화군,9,9,100.00%,9,100.00%
헬스클럽,경기도,합계,"1,752","1,729",101.33%,"1,576",111.17%
헬스클럽,경기도,수원시 장안구,39,40,97.50%,31,125.81%
헬스클럽,경기도,수원시 권선구,42,39,107.69%,36,116.67%
헬스클럽,경기도,수원시 팔달구,41,41,100.00%,43,95.35%
헬스클럽,경기도,수원시 영통구,53,53,100.00%,44,120.45%
헬스클럽,경기도,성남시 수정구,25,25,100.00%,25,100.00%
헬스클럽,경기도,성남시 중원구,33,33,100.00%,29,113.79%
헬스클럽,경기도,성남시 분당구,119,117,101.71%,111,107.21%
헬스클럽,경기도,의정부시,67,64,104.69%,57,117.54%
헬스클럽,경기도,안양시 만안구,23,22,104.55%,22,104.55%
헬스클럽,경기도,안양시 동안구,60,59,101.69%,51,117.65%
헬스클럽,경기도,부천시,115,113,101.77%,111,103.60%
헬스클럽,경기도,광명시,35,34,102.94%,32,109.38%
헬스클럽,경기도,평택시,75,74,101.35%,66,113.64%
헬스클럽,경기도,동두천시,6,6,100.00%,6,100.00%
헬스클럽,경기도,안산시 상록구,40,39,102.56%,33,121.21%
헬스클럽,경기도,안산시 단원구,49,49,100.00%,47,104.26%
헬스클럽,경기도,고양시 덕양구,55,54,101.85%,52,105.77%
헬스클럽,경기도,고양시 일산동구,52,53,98.11%,53,98.11%
헬스클럽,경기도,고양시 일산서구,41,42,97.62%,39,105.13%
헬스클럽,경기도,과천시,6,6,100.00%,4,150.00%
헬스클럽,경기도,구리시,29,26,111.54%,22,131.82%
헬스클럽,경기도,남양주시,79,78,101.28%,72,109.72%
헬스클럽,경기도,오산시,30,30,100.00%,24,125.00%
헬스클럽,경기도,시흥시,59,58,101.72%,55,107.27%
헬스클럽,경기도,군포시,39,39,100.00%,39,100.00%
헬스클럽,경기도,의왕시,15,15,100.00%,14,107.14%
헬스클럽,경기도,하남시,23,23,100.00%,17,135.29%
헬스클럽,경기도,용인시 처인구,19,18,105.56%,17,111.76%
헬스클럽,경기도,용인시 기흥구,65,65,100.00%,58,112.07%
헬스클럽,경기도,용인시 수지구,62,60,103.33%,56,110.71%
헬스클럽,경기도,파주시,46,46,100.00%,39,117.95%
헬스클럽,경기도,이천시,24,24,100.00%,25,96.00%
헬스클럽,경기도,안성시,25,25,100.00%,26,96.15%
헬스클럽,경기도,김포시,57,57,100.00%,42,135.71%
헬스클럽,경기도,화성시,88,87,101.15%,79,111.39%
헬스클럽,경기도,광주시,47,46,102.17%,36,130.56%
헬스클럽,경기도,양주시,25,25,100.00%,20,125.00%
헬스클럽,경기도,포천시,14,14,100.00%,14,100.00%
헬스클럽,경기도,여주시,12,12,100.00%,11,109.09%
헬스클럽,경기도,연천군,4,4,100.00%,3,133.33%
헬스클럽,경기도,가평군,8,8,100.00%,9,88.89%
헬스클럽,경기도,양평군,6,6,100.00%,6,100.00%
헬스클럽,강원도,합계,210,208,100.96%,192,109.38%
헬스클럽,강원도,춘천시,45,44,102.27%,44,102.27%
헬스클럽,강원도,원주시,54,54,100.00%,50,108.00%
헬스클럽,강원도,강릉시,37,37,100.00%,31,119.35%
헬스클럽,강원도,동해시,8,8,100.00%,7,114.29%
헬스클럽,강원도,태백시,7,7,100.00%,6,116.67%
헬스클럽,강원도,속초시,9,9,100.00%,8,112.50%
헬스클럽,강원도,삼척시,11,11,100.00%,11,100.00%
헬스클럽,강원도,홍천군,8,8,100.00%,6,133.33%
헬스클럽,강원도,횡성군,3,3,100.00%,*,150.00%
헬스클럽,강원도,영월군,*,*,100.00%,*,100.00%
헬스클럽,강원도,평창군,6,6,100.00%,6,100.00%
헬스클럽,강원도,정선군,*,*,100.00%,*,100.00%
헬스클럽,강원도,철원군,12,12,100.00%,11,109.09%
헬스클럽,강원도,화천군,*,*,100.00%,*,50.00%
헬스클럽,강원도,양구군,*,*,200.00%,*,200.00%
헬스클럽,강원도,인제군,*,*,100.00%,*,100.00%
헬스클럽,강원도,양양군,*,*,100.00%,*,100.00%
헬스클럽,대전광역시,합계,230,227,101.32%,210,109.52%
헬스클럽,대전광역시,동구,18,18,100.00%,18,100.00%
헬스클럽,대전광역시,중구,27,26,103.85%,28,96.43%
헬스클럽,대전광역시,서구,87,88,98.86%,78,111.54%
헬스클럽,대전광역시,유성구,71,68,104.41%,61,116.39%
헬스클럽,대전광역시,대덕구,27,27,100.00%,25,108.00%
헬스클럽,충청북도,합계,257,256,100.39%,236,108.90%
헬스클럽,충청북도,청주시 상당구,24,23,104.35%,19,126.32%
헬스클럽,충청북도,청주시 서원구,31,31,100.00%,31,100.00%
헬스클럽,충청북도,청주시 흥덕구,55,55,100.00%,49,112.24%
헬스클럽,충청북도,청주시 청원구,46,46,100.00%,40,115.00%
헬스클럽,충청북도,충주시,25,24,104.17%,25,100.00%
헬스클럽,충청북도,제천시,27,28,96.43%,28,96.43%
헬스클럽,충청북도,보은군,*,*,100.00%,*,50.00%
헬스클럽,충청북도,옥천군,5,5,100.00%,4,125.00%
헬스클럽,충청북도,영동군,4,4,100.00%,5,80.00%
헬스클럽,충청북도,증평군,7,7,100.00%,5,140.00%
헬스클럽,충청북도,진천군,11,11,100.00%,8,137.50%
헬스클럽,충청북도,괴산군,*,*,100.00%,0,/0
