,corp,city,2
0,업종전체,합계,"2,350,456"
1,업종전체,서울특별시,"468,708"
2,업종전체,인천광역시,"119,193"
3,업종전체,경기도,"538,423"
4,업종전체,강원도,"84,145"
5,업종전체,대전광역시,"69,213"
6,업종전체,충청북도,"76,004"
7,업종전체,충청남도,"99,714"
8,업종전체,세종특별자치시,"12,030"
9,업종전체,광주광역시,"69,512"
10,업종전체,전라북도,"83,766"
11,업종전체,전라남도,"84,264"
12,업종전체,대구광역시,"113,030"
13,업종전체,경상북도,"127,628"
14,업종전체,부산광역시,"155,470"
15,업종전체,울산광역시,"50,861"
16,업종전체,경상남도,"155,386"
17,업종전체,제주특별자치도,"43,109"
18,가구점,합계,"7,478"
19,가구점,서울특별시,"1,022"
20,가구점,인천광역시,288
21,가구점,경기도,"1,903"
22,가구점,강원도,304
23,가구점,대전광역시,210
24,가구점,충청북도,288
25,가구점,충청남도,299
26,가구점,세종특별자치시,23
27,가구점,광주광역시,213
28,가구점,전라북도,384
29,가구점,전라남도,269
30,가구점,대구광역시,373
31,가구점,경상북도,468
32,가구점,부산광역시,511
33,가구점,울산광역시,181
34,가구점,경상남도,554
35,가구점,제주특별자치도,188
36,가전제품수리점,합계,"15,023"
37,가전제품수리점,서울특별시,"2,397"
38,가전제품수리점,인천광역시,"1,080"
39,가전제품수리점,경기도,"4,292"
40,가전제품수리점,강원도,532
41,가전제품수리점,대전광역시,509
42,가전제품수리점,충청북도,461
43,가전제품수리점,충청남도,645
44,가전제품수리점,세종특별자치시,65
45,가전제품수리점,광주광역시,450
46,가전제품수리점,전라북도,504
47,가전제품수리점,전라남도,488
48,가전제품수리점,대구광역시,723
49,가전제품수리점,경상북도,539
50,가전제품수리점,부산광역시,945
51,가전제품수리점,울산광역시,303
52,가전제품수리점,경상남도,896
53,가전제품수리점,제주특별자치도,194
54,가전제품판매점,합계,"10,066"
55,가전제품판매점,서울특별시,"1,549"
56,가전제품판매점,인천광역시,361
57,가전제품판매점,경기도,"1,895"
58,가전제품판매점,강원도,463
59,가전제품판매점,대전광역시,306
60,가전제품판매점,충청북도,435
61,가전제품판매점,충청남도,516
62,가전제품판매점,세종특별자치시,39
63,가전제품판매점,광주광역시,356
64,가전제품판매점,전라북도,530
65,가전제품판매점,전라남도,580
66,가전제품판매점,대구광역시,528
67,가전제품판매점,경상북도,700
68,가전제품판매점,부산광역시,620
69,가전제품판매점,울산광역시,205
70,가전제품판매점,경상남도,740
71,가전제품판매점,제주특별자치도,243
72,간이주점,합계,"15,175"
73,간이주점,서울특별시,"4,943"
74,간이주점,인천광역시,"1,583"
75,간이주점,경기도,"2,963"
76,간이주점,강원도,432
77,간이주점,대전광역시,69
78,간이주점,충청북도,463
79,간이주점,충청남도,704
80,간이주점,세종특별자치시,19
81,간이주점,광주광역시,191
82,간이주점,전라북도,328
83,간이주점,전라남도,259
84,간이주점,대구광역시,294
85,간이주점,경상북도,410
86,간이주점,부산광역시,"1,000"
87,간이주점,울산광역시,111
88,간이주점,경상남도,"1,231"
89,간이주점,제주특별자치도,175
90,간판광고물업,합계,"12,957"
91,간판광고물업,서울특별시,"2,690"
92,간판광고물업,인천광역시,536
93,간판광고물업,경기도,"3,143"
94,간판광고물업,강원도,511
95,간판광고물업,대전광역시,397
96,간판광고물업,충청북도,376
97,간판광고물업,충청남도,456
98,간판광고물업,세종특별자치시,27
99,간판광고물업,광주광역시,438
100,간판광고물업,전라북도,500
101,간판광고물업,전라남도,473
102,간판광고물업,대구광역시,777
103,간판광고물업,경상북도,651
104,간판광고물업,부산광역시,840
105,간판광고물업,울산광역시,256
106,간판광고물업,경상남도,695
107,간판광고물업,제주특별자치도,191
108,감정평가사,합계,"1,134"
109,감정평가사,서울특별시,244
110,감정평가사,인천광역시,77
111,감정평가사,경기도,362
112,감정평가사,강원도,29
113,감정평가사,대전광역시,29
114,감정평가사,충청북도,28
115,감정평가사,충청남도,36
116,감정평가사,세종특별자치시,12
117,감정평가사,광주광역시,32
118,감정평가사,전라북도,41
119,감정평가사,전라남도,18
120,감정평가사,대구광역시,56
121,감정평가사,경상북도,19
122,감정평가사,부산광역시,57
123,감정평가사,울산광역시,21
124,감정평가사,경상남도,58
125,감정평가사,제주특별자치도,15
126,건강보조식품가게,합계,"13,222"
127,건강보조식품가게,서울특별시,2119
128,건강보조식품가게,인천광역시,640
129,건강보조식품가게,경기도,2587
130,건강보조식품가게,강원도,503
131,건강보조식품가게,대전광역시,454
132,건강보조식품가게,충청북도,442
133,건강보조식품가게,충청남도,1219
134,건강보조식품가게,세종특별자치시,43
135,건강보조식품가게,광주광역시,394
136,건강보조식품가게,전라북도,702
137,건강보조식품가게,전라남도,488
138,건강보조식품가게,대구광역시,586
139,건강보조식품가게,경상북도,879
140,건강보조식품가게,부산광역시,808
141,건강보조식품가게,울산광역시,216
142,건강보조식품가게,경상남도,980
143,건강보조식품가게,제주특별자치도,162
144,건어물가게,합계,"7,185"
145,건어물가게,서울특별시,751
146,건어물가게,인천광역시,378
147,건어물가게,경기도,810
148,건어물가게,강원도,666
149,건어물가게,대전광역시,114
150,건어물가게,충청북도,116
151,건어물가게,충청남도,640
152,건어물가게,세종특별자치시,12
153,건어물가게,광주광역시,172
154,건어물가게,전라북도,359
155,건어물가게,전라남도,911
156,건어물가게,대구광역시,161
157,건어물가게,경상북도,659
158,건어물가게,부산광역시,486
159,건어물가게,울산광역시,125
160,건어물가게,경상남도,713
161,건어물가게,제주특별자치도,112
162,건축사,합계,"9,735"
163,건축사,서울특별시,2494
164,건축사,인천광역시,347
165,건축사,경기도,2020
166,건축사,강원도,319
167,건축사,대전광역시,213
168,건축사,충청북도,279
169,건축사,충청남도,339
170,건축사,세종특별자치시,55
171,건축사,광주광역시,230
172,건축사,전라북도,346
173,건축사,전라남도,266
174,건축사,대구광역시,673
175,건축사,경상북도,469
176,건축사,부산광역시,678
177,건축사,울산광역시,212
178,건축사,경상남도,507
179,건축사,제주특별자치도,288
180,결혼상담소,합계,"1,576"
181,결혼상담소,서울특별시,432
182,결혼상담소,인천광역시,66
183,결혼상담소,경기도,228
184,결혼상담소,강원도,26
185,결혼상담소,대전광역시,65
186,결혼상담소,충청북도,54
187,결혼상담소,충청남도,73
188,결혼상담소,세종특별자치시,6
189,결혼상담소,광주광역시,72
190,결혼상담소,전라북도,76
191,결혼상담소,전라남도,50
192,결혼상담소,대구광역시,110
193,결혼상담소,경상북도,60
194,결혼상담소,부산광역시,120
195,결혼상담소,울산광역시,18
196,결혼상담소,경상남도,95
197,결혼상담소,제주특별자치도,25
198,곡물가게,합계,"5,006"
199,곡물가게,서울특별시,659
200,곡물가게,인천광역시,192
201,곡물가게,경기도,875
202,곡물가게,강원도,326
203,곡물가게,대전광역시,149
204,곡물가게,충청북도,249
205,곡물가게,충청남도,376
206,곡물가게,세종특별자치시,27
207,곡물가게,광주광역시,110
208,곡물가게,전라북도,359
209,곡물가게,전라남도,387
210,곡물가게,대구광역시,192
211,곡물가게,경상북도,367
212,곡물가게,부산광역시,344
213,곡물가게,울산광역시,40
214,곡물가게,경상남도,284
215,곡물가게,제주특별자치도,70
216,공인노무사,합계,871
217,공인노무사,서울특별시,386
218,공인노무사,인천광역시,38
219,공인노무사,경기도,145
220,공인노무사,강원도,16
221,공인노무사,대전광역시,18
222,공인노무사,충청북도,18
223,공인노무사,충청남도,19
224,공인노무사,세종특별자치시,5
225,공인노무사,광주광역시,24
226,공인노무사,전라북도,21
227,공인노무사,전라남도,10
228,공인노무사,대구광역시,30
229,공인노무사,경상북도,15
230,공인노무사,부산광역시,55
231,공인노무사,울산광역시,23
232,공인노무사,경상남도,40
233,공인노무사,제주특별자치도,8
234,공인회계사,합계,"1,832"
235,공인회계사,서울특별시,849
236,공인회계사,인천광역시,66
237,공인회계사,경기도,309
238,공인회계사,강원도,13
239,공인회계사,대전광역시,35
240,공인회계사,충청북도,32
241,공인회계사,충청남도,45
242,공인회계사,세종특별자치시,9
243,공인회계사,광주광역시,36
