사업자 현황 ( 6월/100대 생활업종),,,,,,,
*조회년월,,2020년 6월,,,,,
,,,,,,,
,,,"(단위 : 인원수, %)",,,,
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
업종전체,합계,합계,"2,467,976","2,448,536",100.79%,"2,350,456",105.00%
업종전체,서울특별시,합계,"492,161","487,912",100.87%,"468,708",105.00%
업종전체,서울특별시,종로구,"16,981","16,906",100.44%,"16,731",101.49%
업종전체,서울특별시,중구,"18,806","18,752",100.29%,"18,501",101.65%
업종전체,서울특별시,용산구,"14,016","13,898",100.85%,"13,382",104.74%
업종전체,서울특별시,성동구,"15,437","15,300",100.90%,"14,304",107.92%
업종전체,서울특별시,광진구,"17,591","17,418",100.99%,"16,676",105.49%
업종전체,서울특별시,동대문구,"17,013","16,853",100.95%,"16,665",102.09%
업종전체,서울특별시,중랑구,"15,705","15,524",101.17%,"15,117",103.89%
업종전체,서울특별시,성북구,"16,776","16,603",101.04%,"16,085",104.30%
업종전체,서울특별시,강북구,"13,545","13,418",100.95%,"12,988",104.29%
업종전체,서울특별시,도봉구,"11,799","11,683",100.99%,"11,304",104.38%
업종전체,서울특별시,노원구,"17,706","17,570",100.77%,"16,922",104.63%
업종전체,서울특별시,은평구,"18,017","17,879",100.77%,"17,072",105.54%
업종전체,서울특별시,서대문구,"13,783","13,707",100.55%,"13,173",104.63%
업종전체,서울특별시,마포구,"25,853","25,659",100.76%,"24,486",105.58%
업종전체,서울특별시,양천구,"17,324","17,129",101.14%,"16,531",104.80%
업종전체,서울특별시,강서구,"25,175","24,841",101.34%,"23,126",108.86%
업종전체,서울특별시,구로구,"17,479","17,316",100.94%,"16,645",105.01%
업종전체,서울특별시,금천구,"12,735","12,616",100.94%,"11,832",107.63%
업종전체,서울특별시,영등포구,"22,713","22,427",101.28%,"21,305",106.61%
업종전체,서울특별시,동작구,"15,306","15,205",100.66%,"14,718",104.00%
업종전체,서울특별시,관악구,"20,002","19,815",100.94%,"18,837",106.18%
업종전체,서울특별시,서초구,"31,058","30,856",100.65%,"29,900",103.87%
업종전체,서울특별시,강남구,"46,641","46,319",100.70%,"44,663",104.43%
업종전체,서울특별시,송파구,"31,641","31,354",100.92%,"29,794",106.20%
업종전체,서울특별시,강동구,"19,059","18,864",101.03%,"17,951",106.17%
업종전체,인천광역시,합계,"125,964","124,990",100.78%,"119,193",105.68%
업종전체,인천광역시,중구,"7,970","7,894",100.96%,"7,356",108.35%
