,corp,city,2
0,업종전체,서울특별시,"484,468 "
1,업종전체,인천광역시,"124,167 "
2,업종전체,경기도,"568,995 "
3,업종전체,강원도,"86,288 "
4,업종전체,대전광역시,"71,282 "
5,업종전체,충청북도,"77,770 "
6,업종전체,충청남도,"102,336 "
7,업종전체,세종특별자치시,"13,236 "
8,업종전체,광주광역시,"71,610 "
9,업종전체,전라북도,"85,678 "
10,업종전체,전라남도,"86,112 "
11,업종전체,대구광역시,"116,345 "
12,업종전체,경상북도,"130,110 "
13,업종전체,부산광역시,"159,961 "
14,업종전체,울산광역시,"51,957 "
15,업종전체,경상남도,"158,304 "
16,업종전체,제주특별자치도,"45,076 "
17,LPG 충전소,합계,"1,601 "
18,LPG 충전소,서울특별시,78 
19,LPG 충전소,인천광역시,67 
20,LPG 충전소,경기도,369 
21,LPG 충전소,강원도,95 
22,LPG 충전소,대전광역시,39 
23,LPG 충전소,충청북도,74 
24,LPG 충전소,충청남도,127 
25,LPG 충전소,세종특별자치시,4 
26,LPG 충전소,광주광역시,38 
27,LPG 충전소,전라북도,107 
28,LPG 충전소,전라남도,119 
29,LPG 충전소,대구광역시,44 
30,LPG 충전소,경상북도,164 
31,LPG 충전소,부산광역시,57 
32,LPG 충전소,울산광역시,29 
33,LPG 충전소,경상남도,155 
34,LPG 충전소,제주특별자치도,35 
35,PC방,합계,"9,976 "
36,PC방,서울특별시,"1,597 "
37,PC방,인천광역시,533 
38,PC방,경기도,"2,312 "
39,PC방,강원도,427 
40,PC방,대전광역시,313 
41,PC방,충청북도,333 
42,PC방,충청남도,435 
43,PC방,세종특별자치시,43 
44,PC방,광주광역시,396 
45,PC방,전라북도,418 
46,PC방,전라남도,356 
47,PC방,대구광역시,561 
48,PC방,경상북도,557 
49,PC방,부산광역시,635 
50,PC방,울산광역시,250 
51,PC방,경상남도,638 
52,PC방,제주특별자치도,172 
53,가구점,합계,"7,505 "
54,가구점,서울특별시,"1,021 "
55,가구점,인천광역시,296 
56,가구점,경기도,"1,978 "
57,가구점,강원도,305 
58,가구점,대전광역시,213 
59,가구점,충청북도,270 
60,가구점,충청남도,297 
61,가구점,세종특별자치시,25 
62,가구점,광주광역시,214 
63,가구점,전라북도,396 
64,가구점,전라남도,271 
65,가구점,대구광역시,363 
66,가구점,경상북도,475 
67,가구점,부산광역시,490 
68,가구점,울산광역시,167 
69,가구점,경상남도,538 
70,가구점,제주특별자치도,186 
71,가전제품수리점,합계,"16,391 "
72,가전제품수리점,서울특별시,"2,716 "
73,가전제품수리점,인천광역시,"1,156 "
74,가전제품수리점,경기도,"4,828 "
75,가전제품수리점,강원도,577 
76,가전제품수리점,대전광역시,548 
77,가전제품수리점,충청북도,479 
78,가전제품수리점,충청남도,684 
79,가전제품수리점,세종특별자치시,72 
80,가전제품수리점,광주광역시,476 
81,가전제품수리점,전라북도,560 
82,가전제품수리점,전라남도,502 
83,가전제품수리점,대구광역시,783 
84,가전제품수리점,경상북도,586 
85,가전제품수리점,부산광역시,980 
86,가전제품수리점,울산광역시,299 
87,가전제품수리점,경상남도,938 
88,가전제품수리점,제주특별자치도,207 
89,가전제품판매점,합계,"10,050 "
90,가전제품판매점,서울특별시,"1,529 "
91,가전제품판매점,인천광역시,382 
92,가전제품판매점,경기도,"1,960 "
93,가전제품판매점,강원도,455 
94,가전제품판매점,대전광역시,300 
95,가전제품판매점,충청북도,428 
96,가전제품판매점,충청남도,523 
97,가전제품판매점,세종특별자치시,43 
98,가전제품판매점,광주광역시,340 
99,가전제품판매점,전라북도,531 
100,가전제품판매점,전라남도,571 
101,가전제품판매점,대구광역시,508 
102,가전제품판매점,경상북도,689 
103,가전제품판매점,부산광역시,604 
104,가전제품판매점,울산광역시,202 
105,가전제품판매점,경상남도,739 
106,가전제품판매점,제주특별자치도,246 
107,간이주점,합계,"13,686 "
108,간이주점,서울특별시,"4,371 "
109,간이주점,인천광역시,"1,402 "
110,간이주점,경기도,"2,725 "
111,간이주점,강원도,414 
112,간이주점,대전광역시,77 
113,간이주점,충청북도,444 
114,간이주점,충청남도,612 
115,간이주점,세종특별자치시,14 
116,간이주점,광주광역시,190 
117,간이주점,전라북도,312 
118,간이주점,전라남도,250 
119,간이주점,대구광역시,257 
120,간이주점,경상북도,374 
121,간이주점,부산광역시,877 
122,간이주점,울산광역시,105 
123,간이주점,경상남도,"1,090 "
124,간이주점,제주특별자치도,172 
125,간판광고물업,합계,"13,010 "
126,간판광고물업,서울특별시,"2,634 "
127,간판광고물업,인천광역시,558 
128,간판광고물업,경기도,"3,189 "
129,간판광고물업,강원도,515 
130,간판광고물업,대전광역시,396 
131,간판광고물업,충청북도,375 
132,간판광고물업,충청남도,470 
133,간판광고물업,세종특별자치시,30 
134,간판광고물업,광주광역시,438 
135,간판광고물업,전라북도,503 
136,간판광고물업,전라남도,478 
137,간판광고물업,대구광역시,767 
138,간판광고물업,경상북도,666 
139,간판광고물업,부산광역시,838 
140,간판광고물업,울산광역시,262 
141,간판광고물업,경상남도,697 
142,간판광고물업,제주특별자치도,194 
143,감정평가사,합계,"1,177 "
144,감정평가사,서울특별시,258 
145,감정평가사,인천광역시,76 
146,감정평가사,경기도,382 
147,감정평가사,강원도,33 
148,감정평가사,대전광역시,30 
149,감정평가사,충청북도,28 
150,감정평가사,충청남도,35 
151,감정평가사,세종특별자치시,12 
152,감정평가사,광주광역시,37 
153,감정평가사,전라북도,38 
154,감정평가사,전라남도,19 
155,감정평가사,대구광역시,56 
156,감정평가사,경상북도,20 
157,감정평가사,부산광역시,57 
158,감정평가사,울산광역시,18 
159,감정평가사,경상남도,63 
160,감정평가사,제주특별자치도,15 
161,건강보조식품가게,합계,"13,616 "
162,건강보조식품가게,서울특별시,"2,197 "
163,건강보조식품가게,인천광역시,653 
164,건강보조식품가게,경기도,"2,732 "
165,건강보조식품가게,강원도,504 
166,건강보조식품가게,대전광역시,463 
167,건강보조식품가게,충청북도,428 
168,건강보조식품가게,충청남도,"1,260 "
169,건강보조식품가게,세종특별자치시,52 
170,건강보조식품가게,광주광역시,404 
171,건강보조식품가게,전라북도,714 
172,건강보조식품가게,전라남도,487 
173,건강보조식품가게,대구광역시,583 
174,건강보조식품가게,경상북도,917 
175,건강보조식품가게,부산광역시,829 
176,건강보조식품가게,울산광역시,218 
177,건강보조식품가게,경상남도,"1,000 "
178,건강보조식품가게,제주특별자치도,175 
179,건어물가게,합계,"7,177 "
180,건어물가게,서울특별시,743 
181,건어물가게,인천광역시,374 
182,건어물가게,경기도,822 
183,건어물가게,강원도,656 
184,건어물가게,대전광역시,125 
185,건어물가게,충청북도,109 
186,건어물가게,충청남도,634 
187,건어물가게,세종특별자치시,13 
188,건어물가게,광주광역시,179 
189,건어물가게,전라북도,359 
190,건어물가게,전라남도,919 
191,건어물가게,대구광역시,153 
192,건어물가게,경상북도,650 
193,건어물가게,부산광역시,495 
194,건어물가게,울산광역시,128 
195,건어물가게,경상남도,708 
196,건어물가게,제주특별자치도,110 
197,건축사,합계,"10,163 "
198,건축사,서울특별시,"2,636 "
199,건축사,인천광역시,348 
200,건축사,경기도,"2,148 "
201,건축사,강원도,336 
202,건축사,대전광역시,217 
203,건축사,충청북도,297 
204,건축사,충청남도,354 
205,건축사,세종특별자치시,59 
206,건축사,광주광역시,241 
207,건축사,전라북도,364 
208,건축사,전라남도,278 
209,건축사,대구광역시,679 
210,건축사,경상북도,482 
211,건축사,부산광역시,684 
212,건축사,울산광역시,216 
213,건축사,경상남도,524 
214,건축사,제주특별자치도,300 
215,결혼상담소,합계,"1,632 "
216,결혼상담소,서울특별시,439 
217,결혼상담소,인천광역시,65 
218,결혼상담소,경기도,248 
219,결혼상담소,강원도,32 
220,결혼상담소,대전광역시,70 
221,결혼상담소,충청북도,52 
222,결혼상담소,충청남도,76 
223,결혼상담소,세종특별자치시,7 
224,결혼상담소,광주광역시,81 
225,결혼상담소,전라북도,80 
226,결혼상담소,전라남도,51 
227,결혼상담소,대구광역시,109 
228,결혼상담소,경상북도,57 
229,결혼상담소,부산광역시,112 
230,결혼상담소,울산광역시,30 
231,결혼상담소,경상남도,94 
232,결혼상담소,제주특별자치도,29 
233,곡물가게,합계,"4,989 "
234,곡물가게,서울특별시,644 
235,곡물가게,인천광역시,199 
236,곡물가게,경기도,877 
237,곡물가게,강원도,332 
238,곡물가게,대전광역시,150 
239,곡물가게,충청북도,242 
240,곡물가게,충청남도,388 
241,곡물가게,세종특별자치시,31 
242,곡물가게,광주광역시,111 
243,곡물가게,전라북도,370 
244,곡물가게,전라남도,392 
245,곡물가게,대구광역시,181 
246,곡물가게,경상북도,359 
247,곡물가게,부산광역시,332 
248,곡물가게,울산광역시,41 
249,곡물가게,경상남도,273 
250,곡물가게,제주특별자치도,67 
251,공인노무사,합계,930 
252,공인노무사,서울특별시,405 
