,corp,city,2
0,업종전체,서울특별시,"487,912 "
1,업종전체,부산광역시,"160,868 "
2,업종전체,대구광역시,"117,073 "
3,업종전체,인천광역시,"124,990 "
4,업종전체,광주광역시,"71,892 "
5,업종전체,대전광역시,"71,531 "
6,업종전체,울산광역시,"52,194 "
7,업종전체,세종특별자치시,"13,340 "
8,업종전체,경기도,"573,325 "
9,업종전체,강원도,"86,702 "
10,업종전체,충청북도,"78,056 "
11,업종전체,충청남도,"102,838 "
12,업종전체,전라북도,"86,014 "
13,업종전체,전라남도,"86,527 "
14,업종전체,경상북도,"130,822 "
15,업종전체,경상남도,"159,124 "
16,업종전체,제주특별자치도,"45,328 "
17,LPG 충전소,합계,"1,602 "
18,LPG 충전소,서울특별시,77 
19,LPG 충전소,부산광역시,56 
20,LPG 충전소,대구광역시,44 
21,LPG 충전소,인천광역시,68 
22,LPG 충전소,광주광역시,38 
23,LPG 충전소,대전광역시,39 
24,LPG 충전소,울산광역시,29 
25,LPG 충전소,세종특별자치시,4 
26,LPG 충전소,경기도,369 
27,LPG 충전소,강원도,95 
28,LPG 충전소,충청북도,73 
29,LPG 충전소,충청남도,127 
30,LPG 충전소,전라북도,109 
31,LPG 충전소,전라남도,119 
32,LPG 충전소,경상북도,164 
33,LPG 충전소,경상남도,156 
34,LPG 충전소,제주특별자치도,35 
35,PC방,합계,"9,931 "
36,PC방,서울특별시,"1,591 "
37,PC방,부산광역시,626 
38,PC방,대구광역시,561 
39,PC방,인천광역시,532 
40,PC방,광주광역시,392 
41,PC방,대전광역시,309 
42,PC방,울산광역시,250 
43,PC방,세종특별자치시,44 
44,PC방,경기도,"2,312 "
45,PC방,강원도,424 
46,PC방,충청북도,339 
47,PC방,충청남도,430 
48,PC방,전라북도,411 
49,PC방,전라남도,357 
50,PC방,경상북도,553 
51,PC방,경상남도,630 
52,PC방,제주특별자치도,170 
53,가구점,합계,"7,546 "
54,가구점,서울특별시,"1,027 "
55,가구점,부산광역시,497 
56,가구점,대구광역시,365 
57,가구점,인천광역시,298 
58,가구점,광주광역시,213 
59,가구점,대전광역시,215 
60,가구점,울산광역시,167 
61,가구점,세종특별자치시,25 
62,가구점,경기도,"1,996 "
63,가구점,강원도,305 
64,가구점,충청북도,271 
65,가구점,충청남도,297 
66,가구점,전라북도,393 
67,가구점,전라남도,274 
