사업자 현황 ( 5월/100대 생활업종),,,,,,,
*조회년월,,2020년 5월,,,,,
,,,,,,,
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
침구ㆍ커튼가게,경상남도,창원시 진해구,26 ,25 ,104.00%,24 ,108.33%
침구ㆍ커튼가게,경상남도,진주시,103 ,102 ,100.98%,107 ,96.26%
침구ㆍ커튼가게,경상남도,통영시,52 ,52 ,100.00%,49 ,106.12%
침구ㆍ커튼가게,경상남도,사천시,31 ,31 ,100.00%,33 ,93.94%
침구ㆍ커튼가게,경상남도,김해시,88 ,89 ,98.88%,89 ,98.88%
침구ㆍ커튼가게,경상남도,밀양시,28 ,26 ,107.69%,27 ,103.70%
침구ㆍ커튼가게,경상남도,거제시,41 ,39 ,105.13%,47 ,87.23%
침구ㆍ커튼가게,경상남도,양산시,59 ,57 ,103.51%,56 ,105.36%
침구ㆍ커튼가게,경상남도,의령군,7 ,7 ,100.00%,7 ,100.00%
침구ㆍ커튼가게,경상남도,함안군,11 ,10 ,110.00%,10 ,110.00%
침구ㆍ커튼가게,경상남도,창녕군,13 ,13 ,100.00%,16 ,81.25%
침구ㆍ커튼가게,경상남도,남해군,11 ,11 ,100.00%,11 ,100.00%
침구ㆍ커튼가게,경상남도,하동군,14 ,14 ,100.00%,12 ,116.67%
침구ㆍ커튼가게,경상남도,산청군,3 ,3 ,100.00%,*,
침구ㆍ커튼가게,경상남도,함양군,7 ,7 ,100.00%,5 ,140.00%
침구ㆍ커튼가게,경상남도,거창군,18 ,18 ,100.00%,17 ,105.88%
침구ㆍ커튼가게,경상남도,합천군,8 ,8 ,100.00%,9 ,88.89%
침구ㆍ커튼가게,제주특별자치도,합계,217 ,218 ,99.54%,221 ,98.19%
침구ㆍ커튼가게,제주특별자치도,제주시,163 ,164 ,99.39%,166 ,98.19%
침구ㆍ커튼가게,제주특별자치도,서귀포시,54 ,54 ,100.00%,55 ,98.18%
커피음료점,합계,합계,"65,340 ","64,442 ",101.39%,"56,174 ",116.32%
커피음료점,서울특별시,합계,"12,798 ","12,624 ",101.38%,"11,374 ",112.52%
커피음료점,서울특별시,종로구,632 ,631 ,100.16%,626 ,100.96%
커피음료점,서울특별시,중구,635 ,627 ,101.28%,571 ,111.21%
커피음료점,서울특별시,용산구,372 ,370 ,100.54%,302 ,123.18%
커피음료점,서울특별시,성동구,435 ,431 ,100.93%,363 ,119.83%
커피음료점,서울특별시,광진구,464 ,460 ,100.87%,390 ,118.97%
커피음료점,서울특별시,동대문구,394 ,388 ,101.55%,358 ,110.06%
커피음료점,서울특별시,중랑구,336 ,329 ,102.13%,281 ,119.57%
커피음료점,서울특별시,성북구,422 ,418 ,100.96%,358 ,117.88%
커피음료점,서울특별시,강북구,288 ,277 ,103.97%,241 ,119.50%
커피음료점,서울특별시,도봉구,248 ,243 ,102.06%,231 ,107.36%
커피음료점,서울특별시,노원구,460 ,452 ,101.77%,435 ,105.75%
커피음료점,서울특별시,은평구,416 ,404 ,102.97%,390 ,106.67%
커피음료점,서울특별시,서대문구,368 ,371 ,99.19%,328 ,112.20%
커피음료점,서울특별시,마포구,979 ,956 ,102.41%,863 ,113.44%
커피음료점,서울특별시,양천구,366 ,358 ,102.23%,318 ,115.09%
커피음료점,서울특별시,강서구,613 ,608 ,100.82%,514 ,119.26%
커피음료점,서울특별시,구로구,400 ,394 ,101.52%,369 ,108.40%
커피음료점,서울특별시,금천구,336 ,329 ,102.13%,296 ,113.51%
커피음료점,서울특별시,영등포구,598 ,585 ,102.22%,505 ,118.42%
커피음료점,서울특별시,동작구,407 ,407 ,100.00%,376 ,108.24%
커피음료점,서울특별시,관악구,475 ,464 ,102.37%,423 ,112.29%
커피음료점,서울특별시,서초구,733 ,732 ,100.14%,666 ,110.06%
커피음료점,서울특별시,강남구,"1,188 ","1,176 ",101.02%,"1,088 ",109.19%
커피음료점,서울특별시,송파구,794 ,780 ,101.79%,688 ,115.41%
커피음료점,서울특별시,강동구,439 ,434 ,101.15%,394 ,111.42%
커피음료점,부산광역시,합계,"3,818 ","3,763 ",101.46%,"3,114 ",122.61%
