사업자 현황 ( 9월/100대 생활업종),,,,,,,
*조회년월,,2019년 9월,,,,,
,,,,,,,
,,,,,,,"(단위 : 인원수, %)"
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
업종전체,합계,합계," 2,376,170 "," 2,369,932 ",100.26%," 2,274,838 ",104.45%
업종전체,서울특별시,합계," 473,615 "," 472,512 ",100.23%," 454,674 ",104.17%
업종전체,서울특별시,종로구," 16,776 "," 16,745 ",100.19%," 16,471 ",101.85%
업종전체,서울특별시,중구," 18,559 "," 18,541 ",100.10%," 18,081 ",102.64%
업종전체,서울특별시,용산구," 13,520 "," 13,485 ",100.26%," 13,136 ",102.92%
업종전체,서울특별시,성동구," 14,601 "," 14,495 ",100.73%," 13,627 ",107.15%
업종전체,서울특별시,광진구," 16,801 "," 16,762 ",100.23%," 16,056 ",104.64%
업종전체,서울특별시,동대문구," 16,678 "," 16,665 ",100.08%," 16,465 ",101.29%
업종전체,서울특별시,중랑구," 15,264 "," 15,209 ",100.36%," 14,647 ",104.21%
업종전체,서울특별시,성북구," 16,255 "," 16,198 ",100.35%," 15,646 ",103.89%
업종전체,서울특별시,강북구," 13,093 "," 13,050 ",100.33%," 12,699 ",103.10%
업종전체,서울특별시,도봉구," 11,397 "," 11,395 ",100.02%," 11,010 ",103.51%
업종전체,서울특별시,노원구," 17,107 "," 17,076 ",100.18%," 16,471 ",103.86%
업종전체,서울특별시,은평구," 17,254 "," 17,220 ",100.20%," 16,453 ",104.87%
업종전체,서울특별시,서대문구," 13,325 "," 13,315 ",100.08%," 12,770 ",104.35%
업종전체,서울특별시,마포구," 24,780 "," 24,733 ",100.19%," 23,664 ",104.72%
업종전체,서울특별시,양천구," 16,707 "," 16,684 ",100.14%," 16,173 ",103.30%
업종전체,서울특별시,강서구," 23,535 "," 23,375 ",100.68%," 21,778 ",108.07%
업종전체,서울특별시,구로구," 16,777 "," 16,754 ",100.14%," 16,248 ",103.26%
업종전체,서울특별시,금천구," 12,042 "," 11,958 ",100.70%," 11,096 ",108.53%
업종전체,서울특별시,영등포구," 21,535 "," 21,533 ",100.01%," 20,854 ",103.27%
업종전체,서울특별시,동작구," 14,810 "," 14,813 ",99.98%," 14,416 ",102.73%
업종전체,서울특별시,관악구," 19,098 "," 19,029 ",100.36%," 18,271 ",104.53%
업종전체,서울특별시,서초구," 30,237 "," 30,181 ",100.19%," 29,115 ",103.85%
