사업자 현황 ( 10월/100대 생활업종),,,,,,,
*조회년월,,2020년 10월,,,,,
,,,,,,,
,,,"(단위 : 인원수, %)",,,,
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
업종전체,합계,합계,"2,530,626","2,515,815",100.59%,"2,389,698",105.90%
업종전체,서울특별시,합계,"504,873","501,875",100.60%,"476,341",105.99%
업종전체,서울특별시,종로구,"17,127","17,095",100.19%,"16,843",101.69%
업종전체,서울특별시,중구,"18,775","18,804",99.85%,"18,624",100.81%
업종전체,서울특별시,용산구,"14,416","14,315",100.71%,"13,600",106.00%
업종전체,서울특별시,성동구,"15,927","15,803",100.78%,"14,675",108.53%
업종전체,서울특별시,광진구,"18,038","17,893",100.81%,"16,907",106.69%
업종전체,서울특별시,동대문구,"17,433","17,323",100.63%,"16,705",104.36%
업종전체,서울특별시,중랑구,"16,192","16,116",100.47%,"15,321",105.69%
업종전체,서울특별시,성북구,"17,267","17,156",100.65%,"16,362",105.53%
업종전체,서울특별시,강북구,"13,832","13,768",100.46%,"13,161",105.10%
업종전체,서울특별시,도봉구,"12,030","11,979",100.43%,"11,496",104.65%
업종전체,서울특별시,노원구,"18,283","18,160",100.68%,"17,214",106.21%
업종전체,서울특별시,은평구,"18,645","18,563",100.44%,"17,345",107.49%
업종전체,서울특별시,서대문구,"14,060","14,015",100.32%,"13,387",105.03%
업종전체,서울특별시,마포구,"26,471","26,313",100.60%,"24,950",106.10%
업종전체,서울특별시,양천구,"17,745","17,635",100.62%,"16,772",105.80%
업종전체,서울특별시,강서구,"26,140","25,866",101.06%,"23,783",109.91%
업종전체,서울특별시,구로구,"18,032","17,878",100.86%,"16,871",106.88%
업종전체,서울특별시,금천구,"13,219","13,109",100.84%,"12,165",108.66%
업종전체,서울특별시,영등포구,"23,173","23,021",100.66%,"21,635",107.11%
업종전체,서울특별시,동작구,"15,660","15,561",100.64%,"14,885",105.21%
업종전체,서울특별시,관악구,"20,561","20,441",100.59%,"19,184",107.18%
업종전체,서울특별시,서초구,"31,721","31,597",100.39%,"30,378",104.42%
업종전체,서울특별시,강남구,"47,828","47,542",100.60%,"45,304",105.57%
업종전체,서울특별시,송파구,"32,642","32,430",100.65%,"30,486",107.07%
업종전체,서울특별시,강동구,"19,656","19,492",100.84%,"18,288",107.48%
업종전체,인천광역시,합계,"130,124","129,209",100.71%,"121,552",107.05%
업종전체,인천광역시,중구,"8,321","8,266",100.67%,"7,584",109.72%
