사업자 현황 ( 3월/100대 생활업종),,,,,,,
*조회년월,,2020년 3월,,,,,
,,,,,,,
,,,,,,,"(단위 : 인원수, %)"
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
중식전문점,경상남도,고성군,30 ,30 ,100.00%,30 ,100.00%
중식전문점,경상남도,김해시,225 ,227 ,99.12%,218 ,103.21%
중식전문점,경상남도,남해군,28 ,28 ,100.00%,30 ,93.33%
중식전문점,경상남도,밀양시,73 ,72 ,101.39%,68 ,107.35%
중식전문점,경상남도,사천시,71 ,68 ,104.41%,72 ,98.61%
중식전문점,경상남도,산청군,20 ,19 ,105.26%,19 ,105.26%
중식전문점,경상남도,양산시,156 ,156 ,100.00%,152 ,102.63%
중식전문점,경상남도,의령군,16 ,16 ,100.00%,16 ,100.00%
중식전문점,경상남도,진주시,186 ,187 ,99.47%,178 ,104.49%
중식전문점,경상남도,창녕군,54 ,54 ,100.00%,51 ,105.88%
중식전문점,경상남도,창원시 마산합포구,100 ,102 ,98.04%,105 ,95.24%
중식전문점,경상남도,창원시 마산회원구,78 ,78 ,100.00%,82 ,95.12%
중식전문점,경상남도,창원시 성산구,75 ,75 ,100.00%,73 ,102.74%
중식전문점,경상남도,창원시 의창구,122 ,121 ,100.83%,116 ,105.17%
중식전문점,경상남도,창원시 진해구,83 ,84 ,98.81%,87 ,95.40%
중식전문점,경상남도,통영시,69 ,69 ,100.00%,70 ,98.57%
중식전문점,경상남도,하동군,28 ,28 ,100.00%,28 ,100.00%
중식전문점,경상남도,함안군,42 ,42 ,100.00%,44 ,95.45%
중식전문점,경상남도,함양군,23 ,23 ,100.00%,26 ,88.46%
중식전문점,경상남도,합천군,30 ,31 ,96.77%,28 ,107.14%
중식전문점,제주특별자치도,합계,415 ,413 ,100.48%,370 ,112.16%
중식전문점,제주특별자치도,서귀포시,126 ,125 ,100.80%,117 ,107.69%
중식전문점,제주특별자치도,제주시,289 ,288 ,100.35%,253 ,114.23%
채소가게,합계,합계,"11,289 ","11,244 ",100.40%,"10,922 ",103.36%
채소가게,서울특별시,합계,"1,510 ","1,507 ",100.20%,"1,510 ",100.00%
채소가게,서울특별시,종로구,24 ,22 ,109.09%,23 ,104.35%
채소가게,서울특별시,중구,32 ,31 ,103.23%,37 ,86.49%
채소가게,서울특별시,용산구,32 ,32 ,100.00%,36 ,88.89%
채소가게,서울특별시,성동구,32 ,33 ,96.97%,34 ,94.12%
채소가게,서울특별시,광진구,41 ,36 ,113.89%,35 ,117.14%
채소가게,서울특별시,동대문구,168 ,164 ,102.44%,169 ,99.41%
채소가게,서울특별시,중랑구,72 ,74 ,97.30%,70 ,102.86%
채소가게,서울특별시,성북구,53 ,53 ,100.00%,52 ,101.92%
채소가게,서울특별시,강북구,70 ,70 ,100.00%,66 ,106.06%
채소가게,서울특별시,도봉구,43 ,40 ,107.50%,48 ,89.58%
채소가게,서울특별시,노원구,49 ,52 ,94.23%,47 ,104.26%
채소가게,서울특별시,은평구,67 ,67 ,100.00%,70 ,95.71%
채소가게,서울특별시,서대문구,57 ,56 ,101.79%,55 ,103.64%
채소가게,서울특별시,마포구,46 ,46 ,100.00%,48 ,95.83%
채소가게,서울특별시,양천구,65 ,66 ,98.48%,56 ,116.07%
채소가게,서울특별시,강서구,75 ,75 ,100.00%,70 ,107.14%
채소가게,서울특별시,구로구,74 ,77 ,96.10%,70 ,105.71%
채소가게,서울특별시,금천구,46 ,46 ,100.00%,39 ,117.95%
채소가게,서울특별시,영등포구,76 ,77 ,98.70%,84 ,90.48%
채소가게,서울특별시,동작구,48 ,48 ,100.00%,50 ,96.00%
채소가게,서울특별시,관악구,75 ,73 ,102.74%,75 ,100.00%
채소가게,서울특별시,서초구,32 ,30 ,106.67%,25 ,128.00%
채소가게,서울특별시,강남구,58 ,59 ,98.31%,63 ,92.06%
채소가게,서울특별시,송파구,105 ,109 ,96.33%,118 ,88.98%
채소가게,서울특별시,강동구,70 ,71 ,98.59%,70 ,100.00%
채소가게,인천광역시,합계,536 ,528 ,101.52%,512 ,104.69%
채소가게,인천광역시,중구,15 ,15 ,100.00%,17 ,88.24%
채소가게,인천광역시,서구,86 ,87 ,98.85%,75 ,114.67%
채소가게,인천광역시,동구,21 ,21 ,100.00%,24 ,87.50%
채소가게,인천광역시,미추홀구,78 ,77 ,101.30%,69 ,113.04%
채소가게,인천광역시,연수구,17 ,17 ,100.00%,17 ,100.00%
채소가게,인천광역시,남동구,72 ,69 ,104.35%,64 ,112.50%
채소가게,인천광역시,부평구,100 ,101 ,99.01%,105 ,95.24%
채소가게,인천광역시,계양구,59 ,56 ,105.36%,55 ,107.27%
채소가게,인천광역시,강화군,83 ,80 ,103.75%,81 ,102.47%
채소가게,인천광역시,옹진군,5 ,5 ,100.00%,5 ,100.00%
채소가게,경기도,합계,"1,990 ","1,974 ",100.81%,"1,895 ",105.01%
채소가게,경기도,가평군,23 ,22 ,104.55%,23 ,100.00%
채소가게,경기도,고양시 덕양구,59 ,58 ,101.72%,52 ,113.46%
채소가게,경기도,고양시 일산동구,28 ,28 ,100.00%,29 ,96.55%
채소가게,경기도,고양시 일산서구,32 ,32 ,100.00%,29 ,110.34%
채소가게,경기도,과천시,10 ,10 ,100.00%,11 ,90.91%
채소가게,경기도,광명시,56 ,59 ,94.92%,59 ,94.92%
채소가게,경기도,광주시,56 ,55 ,101.82%,49 ,114.29%
채소가게,경기도,구리시,35 ,35 ,100.00%,31 ,112.90%
채소가게,경기도,군포시,39 ,38 ,102.63%,43 ,90.70%
채소가게,경기도,김포시,52 ,50 ,104.00%,47 ,110.64%
