사업자 현황 ( 12월/100대 생활업종),,,,,,,
*조회년월,,2020년 12월,,,,,
,,,,,,,
,,,"(단위 : 인원수, %)",,,,
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
식료품가게,경상남도,함양군,90,89,101.12%,92,97.83%
식료품가게,경상남도,거창군,90,91,98.90%,90,100.00%
식료품가게,경상남도,합천군,64,63,101.59%,59,108.47%
식료품가게,제주특별자치도,합계,819,817,100.24%,824,99.39%
식료품가게,제주특별자치도,제주시,502,503,99.80%,511,98.24%
식료품가게,제주특별자치도,서귀포시,317,314,100.96%,313,101.28%
신경정신과 의원,합계,합계,"1,845","1,838",100.38%,"1,748",105.55%
신경정신과 의원,서울특별시,합계,546,541,100.92%,495,110.30%
신경정신과 의원,서울특별시,종로구,17,17,100.00%,17,100.00%
신경정신과 의원,서울특별시,중구,13,13,100.00%,12,108.33%
신경정신과 의원,서울특별시,용산구,5,5,100.00%,3,166.67%
신경정신과 의원,서울특별시,성동구,14,13,107.69%,10,140.00%
신경정신과 의원,서울특별시,광진구,19,19,100.00%,17,111.76%
신경정신과 의원,서울특별시,동대문구,16,16,100.00%,15,106.67%
신경정신과 의원,서울특별시,중랑구,13,13,100.00%,12,108.33%
신경정신과 의원,서울특별시,성북구,13,12,108.33%,11,118.18%
신경정신과 의원,서울특별시,강북구,10,10,100.00%,11,90.91%
신경정신과 의원,서울특별시,도봉구,7,7,100.00%,8,87.50%
신경정신과 의원,서울특별시,노원구,21,21,100.00%,21,100.00%
신경정신과 의원,서울특별시,은평구,14,14,100.00%,14,100.00%
신경정신과 의원,서울특별시,서대문구,11,11,100.00%,9,122.22%
신경정신과 의원,서울특별시,마포구,30,31,96.77%,26,115.38%
신경정신과 의원,서울특별시,양천구,12,12,100.00%,13,92.31%
신경정신과 의원,서울특별시,강서구,26,25,104.00%,22,118.18%
신경정신과 의원,서울특별시,구로구,9,9,100.00%,8,112.50%
신경정신과 의원,서울특별시,금천구,9,9,100.00%,9,100.00%
신경정신과 의원,서울특별시,영등포구,18,18,100.00%,14,128.57%
신경정신과 의원,서울특별시,동작구,15,14,107.14%,12,125.00%
