사업자 현황 ( 1월/100대 생활업종),,,,,,,,
*조회년월,,2020년 1월,,,,,,
,,,,,,,,
,,,,,,,"(단위 : 인원수, %)",
구분,,, 사업자 수,,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③),
기타외국식전문점,경상남도,함안군, 11 , 11 ,100.00%, 7 ,157.14%,
기타외국식전문점,경상남도,창녕군, 17 , 17 ,100.00%, 17 ,100.00%,
기타외국식전문점,경상남도,남해군, 23 , 23 ,100.00%, 19 ,121.05%,
기타외국식전문점,경상남도,하동군, 12 , 12 ,100.00%, 11 ,109.09%,
기타외국식전문점,경상남도,산청군, 6 , 7 ,85.71%, 10 ,60.00%,
기타외국식전문점,경상남도,함양군, 14 , 13 ,107.69%, 13 ,107.69%,
기타외국식전문점,경상남도,거창군, 24 , 25 ,96.00%, 27 ,88.89%,
기타외국식전문점,경상남도,합천군, 6 , 5 ,120.00%, 4 ,150.00%,
기타외국식전문점,제주특별자치도,합계, 816 , 816 ,100.00%, 735 ,111.02%,
기타외국식전문점,제주특별자치도,제주시, 570 , 565 ,100.88%, 524 ,108.78%,
기타외국식전문점,제주특별자치도,서귀포시, 246 , 251 ,98.01%, 211 ,116.59%,
기타음식점,합계,합계," 23,385 "," 23,474 ",99.62%," 24,291 ",96.27%,
기타음식점,서울특별시,합계," 4,474 "," 4,494 ",99.55%," 4,826 ",92.71%,
기타음식점,서울특별시,종로구, 190 , 190 ,100.00%, 205 ,92.68%,
기타음식점,서울특별시,중구, 178 , 181 ,98.34%, 184 ,96.74%,
기타음식점,서울특별시,용산구, 92 , 93 ,98.92%, 89 ,103.37%,
기타음식점,서울특별시,성동구, 133 , 135 ,98.52%, 142 ,93.66%,
기타음식점,서울특별시,광진구, 164 , 165 ,99.39%, 178 ,92.13%,
기타음식점,서울특별시,동대문구, 145 , 147 ,98.64%, 148 ,97.97%,
기타음식점,서울특별시,중랑구, 93 , 96 ,96.88%, 87 ,106.90%,
기타음식점,서울특별시,성북구, 237 , 238 ,99.58%, 273 ,86.81%,
기타음식점,서울특별시,강북구, 142 , 140 ,101.43%, 147 ,96.60%,
기타음식점,서울특별시,도봉구, 116 , 118 ,98.31%, 128 ,90.63%,
기타음식점,서울특별시,노원구, 158 , 156 ,101.28%, 172 ,91.86%,
기타음식점,서울특별시,은평구, 119 , 119 ,100.00%, 134 ,88.81%,
기타음식점,서울특별시,서대문구, 186 , 186 ,100.00%, 209 ,89.00%,
기타음식점,서울특별시,마포구, 337 , 339 ,99.41%, 417 ,80.82%,
기타음식점,서울특별시,양천구, 144 , 141 ,102.13%, 138 ,104.35%,
기타음식점,서울특별시,강서구, 235 , 235 ,100.00%, 254 ,92.52%,
기타음식점,서울특별시,구로구, 130 , 129 ,100.78%, 136 ,95.59%,
기타음식점,서울특별시,금천구, 109 , 109 ,100.00%, 97 ,112.37%,
기타음식점,서울특별시,영등포구, 287 , 286 ,100.35%, 292 ,98.29%,
기타음식점,서울특별시,동작구, 162 , 164 ,98.78%, 183 ,88.52%,
기타음식점,서울특별시,관악구, 201 , 198 ,101.52%, 215 ,93.49%,
기타음식점,서울특별시,서초구, 209 , 213 ,98.12%, 225 ,92.89%,
기타음식점,서울특별시,강남구, 286 , 291 ,98.28%, 313 ,91.37%,
기타음식점,서울특별시,송파구, 278 , 280 ,99.29%, 305 ,91.15%,
기타음식점,서울특별시,강동구, 143 , 145 ,98.62%, 155 ,92.26%,
기타음식점,인천광역시,합계, 963 , 973 ,98.97%," 1,041 ",92.51%,
기타음식점,인천광역시,중구, 76 , 77 ,98.70%, 86 ,88.37%,
기타음식점,인천광역시,동구, 19 , 20 ,95.00%, 21 ,90.48%,
기타음식점,인천광역시,미추홀구, 131 , 135 ,97.04%, 157 ,83.44%,
기타음식점,인천광역시,연수구, 96 , 94 ,102.13%, 100 ,96.00%,
기타음식점,인천광역시,남동구, 155 , 158 ,98.10%, 165 ,93.94%,
기타음식점,인천광역시,부평구, 161 , 160 ,100.63%, 168 ,95.83%,
기타음식점,인천광역시,계양구, 109 , 109 ,100.00%, 101 ,107.92%,
기타음식점,인천광역시,서구, 164 , 166 ,98.80%, 187 ,87.70%,
기타음식점,인천광역시,강화군, 40 , 42 ,95.24%, 44 ,90.91%,
기타음식점,인천광역시,옹진군, 12 , 12 ,100.00%, 12 ,100.00%,
기타음식점,경기도,합계," 5,453 "," 5,468 ",99.73%," 5,594 ",97.48%,
기타음식점,경기도,수원시 장안구, 85 , 87 ,97.70%, 89 ,95.51%,
기타음식점,경기도,수원시 권선구, 110 , 112 ,98.21%, 115 ,95.65%,
기타음식점,경기도,수원시 팔달구, 111 , 112 ,99.11%, 114 ,97.37%,
기타음식점,경기도,수원시 영통구, 117 , 117 ,100.00%, 116 ,100.86%,
기타음식점,경기도,성남시 수정구, 111 , 114 ,97.37%, 116 ,95.69%,
기타음식점,경기도,성남시 중원구, 108 , 111 ,97.30%, 112 ,96.43%,
기타음식점,경기도,성남시 분당구, 213 , 212 ,100.47%, 234 ,91.03%,
기타음식점,경기도,의정부시, 253 , 257 ,98.44%, 301 ,84.05%,
기타음식점,경기도,안양시 만안구, 144 , 144 ,100.00%, 139 ,103.60%,
기타음식점,경기도,안양시 동안구, 162 , 164 ,98.78%, 181 ,89.50%,
기타음식점,경기도,부천시, 430 , 429 ,100.23%, 445 ,96.63%,
기타음식점,경기도,광명시, 88 , 91 ,96.70%, 92 ,95.65%,
기타음식점,경기도,평택시, 230 , 229 ,100.44%, 209 ,110.05%,
기타음식점,경기도,동두천시, 37 , 37 ,100.00%, 43 ,86.05%,
기타음식점,경기도,안산시 상록구, 136 , 138 ,98.55%, 128 ,106.25%,
기타음식점,경기도,안산시 단원구, 132 , 134 ,98.51%, 143 ,92.31%,
기타음식점,경기도,고양시 덕양구, 117 , 115 ,101.74%, 105 ,111.43%,
기타음식점,경기도,고양시 일산동구, 146 , 146 ,100.00%, 149 ,97.99%,
기타음식점,경기도,고양시 일산서구, 107 , 108 ,99.07%, 112 ,95.54%,
기타음식점,경기도,과천시, 26 , 27 ,96.30%, 30 ,86.67%,
기타음식점,경기도,구리시, 65 , 61 ,106.56%, 70 ,92.86%,
기타음식점,경기도,남양주시, 190 , 190 ,100.00%, 211 ,90.05%,
기타음식점,경기도,오산시, 69 , 67 ,102.99%, 55 ,125.45%,
기타음식점,경기도,시흥시, 238 , 239 ,99.58%, 229 ,103.93%,
기타음식점,경기도,군포시, 109 , 108 ,100.93%, 104 ,104.81%,
기타음식점,경기도,의왕시, 36 , 36 ,100.00%, 38 ,94.74%,
기타음식점,경기도,하남시, 76 , 76 ,100.00%, 63 ,120.63%,
기타음식점,경기도,용인시 처인구, 125 , 126 ,99.21%, 135 ,92.59%,
기타음식점,경기도,용인시 기흥구, 148 , 149 ,99.33%, 127 ,116.54%,
기타음식점,경기도,용인시 수지구, 113 , 112 ,100.89%, 123 ,91.87%,
기타음식점,경기도,파주시, 142 , 146 ,97.26%, 144 ,98.61%,
기타음식점,경기도,이천시, 140 , 142 ,98.59%, 151 ,92.72%,
기타음식점,경기도,안성시, 67 , 67 ,100.00%, 71 ,94.37%,
기타음식점,경기도,김포시, 142 , 143 ,99.30%, 146 ,97.26%,
기타음식점,경기도,화성시, 261 , 256 ,101.95%, 241 ,108.30%,
기타음식점,경기도,광주시, 212 , 212 ,100.00%, 228 ,92.98%,
기타음식점,경기도,양주시, 103 , 103 ,100.00%, 104 ,99.04%,
기타음식점,경기도,포천시, 65 , 62 ,104.84%, 65 ,100.00%,
기타음식점,경기도,여주시, 115 , 116 ,99.14%, 136 ,84.56%,
기타음식점,경기도,연천군, 33 , 33 ,100.00%, 39 ,84.62%,
기타음식점,경기도,가평군, 53 , 53 ,100.00%, 55 ,96.36%,
기타음식점,경기도,양평군, 88 , 87 ,101.15%, 86 ,102.33%,
기타음식점,강원도,합계," 1,038 "," 1,028 ",100.97%," 1,024 ",101.37%,
기타음식점,강원도,춘천시, 184 , 185 ,99.46%, 202 ,91.09%,
기타음식점,강원도,원주시, 186 , 181 ,102.76%, 166 ,112.05%,
기타음식점,강원도,강릉시, 131 , 131 ,100.00%, 127 ,103.15%,
기타음식점,강원도,동해시, 57 , 55 ,103.64%, 55 ,103.64%,
기타음식점,강원도,태백시, 19 , 19 ,100.00%, 18 ,105.56%,
기타음식점,강원도,속초시, 51 , 50 ,102.00%, 57 ,89.47%,
기타음식점,강원도,삼척시, 85 , 84 ,101.19%, 91 ,93.41%,
기타음식점,강원도,홍천군, 48 , 49 ,97.96%, 49 ,97.96%,
기타음식점,강원도,횡성군, 30 , 29 ,103.45%, 30 ,100.00%,
기타음식점,강원도,영월군, 14 , 14 ,100.00%, 12 ,116.67%,
기타음식점,강원도,평창군, 40 , 38 ,105.26%, 39 ,102.56%,
기타음식점,강원도,정선군, 39 , 40 ,97.50%, 24 ,162.50%,
기타음식점,강원도,철원군, 34 , 34 ,100.00%, 33 ,103.03%,
기타음식점,강원도,화천군, 30 , 30 ,100.00%, 30 ,100.00%,
기타음식점,강원도,양구군, 11 , 11 ,100.00%, 9 ,122.22%,
기타음식점,강원도,인제군, 34 , 33 ,103.03%, 36 ,94.44%,
기타음식점,강원도,고성군, 19 , 19 ,100.00%, 18 ,105.56%,
기타음식점,강원도,양양군, 26 , 26 ,100.00%, 28 ,92.86%,
기타음식점,대전광역시,합계, 572 , 578 ,98.96%, 586 ,97.61%,
기타음식점,대전광역시,중구, 154 , 155 ,99.35%, 143 ,107.69%,
기타음식점,대전광역시,동구, 138 , 139 ,99.28%, 147 ,93.88%,
기타음식점,대전광역시,서구, 131 , 132 ,99.24%, 124 ,105.65%,
기타음식점,대전광역시,유성구, 97 , 98 ,98.98%, 107 ,90.65%,
기타음식점,대전광역시,대덕구, 52 , 54 ,96.30%, 65 ,80.00%,
기타음식점,충청북도,합계, 734 , 733 ,100.14%, 697 ,105.31%,
기타음식점,충청북도,청주시 상당구, 85 , 84 ,101.19%, 86 ,98.84%,
기타음식점,충청북도,청주시 서원구, 71 , 70 ,101.43%, 59 ,120.34%,
기타음식점,충청북도,청주시 흥덕구, 102 , 100 ,102.00%, 90 ,113.33%,
기타음식점,충청북도,청주시 청원구, 63 , 62 ,101.61%, 65 ,96.92%,
기타음식점,충청북도,충주시, 130 , 132 ,98.48%, 114 ,114.04%,
기타음식점,충청북도,제천시, 111 , 114 ,97.37%, 101 ,109.90%,
기타음식점,충청북도,보은군, 20 , 20 ,100.00%, 20 ,100.00%,
기타음식점,충청북도,옥천군, 21 , 22 ,95.45%, 26 ,80.77%,
기타음식점,충청북도,영동군, 19 , 19 ,100.00%, 20 ,95.00%,
기타음식점,충청북도,증평군, 14 , 14 ,100.00%, 13 ,107.69%,
기타음식점,충청북도,진천군, 18 , 18 ,100.00%, 22 ,81.82%,
기타음식점,충청북도,괴산군, 22 , 22 ,100.00%, 20 ,110.00%,
기타음식점,충청북도,음성군, 36 , 35 ,102.86%, 38 ,94.74%,
기타음식점,충청북도,단양군, 22 , 21 ,104.76%, 23 ,95.65%,
기타음식점,충청남도,합계, 965 , 974 ,99.08%," 1,043 ",92.52%,
기타음식점,충청남도,천안시 동남구, 125 , 131 ,95.42%, 146 ,85.62%,
기타음식점,충청남도,천안시 서북구, 135 , 137 ,98.54%, 146 ,92.47%,
기타음식점,충청남도,공주시, 109 , 109 ,100.00%, 111 ,98.20%,
기타음식점,충청남도,보령시, 51 , 51 ,100.00%, 54 ,94.44%,
기타음식점,충청남도,아산시, 81 , 82 ,98.78%, 80 ,101.25%,
기타음식점,충청남도,서산시, 88 , 86 ,102.33%, 100 ,88.00%,
기타음식점,충청남도,논산시, 74 , 75 ,98.67%, 80 ,92.50%,
기타음식점,충청남도,계룡시, 14 , 14 ,100.00%, 17 ,82.35%,
기타음식점,충청남도,당진시, 67 , 69 ,97.10%, 75 ,89.33%,
기타음식점,충청남도,금산군, 36 , 36 ,100.00%, 40 ,90.00%,
기타음식점,충청남도,부여군, 29 , 29 ,100.00%, 31 ,93.55%,
기타음식점,충청남도,서천군, 42 , 43 ,97.67%, 42 ,100.00%,
기타음식점,충청남도,청양군, 16 , 16 ,100.00%, 16 ,100.00%,
기타음식점,충청남도,홍성군, 38 , 37 ,102.70%, 37 ,102.70%,
기타음식점,충청남도,예산군, 29 , 29 ,100.00%, 32 ,90.63%,
기타음식점,충청남도,태안군, 31 , 30 ,103.33%, 36 ,86.11%,
기타음식점,세종특별자치시,합계, 106 , 105 ,100.95%, 99 ,107.07%,
기타음식점,세종특별자치시,세종시, 106 , 105 ,100.95%, 99 ,107.07%,
기타음식점,광주광역시,합계, 971 , 979 ,99.18%," 1,049 ",92.56%,
기타음식점,광주광역시,동구, 115 , 117 ,98.29%, 132 ,87.12%,
기타음식점,광주광역시,남구, 120 , 119 ,100.84%, 105 ,114.29%,
기타음식점,광주광역시,서구, 249 , 251 ,99.20%, 267 ,93.26%,
기타음식점,광주광역시,북구, 227 , 230 ,98.70%, 236 ,96.19%,
기타음식점,광주광역시,광산구, 260 , 262 ,99.24%, 309 ,84.14%,
기타음식점,전라북도,합계, 707 , 708 ,99.86%, 706 ,100.14%,
기타음식점,전라북도,전주시 완산구, 177 , 178 ,99.44%, 173 ,102.31%,
기타음식점,전라북도,전주시 덕진구, 104 , 103 ,100.97%, 104 ,100.00%,
기타음식점,전라북도,군산시, 97 , 96 ,101.04%, 87 ,111.49%,
기타음식점,전라북도,익산시, 73 , 74 ,98.65%, 80 ,91.25%,
기타음식점,전라북도,정읍시, 46 , 47 ,97.87%, 51 ,90.20%,
기타음식점,전라북도,남원시, 38 , 38 ,100.00%, 37 ,102.70%,
기타음식점,전라북도,김제시, 36 , 36 ,100.00%, 40 ,90.00%,
기타음식점,전라북도,완주군, 37 , 37 ,100.00%, 39 ,94.87%,
기타음식점,전라북도,진안군, 11 , 10 ,110.00%, 9 ,122.22%,
기타음식점,전라북도,무주군, 16 , 17 ,94.12%, 10 ,160.00%,
기타음식점,전라북도,장수군, 9 , 9 ,100.00%, 10 ,90.00%,
기타음식점,전라북도,임실군, 17 , 17 ,100.00%, 17 ,100.00%,
기타음식점,전라북도,순창군, 9 , 8 ,112.50%, 10 ,90.00%,
기타음식점,전라북도,고창군, 14 , 15 ,93.33%, 14 ,100.00%,
기타음식점,전라북도,부안군, 23 , 23 ,100.00%, 25 ,92.00%,
기타음식점,전라남도,합계, 797 , 798 ,99.87%, 857 ,93.00%,
기타음식점,전라남도,목포시, 131 , 131 ,100.00%, 141 ,92.91%,
기타음식점,전라남도,여수시, 102 , 101 ,100.99%, 115 ,88.70%,
기타음식점,전라남도,순천시, 128 , 129 ,99.22%, 145 ,88.28%,
기타음식점,전라남도,나주시, 49 , 51 ,96.08%, 56 ,87.50%,
기타음식점,전라남도,광양시, 59 , 60 ,98.33%, 64 ,92.19%,
기타음식점,전라남도,담양군, 32 , 32 ,100.00%, 31 ,103.23%,
기타음식점,전라남도,곡성군, 13 , 13 ,100.00%, 10 ,130.00%,
기타음식점,전라남도,구례군, 11 , 12 ,91.67%, 11 ,100.00%,
기타음식점,전라남도,고흥군, 17 , 17 ,100.00%, 20 ,85.00%,
기타음식점,전라남도,보성군, 9 , 9 ,100.00%, 11 ,81.82%,
기타음식점,전라남도,화순군, 37 , 36 ,102.78%, 42 ,88.10%,
기타음식점,전라남도,장흥군, 13 , 13 ,100.00%, 14 ,92.86%,
기타음식점,전라남도,강진군, 17 , 17 ,100.00%, 15 ,113.33%,
기타음식점,전라남도,해남군, 23 , 22 ,104.55%, 25 ,92.00%,
기타음식점,전라남도,영암군, 24 , 24 ,100.00%, 22 ,109.09%,
기타음식점,전라남도,무안군, 43 , 44 ,97.73%, 48 ,89.58%,
기타음식점,전라남도,함평군, 18 , 18 ,100.00%, 18 ,100.00%,
기타음식점,전라남도,영광군, 25 , 24 ,104.17%, 26 ,96.15%,
기타음식점,전라남도,장성군, 17 , 16 ,106.25%, 17 ,100.00%,
기타음식점,전라남도,완도군, 12 , 12 ,100.00%, 11 ,109.09%,
기타음식점,전라남도,진도군, 10 , 10 ,100.00%, 9 ,111.11%,
기타음식점,전라남도,신안군, 7 , 7 ,100.00%, 6 ,116.67%,
기타음식점,대구광역시,합계," 1,241 "," 1,231 ",100.81%," 1,273 ",97.49%,
기타음식점,대구광역시,중구, 128 , 125 ,102.40%, 116 ,110.34%,
기타음식점,대구광역시,동구, 141 , 138 ,102.17%, 142 ,99.30%,
기타음식점,대구광역시,남구, 80 , 77 ,103.90%, 82 ,97.56%,
기타음식점,대구광역시,서구, 76 , 76 ,100.00%, 81 ,93.83%,
기타음식점,대구광역시,북구, 192 , 190 ,101.05%, 206 ,93.20%,
기타음식점,대구광역시,수성구, 174 , 178 ,97.75%, 190 ,91.58%,
기타음식점,대구광역시,달서구, 240 , 240 ,100.00%, 250 ,96.00%,
기타음식점,대구광역시,달성군, 210 , 207 ,101.45%, 206 ,101.94%,
기타음식점,경상북도,합계," 1,142 "," 1,148 ",99.48%," 1,158 ",98.62%,
기타음식점,경상북도,포항시 남구, 138 , 140 ,98.57%, 129 ,106.98%,
기타음식점,경상북도,포항시 북구, 151 , 151 ,100.00%, 132 ,114.39%,
기타음식점,경상북도,경주시, 191 , 192 ,99.48%, 205 ,93.17%,
기타음식점,경상북도,김천시, 38 , 38 ,100.00%, 35 ,108.57%,
기타음식점,경상북도,안동시, 92 , 93 ,98.92%, 97 ,94.85%,
기타음식점,경상북도,구미시, 151 , 148 ,102.03%, 165 ,91.52%,
기타음식점,경상북도,영주시, 36 , 36 ,100.00%, 36 ,100.00%,
기타음식점,경상북도,영천시, 21 , 22 ,95.45%, 25 ,84.00%,
기타음식점,경상북도,상주시, 30 , 30 ,100.00%, 33 ,90.91%,
기타음식점,경상북도,문경시, 32 , 32 ,100.00%, 31 ,103.23%,
기타음식점,경상북도,경산시, 76 , 78 ,97.44%, 77 ,98.70%,
기타음식점,경상북도,군위군, 7 , 7 ,100.00%, 8 ,87.50%,
기타음식점,경상북도,의성군, 17 , 17 ,100.00%, 15 ,113.33%,
기타음식점,경상북도,청송군, 13 , 13 ,100.00%, 14 ,92.86%,
기타음식점,경상북도,영양군, 7 , 7 ,100.00%, 8 ,87.50%,
기타음식점,경상북도,영덕군, 12 , 12 ,100.00%, 15 ,80.00%,
기타음식점,경상북도,청도군, 34 , 34 ,100.00%, 38 ,89.47%,
기타음식점,경상북도,고령군, 11 , 12 ,91.67%, 9 ,122.22%,
기타음식점,경상북도,성주군, 10 , 11 ,90.91%, 10 ,100.00%,
기타음식점,경상북도,칠곡군, 43 , 43 ,100.00%, 39 ,110.26%,
기타음식점,경상북도,예천군, 4 , 4 ,100.00%, 5 ,80.00%,
기타음식점,경상북도,봉화군, 7 , 7 ,100.00%, 8 ,87.50%,
기타음식점,경상북도,울진군, 17 , 17 ,100.00%, 21 ,80.95%,
기타음식점,경상북도,울릉군, 4 , 4 ,100.00%, 3 ,133.33%,
기타음식점,부산광역시,합계," 1,597 "," 1,605 ",99.50%," 1,649 ",96.85%,
기타음식점,부산광역시,중구, 53 , 54 ,98.15%, 58 ,91.38%,
기타음식점,부산광역시,강서구, 68 , 70 ,97.14%, 65 ,104.62%,
기타음식점,부산광역시,동구, 41 , 41 ,100.00%, 42 ,97.62%,
기타음식점,부산광역시,남구, 110 , 112 ,98.21%, 122 ,90.16%,
기타음식점,부산광역시,서구, 40 , 39 ,102.56%, 38 ,105.26%,
기타음식점,부산광역시,북구, 85 , 86 ,98.84%, 98 ,86.73%,
기타음식점,부산광역시,영도구, 52 , 50 ,104.00%, 45 ,115.56%,
기타음식점,부산광역시,부산진구, 214 , 216 ,99.07%, 220 ,97.27%,
기타음식점,부산광역시,동래구, 118 , 121 ,97.52%, 131 ,90.08%,
기타음식점,부산광역시,해운대구, 170 , 171 ,99.42%, 176 ,96.59%,
기타음식점,부산광역시,사하구, 113 , 111 ,101.80%, 113 ,100.00%,
기타음식점,부산광역시,금정구, 145 , 145 ,100.00%, 163 ,88.96%,
기타음식점,부산광역시,연제구, 85 , 84 ,101.19%, 86 ,98.84%,
기타음식점,부산광역시,수영구, 76 , 77 ,98.70%, 78 ,97.44%,
기타음식점,부산광역시,사상구, 85 , 83 ,102.41%, 95 ,89.47%,
기타음식점,부산광역시,기장군, 142 , 145 ,97.93%, 119 ,119.33%,
기타음식점,울산광역시,합계, 499 , 502 ,99.40%, 488 ,102.25%,
기타음식점,울산광역시,중구, 96 , 96 ,100.00%, 93 ,103.23%,
기타음식점,울산광역시,동구, 74 , 75 ,98.67%, 74 ,100.00%,
기타음식점,울산광역시,남구, 186 , 190 ,97.89%, 184 ,101.09%,
기타음식점,울산광역시,북구, 53 , 52 ,101.92%, 46 ,115.22%,
기타음식점,울산광역시,울주군, 90 , 89 ,101.12%, 91 ,98.90%,
기타음식점,경상남도,합계," 1,718 "," 1,738 ",98.85%," 1,808 ",95.02%,
기타음식점,경상남도,고성군, 21 , 21 ,100.00%, 24 ,87.50%,
기타음식점,경상남도,창원시 의창구, 105 , 107 ,98.13%, 109 ,96.33%,
기타음식점,경상남도,창원시 성산구, 88 , 87 ,101.15%, 100 ,88.00%,
기타음식점,경상남도,창원시 마산합포구, 83 , 82 ,101.22%, 90 ,92.22%,
기타음식점,경상남도,창원시 마산회원구, 89 , 91 ,97.80%, 94 ,94.68%,
기타음식점,경상남도,창원시 진해구, 92 , 91 ,101.10%, 86 ,106.98%,
기타음식점,경상남도,진주시, 220 , 226 ,97.35%, 247 ,89.07%,
기타음식점,경상남도,통영시, 53 , 54 ,98.15%, 58 ,91.38%,
기타음식점,경상남도,사천시, 66 , 66 ,100.00%, 75 ,88.00%,
기타음식점,경상남도,김해시, 334 , 339 ,98.53%, 324 ,103.09%,
기타음식점,경상남도,밀양시, 43 , 43 ,100.00%, 46 ,93.48%,
기타음식점,경상남도,거제시, 96 , 97 ,98.97%, 79 ,121.52%,
기타음식점,경상남도,양산시, 199 , 200 ,99.50%, 234 ,85.04%,
기타음식점,경상남도,의령군, 16 , 17 ,94.12%, 22 ,72.73%,
기타음식점,경상남도,함안군, 40 , 40 ,100.00%, 40 ,100.00%,
기타음식점,경상남도,창녕군, 31 , 33 ,93.94%, 29 ,106.90%,
기타음식점,경상남도,남해군, 19 , 19 ,100.00%, 20 ,95.00%,
기타음식점,경상남도,하동군, 26 , 26 ,100.00%, 23 ,113.04%,
기타음식점,경상남도,산청군, 23 , 25 ,92.00%, 27 ,85.19%,
기타음식점,경상남도,함양군, 20 , 20 ,100.00%, 22 ,90.91%,
기타음식점,경상남도,거창군, 35 , 35 ,100.00%, 39 ,89.74%,
기타음식점,경상남도,합천군, 19 , 19 ,100.00%, 20 ,95.00%,
기타음식점,제주특별자치도,합계, 408 , 412 ,99.03%, 393 ,103.82%,
기타음식점,제주특별자치도,제주시, 316 , 320 ,98.75%, 294 ,107.48%,
기타음식점,제주특별자치도,서귀포시, 92 , 92 ,100.00%, 99 ,92.93%,
꽃가게,합계,합계," 23,767 "," 23,742 ",100.11%," 23,076 ",102.99%,
꽃가게,서울특별시,합계," 4,357 "," 4,348 ",100.21%," 4,264 ",102.18%,
꽃가게,서울특별시,종로구, 155 , 155 ,100.00%, 156 ,99.36%,
꽃가게,서울특별시,중구, 242 , 242 ,100.00%, 240 ,100.83%,
꽃가게,서울특별시,용산구, 146 , 143 ,102.10%, 153 ,95.42%,
꽃가게,서울특별시,성동구, 110 , 110 ,100.00%, 104 ,105.77%,
꽃가게,서울특별시,광진구, 115 , 110 ,104.55%, 110 ,104.55%,
꽃가게,서울특별시,동대문구, 76 , 76 ,100.00%, 75 ,101.33%,
꽃가게,서울특별시,중랑구, 75 , 76 ,98.68%, 79 ,94.94%,
꽃가게,서울특별시,성북구, 108 , 109 ,99.08%, 105 ,102.86%,
꽃가게,서울특별시,강북구, 66 , 65 ,101.54%, 62 ,106.45%,
꽃가게,서울특별시,도봉구, 66 , 66 ,100.00%, 60 ,110.00%,
꽃가게,서울특별시,노원구, 118 , 116 ,101.72%, 119 ,99.16%,
꽃가게,서울특별시,은평구, 107 , 106 ,100.94%, 92 ,116.30%,
꽃가게,서울특별시,서대문구, 139 , 140 ,99.29%, 122 ,113.93%,
꽃가게,서울특별시,마포구, 193 , 193 ,100.00%, 211 ,91.47%,
꽃가게,서울특별시,양천구, 121 , 124 ,97.58%, 127 ,95.28%,
꽃가게,서울특별시,강서구, 166 , 163 ,101.84%, 152 ,109.21%,
꽃가게,서울특별시,구로구, 107 , 107 ,100.00%, 105 ,101.90%,
꽃가게,서울특별시,금천구, 60 , 60 ,100.00%, 50 ,120.00%,
꽃가게,서울특별시,영등포구, 202 , 200 ,101.00%, 190 ,106.32%,
꽃가게,서울특별시,동작구, 127 , 126 ,100.79%, 117 ,108.55%,
꽃가게,서울특별시,관악구, 107 , 109 ,98.17%, 107 ,100.00%,
꽃가게,서울특별시,서초구, 727 , 726 ,100.14%, 721 ,100.83%,
꽃가게,서울특별시,강남구, 535 , 536 ,99.81%, 525 ,101.90%,
꽃가게,서울특별시,송파구, 301 , 302 ,99.67%, 281 ,107.12%,
꽃가게,서울특별시,강동구, 188 , 188 ,100.00%, 201 ,93.53%,
꽃가게,인천광역시,합계, 944 , 946 ,99.79%, 934 ,101.07%,
꽃가게,인천광역시,중구, 55 , 53 ,103.77%, 46 ,119.57%,
꽃가게,인천광역시,동구, 12 , 12 ,100.00%, 11 ,109.09%,
꽃가게,인천광역시,미추홀구, 106 , 107 ,99.07%, 102 ,103.92%,
꽃가게,인천광역시,연수구, 99 , 99 ,100.00%, 100 ,99.00%,
꽃가게,인천광역시,남동구, 291 , 294 ,98.98%, 298 ,97.65%,
꽃가게,인천광역시,부평구, 127 , 129 ,98.45%, 123 ,103.25%,
꽃가게,인천광역시,계양구, 87 , 85 ,102.35%, 87 ,100.00%,
꽃가게,인천광역시,서구, 122 , 124 ,98.39%, 128 ,95.31%,
꽃가게,인천광역시,강화군, 38 , 37 ,102.70%, 33 ,115.15%,
꽃가게,인천광역시,옹진군, 7 , 6 ,116.67%, 6 ,116.67%,
꽃가게,경기도,합계," 5,501 "," 5,480 ",100.38%," 5,234 ",105.10%,
꽃가게,경기도,수원시 장안구, 86 , 86 ,100.00%, 81 ,106.17%,
꽃가게,경기도,수원시 권선구, 100 , 99 ,101.01%, 98 ,102.04%,
꽃가게,경기도,수원시 팔달구, 93 , 93 ,100.00%, 93 ,100.00%,
꽃가게,경기도,수원시 영통구, 125 , 125 ,100.00%, 114 ,109.65%,
꽃가게,경기도,성남시 수정구, 134 , 132 ,101.52%, 131 ,102.29%,
꽃가게,경기도,성남시 중원구, 68 , 71 ,95.77%, 79 ,86.08%,
꽃가게,경기도,성남시 분당구, 264 , 260 ,101.54%, 248 ,106.45%,
꽃가게,경기도,의정부시, 148 , 144 ,102.78%, 144 ,102.78%,
꽃가게,경기도,안양시 만안구, 75 , 74 ,101.35%, 70 ,107.14%,
꽃가게,경기도,안양시 동안구, 94 , 92 ,102.17%, 90 ,104.44%,
꽃가게,경기도,부천시, 292 , 288 ,101.39%, 284 ,102.82%,
꽃가게,경기도,광명시, 210 , 213 ,98.59%, 213 ,98.59%,
꽃가게,경기도,평택시, 261 , 259 ,100.77%, 249 ,104.82%,
꽃가게,경기도,동두천시, 27 , 27 ,100.00%, 28 ,96.43%,
꽃가게,경기도,안산시 상록구, 125 , 126 ,99.21%, 117 ,106.84%,
꽃가게,경기도,안산시 단원구, 148 , 149 ,99.33%, 142 ,104.23%,
꽃가게,경기도,고양시 덕양구, 269 , 269 ,100.00%, 262 ,102.67%,
꽃가게,경기도,고양시 일산동구, 142 , 143 ,99.30%, 139 ,102.16%,
꽃가게,경기도,고양시 일산서구, 82 , 81 ,101.23%, 83 ,98.80%,
