사업자 현황 ( 1월/100대 생활업종),,,,,,,,
*조회년월,,2020년 1월,,,,,,
,,,,,,,,
,,,,,,,"(단위 : 인원수, %)",
구분,,, 사업자 수,,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③),
 업종전체,서울특별시,서초구," 30,474 "," 30,326 ",100.49%," 29,320 ",103.94%,
 업종전체,서울특별시,강남구," 45,668 "," 45,430 ",100.52%," 43,705 ",104.49%,
 업종전체,서울특별시,송파구," 30,819 "," 30,673 ",100.48%," 28,945 ",106.47%,
 업종전체,서울특별시,강동구," 18,555 "," 18,404 ",100.82%," 17,690 ",104.89%,
 업종전체,인천광역시,합계," 122,585 "," 121,917 ",100.55%," 115,897 ",105.77%,
 업종전체,인천광역시,중구," 7,706 "," 7,627 ",101.04%," 7,082 ",108.81%,
 업종전체,인천광역시,동구," 2,816 "," 2,819 ",99.89%," 2,736 ",102.92%,
 업종전체,인천광역시,미추홀구," 17,397 "," 17,320 ",100.44%," 16,636 ",104.57%,
 업종전체,인천광역시,연수구," 13,136 "," 13,013 ",100.95%," 12,071 ",108.82%,
 업종전체,인천광역시,남동구," 22,486 "," 22,388 ",100.44%," 21,412 ",105.02%,
 업종전체,인천광역시,부평구," 20,636 "," 20,536 ",100.49%," 19,804 ",104.20%,
 업종전체,인천광역시,계양구," 11,617 "," 11,598 ",100.16%," 11,267 ",103.11%,
 업종전체,인천광역시,서구," 21,481 "," 21,326 ",100.73%," 19,825 ",108.35%,
 업종전체,인천광역시,강화군," 4,008 "," 3,986 ",100.55%," 3,834 ",104.54%,
 업종전체,인천광역시,옹진군," 1,302 "," 1,304 ",99.85%," 1,230 ",105.85%,
 업종전체,경기도,합계," 558,878 "," 555,330 ",100.64%," 521,115 ",107.25%,
 업종전체,경기도,수원시 장안구," 10,524 "," 10,503 ",100.20%," 10,189 ",103.29%,
 업종전체,경기도,수원시 권선구," 13,348 "," 13,270 ",100.59%," 12,484 ",106.92%,
 업종전체,경기도,수원시 팔달구," 11,913 "," 11,850 ",100.53%," 11,620 ",102.52%,
