사업자 현황 ( 12월/100대 생활업종),,,,,,,
*조회년월,,2019년 12월,,,,,
,,,,,,,
,,,,,,,"(단위 : 인원수, %)"
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
업종전체,합계,합계," 2,397,281 "," 2,400,922 ",99.85%," 2,286,774 ",104.83%
업종전체,서울특별시,합계," 477,788 "," 478,626 ",99.82%," 456,594 ",104.64%
업종전체,서울특별시,종로구," 16,783 "," 16,886 ",99.39%," 16,462 ",101.95%
업종전체,서울특별시,중구," 18,617 "," 18,636 ",99.90%," 18,093 ",102.90%
업종전체,서울특별시,용산구," 13,679 "," 13,684 ",99.96%," 13,136 ",104.13%
업종전체,서울특별시,성동구," 14,779 "," 14,779 ",100.00%," 13,785 ",107.21%
업종전체,서울특별시,광진구," 16,959 "," 16,988 ",99.83%," 16,180 ",104.81%
업종전체,서울특별시,동대문구," 16,733 "," 16,771 ",99.77%," 16,544 ",101.14%
업종전체,서울특별시,중랑구," 15,372 "," 15,398 ",99.83%," 14,705 ",104.54%
업종전체,서울특별시,성북구," 16,347 "," 16,424 ",99.53%," 15,669 ",104.33%
업종전체,서울특별시,강북구," 13,227 "," 13,231 ",99.97%," 12,711 ",104.06%
업종전체,서울특별시,도봉구," 11,526 "," 11,537 ",99.90%," 11,094 ",103.89%
업종전체,서울특별시,노원구," 17,158 "," 17,303 ",99.16%," 16,511 ",103.92%
업종전체,서울특별시,은평구," 17,385 "," 17,415 ",99.83%," 16,564 ",104.96%
업종전체,서울특별시,서대문구," 13,425 "," 13,458 ",99.75%," 12,756 ",105.24%
업종전체,서울특별시,마포구," 25,111 "," 25,133 ",99.91%," 23,794 ",105.54%
업종전체,서울특별시,양천구," 16,804 "," 16,820 ",99.90%," 16,205 ",103.70%
업종전체,서울특별시,강서구," 23,925 "," 24,022 ",99.60%," 22,097 ",108.27%
업종전체,서울특별시,구로구," 16,882 "," 16,942 ",99.65%," 16,314 ",103.48%
업종전체,서울특별시,금천구," 12,228 "," 12,255 ",99.78%," 11,260 ",108.60%
업종전체,서울특별시,영등포구," 21,773 "," 21,704 ",100.32%," 20,931 ",104.02%
업종전체,서울특별시,동작구," 14,919 "," 14,919 ",100.00%," 14,475 ",103.07%
업종전체,서울특별시,관악구," 19,323 "," 19,310 ",100.07%," 18,316 ",105.50%
업종전체,서울특별시,서초구," 30,326 "," 30,454 ",99.58%," 29,146 ",104.05%
