사업자 현황 ( 2월/100대 생활업종),,,,,,,
*조회년월,,2020년 2월,,,,,
,,,,,,,
,,,,,,,"(단위 : 인원수, %)"
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
업종전체,합계,합계,"2,415,709 ","2,407,656 ",100.33%,"2,308,485 ",104.64%
업종전체,서울특별시,합계,"482,174 ","480,266 ",100.40%,"461,212 ",104.54%
업종전체,서울특별시,종로구,"16,837 ","16,798 ",100.23%,"16,552 ",101.72%
업종전체,서울특별시,중구,"18,694 ","18,671 ",100.12%,"18,228 ",102.56%
업종전체,서울특별시,용산구,"13,758 ","13,713 ",100.33%,"13,259 ",103.76%
업종전체,서울특별시,성동구,"14,983 ","14,886 ",100.65%,"13,984 ",107.14%
업종전체,서울특별시,광진구,"17,209 ","17,089 ",100.70%,"16,380 ",105.06%
업종전체,서울특별시,동대문구,"16,837 ","16,826 ",100.07%,"16,627 ",101.26%
업종전체,서울특별시,중랑구,"15,458 ","15,415 ",100.28%,"14,816 ",104.33%
업종전체,서울특별시,성북구,"16,444 ","16,388 ",100.34%,"15,793 ",104.12%
업종전체,서울특별시,강북구,"13,312 ","13,267 ",100.34%,"12,822 ",103.82%
업종전체,서울특별시,도봉구,"11,584 ","11,551 ",100.29%,"11,202 ",103.41%
업종전체,서울특별시,노원구,"17,282 ","17,229 ",100.31%,"16,730 ",103.30%
업종전체,서울특별시,은평구,"17,523 ","17,431 ",100.53%,"16,716 ",104.83%
업종전체,서울특별시,서대문구,"13,535 ","13,481 ",100.40%,"12,919 ",104.77%
업종전체,서울특별시,마포구,"25,366 ","25,269 ",100.38%,"24,026 ",105.58%
업종전체,서울특별시,양천구,"16,886 ","16,866 ",100.12%,"16,319 ",103.47%
업종전체,서울특별시,강서구,"24,327 ","24,132 ",100.81%,"22,470 ",108.26%
업종전체,서울특별시,구로구,"17,120 ","17,029 ",100.53%,"16,436 ",104.16%
업종전체,서울특별시,금천구,"12,422 ","12,352 ",100.57%,"11,508 ",107.94%
업종전체,서울특별시,영등포구,"22,044 ","21,953 ",100.41%,"21,118 ",104.38%
업종전체,서울특별시,동작구,"15,042 ","14,993 ",100.33%,"14,568 ",103.25%
업종전체,서울특별시,관악구,"19,476 ","19,411 ",100.33%,"18,541 ",105.04%
업종전체,서울특별시,서초구,"30,562 ","30,474 ",100.29%,"29,428 ",103.85%
업종전체,서울특별시,강남구,"45,852 ","45,668 ",100.40%,"43,893 ",104.46%
