사업자 현황 ( 4월/100대 생활업종),,,,,,,
*조회년월,,2020년 4월,,,,,
,,,,,,,
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
정육점,경상북도,안동시,101 ,100 ,101.00%,94 ,107.45%
정육점,경상북도,구미시,147 ,149 ,98.66%,151 ,97.35%
정육점,경상북도,영주시,70 ,71 ,98.59%,70 ,100.00%
정육점,경상북도,영천시,49 ,50 ,98.00%,52 ,94.23%
정육점,경상북도,상주시,32 ,33 ,96.97%,36 ,88.89%
정육점,경상북도,문경시,49 ,48 ,102.08%,48 ,102.08%
정육점,경상북도,경산시,110 ,111 ,99.10%,114 ,96.49%
정육점,경상북도,군위군,11 ,11 ,100.00%,11 ,100.00%
정육점,경상북도,의성군,36 ,36 ,100.00%,34 ,105.88%
정육점,경상북도,청송군,15 ,15 ,100.00%,16 ,93.75%
정육점,경상북도,영양군,11 ,10 ,110.00%,10 ,110.00%
정육점,경상북도,영덕군,33 ,33 ,100.00%,31 ,106.45%
정육점,경상북도,청도군,18 ,19 ,94.74%,20 ,90.00%
정육점,경상북도,고령군,24 ,24 ,100.00%,25 ,96.00%
정육점,경상북도,성주군,21 ,22 ,95.45%,19 ,110.53%
정육점,경상북도,칠곡군,57 ,58 ,98.28%,58 ,98.28%
정육점,경상북도,예천군,46 ,46 ,100.00%,50 ,92.00%
정육점,경상북도,봉화군,20 ,20 ,100.00%,19 ,105.26%
정육점,경상북도,울진군,34 ,33 ,103.03%,33 ,103.03%
정육점,경상북도,울릉군,13 ,13 ,100.00%,18 ,72.22%
정육점,부산광역시,합계,"1,111 ","1,106 ",100.45%,"1,092 ",101.74%
정육점,부산광역시,중구,23 ,23 ,100.00%,25 ,92.00%
정육점,부산광역시,강서구,26 ,27 ,96.30%,24 ,108.33%
정육점,부산광역시,서구,38 ,38 ,100.00%,39 ,97.44%
정육점,부산광역시,동구,27 ,26 ,103.85%,25 ,108.00%
정육점,부산광역시,영도구,43 ,43 ,100.00%,40 ,107.50%
정육점,부산광역시,부산진구,121 ,121 ,100.00%,120 ,100.83%
정육점,부산광역시,동래구,85 ,84 ,101.19%,85 ,100.00%
정육점,부산광역시,남구,80 ,79 ,101.27%,84 ,95.24%
정육점,부산광역시,북구,91 ,92 ,98.91%,92 ,98.91%
정육점,부산광역시,해운대구,114 ,111 ,102.70%,106 ,107.55%
정육점,부산광역시,사하구,91 ,90 ,101.11%,92 ,98.91%
정육점,부산광역시,금정구,89 ,86 ,103.49%,71 ,125.35%
정육점,부산광역시,연제구,62 ,62 ,100.00%,70 ,88.57%
정육점,부산광역시,수영구,77 ,76 ,101.32%,76 ,101.32%
정육점,부산광역시,사상구,92 ,94 ,97.87%,92 ,100.00%
정육점,부산광역시,기장군,52 ,54 ,96.30%,51 ,101.96%
정육점,울산광역시,합계,588 ,588 ,100.00%,565 ,104.07%
정육점,울산광역시,중구,125 ,124 ,100.81%,117 ,106.84%
정육점,울산광역시,동구,86 ,85 ,101.18%,89 ,96.63%
정육점,울산광역시,남구,165 ,167 ,98.80%,158 ,104.43%
정육점,울산광역시,북구,87 ,88 ,98.86%,80 ,108.75%
정육점,울산광역시,울주군,125 ,124 ,100.81%,121 ,103.31%
정육점,경상남도,합계,"1,210 ","1,196 ",101.17%,"1,174 ",103.07%
정육점,경상남도,고성군,24 ,25 ,96.00%,26 ,92.31%
정육점,경상남도,창원시 의창구,128 ,125 ,102.40%,129 ,99.22%
정육점,경상남도,창원시 성산구,72 ,71 ,101.41%,74 ,97.30%
정육점,경상남도,창원시 마산합포구,82 ,81 ,101.23%,74 ,110.81%
정육점,경상남도,창원시 마산회원구,65 ,65 ,100.00%,56 ,116.07%
정육점,경상남도,창원시 진해구,60 ,57 ,105.26%,58 ,103.45%
정육점,경상남도,진주시,103 ,104 ,99.04%,106 ,97.17%
정육점,경상남도,통영시,41 ,40 ,102.50%,39 ,105.13%
정육점,경상남도,사천시,32 ,32 ,100.00%,32 ,100.00%
정육점,경상남도,김해시,165 ,163 ,101.23%,157 ,105.10%
정육점,경상남도,밀양시,54 ,54 ,100.00%,54 ,100.00%
정육점,경상남도,거제시,85 ,85 ,100.00%,88 ,96.59%
정육점,경상남도,양산시,97 ,95 ,102.11%,91 ,106.59%
정육점,경상남도,의령군,10 ,10 ,100.00%,9 ,111.11%
정육점,경상남도,함안군,29 ,27 ,107.41%,26 ,111.54%
정육점,경상남도,창녕군,37 ,36 ,102.78%,33 ,112.12%
정육점,경상남도,남해군,11 ,11 ,100.00%,11 ,100.00%
정육점,경상남도,하동군,13 ,13 ,100.00%,14 ,92.86%
정육점,경상남도,산청군,17 ,17 ,100.00%,15 ,113.33%
정육점,경상남도,함양군,33 ,33 ,100.00%,31 ,106.45%
정육점,경상남도,거창군,24 ,24 ,100.00%,25 ,96.00%
정육점,경상남도,합천군,28 ,28 ,100.00%,26 ,107.69%
정육점,제주특별자치도,합계,289 ,290 ,99.66%,275 ,105.09%
정육점,제주특별자치도,제주시,209 ,209 ,100.00%,193 ,108.29%
정육점,제주특별자치도,서귀포시,80 ,81 ,98.77%,82 ,97.56%
제과점,합계,합계,"17,422 ","17,299 ",100.71%,"16,660 ",104.57%
