사업자 현황 ( 9월/100대 생활업종),,,,,,,
*조회년월,,2020년 9월,,,,,
,,,,,,,
,,,"(단위 : 인원수, %)",,,,
구분,,, 사업자 수,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③)
업종전체,합계,합계,"2,515,815","2,498,599",100.69%,"2,376,170",105.88%
업종전체,서울특별시,합계,"501,875","498,716",100.63%,"473,615",105.97%
업종전체,서울특별시,종로구,"17,095","17,085",100.06%,"16,776",101.90%
업종전체,서울특별시,중구,"18,804","18,777",100.14%,"18,559",101.32%
업종전체,서울특별시,용산구,"14,315","14,188",100.90%,"13,520",105.88%
업종전체,서울특별시,성동구,"15,803","15,688",100.73%,"14,601",108.23%
업종전체,서울특별시,광진구,"17,893","17,796",100.55%,"16,801",106.50%
업종전체,서울특별시,동대문구,"17,323","17,205",100.69%,"16,678",103.87%
업종전체,서울특별시,중랑구,"16,116","15,969",100.92%,"15,264",105.58%
업종전체,서울특별시,성북구,"17,156","17,020",100.80%,"16,255",105.54%
업종전체,서울특별시,강북구,"13,768","13,698",100.51%,"13,093",105.16%
업종전체,서울특별시,도봉구,"11,979","11,927",100.44%,"11,397",105.11%
업종전체,서울특별시,노원구,"18,160","17,994",100.92%,"17,107",106.16%
업종전체,서울특별시,은평구,"18,563","18,371",101.05%,"17,254",107.59%
업종전체,서울특별시,서대문구,"14,015","13,908",100.77%,"13,325",105.18%
업종전체,서울특별시,마포구,"26,313","26,190",100.47%,"24,780",106.19%
업종전체,서울특별시,양천구,"17,635","17,517",100.67%,"16,707",105.55%
업종전체,서울특별시,강서구,"25,866","25,652",100.83%,"23,535",109.90%
업종전체,서울특별시,구로구,"17,878","17,773",100.59%,"16,777",106.56%
업종전체,서울특별시,금천구,"13,109","12,971",101.06%,"12,042",108.86%
업종전체,서울특별시,영등포구,"23,021","22,957",100.28%,"21,535",106.90%
업종전체,서울특별시,동작구,"15,561","15,464",100.63%,"14,810",105.07%
업종전체,서울특별시,관악구,"20,441","20,342",100.49%,"19,098",107.03%
업종전체,서울특별시,서초구,"31,597","31,427",100.54%,"30,237",104.50%
업종전체,서울특별시,강남구,"47,542","47,314",100.48%,"45,040",105.56%
업종전체,서울특별시,송파구,"32,430","32,127",100.94%,"30,286",107.08%
업종전체,서울특별시,강동구,"19,492","19,356",100.70%,"18,138",107.46%
업종전체,인천광역시,합계,"129,209","128,028",100.92%,"120,745",107.01%
업종전체,인천광역시,중구,"8,266","8,172",101.15%,"7,515",109.99%
