사업자 현황 (8월/100대 생활업종),,,,,,,
*조회년월,,2019년 8월,,,,,
,,,,,,,
,,,"(단위 : 인원수, %)",,,,
구분,,, 사업자 수,,,,
업종,시도,시군구,당월,전월,증감율,전년동월,증감율
업종전체,합계,합계," 2,369,932 "," 2,360,274 ",100.41%," 2,271,430 ",104.34%
업종전체,서울특별시,합계," 472,512 "," 470,669 ",100.39%," 454,583 ",103.94%
업종전체,서울특별시,종로구," 16,745 "," 16,764 ",99.89%," 16,503 ",101.47%
업종전체,서울특별시,중구," 18,541 "," 18,518 ",100.12%," 18,095 ",102.46%
업종전체,서울특별시,용산구," 13,485 "," 13,438 ",100.35%," 13,163 ",102.45%
업종전체,서울특별시,성동구," 14,495 "," 14,370 ",100.87%," 13,602 ",106.57%
업종전체,서울특별시,광진구," 16,762 "," 16,718 ",100.26%," 16,061 ",104.36%
업종전체,서울특별시,동대문구," 16,665 "," 16,659 ",100.04%," 16,451 ",101.30%
업종전체,서울특별시,중랑구," 15,209 "," 15,153 ",100.37%," 14,627 ",103.98%
업종전체,서울특별시,성북구," 16,198 "," 16,127 ",100.44%," 15,622 ",103.69%
업종전체,서울특별시,강북구," 13,050 "," 13,043 ",100.05%," 12,670 ",103.00%
업종전체,서울특별시,도봉구," 11,395 "," 11,353 ",100.37%," 10,978 ",103.80%
업종전체,서울특별시,노원구," 17,076 "," 17,010 ",100.39%," 16,474 ",103.65%
업종전체,서울특별시,은평구," 17,220 "," 17,142 ",100.46%," 16,434 ",104.78%
업종전체,서울특별시,서대문구," 13,315 "," 13,257 ",100.44%," 12,724 ",104.64%
업종전체,서울특별시,마포구," 24,733 "," 24,651 ",100.33%," 23,617 ",104.73%
업종전체,서울특별시,양천구," 16,684 "," 16,602 ",100.49%," 16,188 ",103.06%
업종전체,서울특별시,강서구," 23,375 "," 23,251 ",100.53%," 21,694 ",107.75%
업종전체,서울특별시,구로구," 16,754 "," 16,666 ",100.53%," 16,262 ",103.03%
업종전체,서울특별시,금천구," 11,958 "," 11,909 ",100.41%," 11,089 ",107.84%
업종전체,서울특별시,영등포구," 21,533 "," 21,424 ",100.51%," 20,846 ",103.30%
업종전체,서울특별시,동작구," 14,813 "," 14,764 ",100.33%," 14,409 ",102.80%
업종전체,서울특별시,관악구," 19,029 "," 18,953 ",100.40%," 18,284 ",104.07%
업종전체,서울특별시,서초구," 30,181 "," 30,027 ",100.51%," 29,170 ",103.47%
업종전체,서울특별시,강남구," 45,024 "," 44,842 ",100.41%," 43,600 ",103.27%
업종전체,서울특별시,송파구," 30,126 "," 30,010 ",100.39%," 28,441 ",105.92%
업종전체,서울특별시,강동구," 18,146 "," 18,018 ",100.71%," 17,579 ",103.23%
업종전체,인천광역시,합계," 120,307 "," 119,897 ",100.34%," 113,930 ",105.60%
업종전체,인천광역시,동구," 2,808 "," 2,786 ",100.79%," 2,730 ",102.86%
업종전체,인천광역시,남구, * , * ,100.00%,0,
업종전체,인천광역시,연수구," 12,736 "," 12,665 ",100.56%," 11,739 ",108.49%
업종전체,인천광역시,남동구," 22,108 "," 22,045 ",100.29%," 21,182 ",104.37%
업종전체,인천광역시,부평구," 20,415 "," 20,368 ",100.23%," 19,472 ",104.84%
업종전체,인천광역시,계양구," 11,485 "," 11,455 ",100.26%," 11,196 ",102.58%
업종전체,인천광역시,서구," 20,835 "," 20,747 ",100.42%," 19,219 ",108.41%
업종전체,인천광역시,강화군," 3,947 "," 3,940 ",100.18%," 3,784 ",104.31%
업종전체,인천광역시,중구," 7,483 "," 7,423 ",100.81%," 6,906 ",108.36%
업종전체,인천광역시,옹진군," 1,299 "," 1,282 ",101.33%," 1,232 ",105.44%
업종전체,인천광역시,미추홀구," 17,190 "," 17,185 ",100.03%," 16,470 ",104.37%
