,corp,city,2
0, 업종전체,합계," 2,407,656 "
1, 업종전체,서울특별시," 480,266 "
2, 업종전체,인천광역시," 122,585 "
3, 업종전체,경기도," 558,878 "
4, 업종전체,강원도," 85,671 "
5, 업종전체,대전광역시," 70,759 "
6, 업종전체,충청북도," 77,237 "
7, 업종전체,충청남도," 101,352 "
8, 업종전체,세종특별자치시," 12,889 "
9, 업종전체,광주광역시," 70,997 "
10, 업종전체,전라북도," 85,075 "
11, 업종전체,전라남도," 85,418 "
12, 업종전체,대구광역시," 115,230 "
13, 업종전체,경상북도," 129,486 "
14, 업종전체,부산광역시," 158,114 "
15, 업종전체,울산광역시," 51,626 "
16, 업종전체,경상남도," 157,493 "
17, 업종전체,제주특별자치도," 44,580 "
18,LPG 충전소,합계," 1,613 "
19,LPG 충전소,서울특별시, 78 
20,LPG 충전소,인천광역시, 67 
21,LPG 충전소,경기도, 367 
22,LPG 충전소,강원도, 94 
23,LPG 충전소,대전광역시, 38 
24,LPG 충전소,충청북도, 76 
25,LPG 충전소,충청남도, 133 
26,LPG 충전소,세종특별자치시, 4 
27,LPG 충전소,광주광역시, 38 
28,LPG 충전소,전라북도, 108 
29,LPG 충전소,전라남도, 121 
30,LPG 충전소,대구광역시, 44 
31,LPG 충전소,경상북도, 163 
32,LPG 충전소,부산광역시, 59 
33,LPG 충전소,울산광역시, 30 
34,LPG 충전소,경상남도, 158 
35,LPG 충전소,제주특별자치도, 35 
36,PC방,합계," 10,088 "
37,PC방,서울특별시," 1,623 "
38,PC방,인천광역시, 511 
39,PC방,경기도," 2,341 "
40,PC방,강원도, 426 
41,PC방,대전광역시, 324 
42,PC방,충청북도, 339 
43,PC방,충청남도, 437 
44,PC방,세종특별자치시, 43 
45,PC방,광주광역시, 400 
46,PC방,전라북도, 416 
47,PC방,전라남도, 361 
48,PC방,대구광역시, 568 
49,PC방,경상북도, 573 
50,PC방,부산광역시, 643 
51,PC방,울산광역시, 260 
52,PC방,경상남도, 654 
53,PC방,제주특별자치도, 169 
54,가구점,합계," 7,485 "
55,가구점,서울특별시," 1,018 "
56,가구점,인천광역시, 302 
57,가구점,경기도," 1,934 "
58,가구점,강원도, 300 
59,가구점,대전광역시, 211 
60,가구점,충청북도, 280 
61,가구점,충청남도, 293 
62,가구점,세종특별자치시, 26 
63,가구점,광주광역시, 214 
64,가구점,전라북도, 397 
65,가구점,전라남도, 272 
66,가구점,대구광역시, 368 
67,가구점,경상북도, 472 
68,가구점,부산광역시, 502 
69,가구점,울산광역시, 171 
70,가구점,경상남도, 536 
71,가구점,제주특별자치도, 189 
72,가전제품수리점,합계," 15,676 "
73,가전제품수리점,서울특별시," 2,604 "
74,가전제품수리점,인천광역시," 1,103 "
75,가전제품수리점,경기도," 4,578 "
76,가전제품수리점,강원도, 541 
77,가전제품수리점,대전광역시, 535 
78,가전제품수리점,충청북도, 458 
79,가전제품수리점,충청남도, 646 
80,가전제품수리점,세종특별자치시, 71 
81,가전제품수리점,광주광역시, 459 
82,가전제품수리점,전라북도, 513 
83,가전제품수리점,전라남도, 506 
84,가전제품수리점,대구광역시, 754 
85,가전제품수리점,경상북도, 561 
86,가전제품수리점,부산광역시, 942 
87,가전제품수리점,울산광역시, 300 
88,가전제품수리점,경상남도, 910 
89,가전제품수리점,제주특별자치도, 195 
90,가전제품판매점,합계," 10,022 "
91,가전제품판매점,서울특별시," 1,523 "
92,가전제품판매점,인천광역시, 370 
93,가전제품판매점,경기도," 1,942 "
94,가전제품판매점,강원도, 462 
95,가전제품판매점,대전광역시, 297 
96,가전제품판매점,충청북도, 433 
97,가전제품판매점,충청남도, 516 
98,가전제품판매점,세종특별자치시, 42 
99,가전제품판매점,광주광역시, 348 
100,가전제품판매점,전라북도, 527 
101,가전제품판매점,전라남도, 571 
102,가전제품판매점,대구광역시, 512 
103,가전제품판매점,경상북도, 695 
104,가전제품판매점,부산광역시, 611 
105,가전제품판매점,울산광역시, 198 
106,가전제품판매점,경상남도, 737 
107,가전제품판매점,제주특별자치도, 238 
108,간이주점,합계," 14,308 "
109,간이주점,서울특별시," 4,619 "
110,간이주점,인천광역시," 1,476 "
111,간이주점,경기도," 2,808 "
112,간이주점,강원도, 425 
113,간이주점,대전광역시, 76 
114,간이주점,충청북도, 467 
115,간이주점,충청남도, 643 
116,간이주점,세종특별자치시, 14 
117,간이주점,광주광역시, 191 
118,간이주점,전라북도, 326 
119,간이주점,전라남도, 253 
120,간이주점,대구광역시, 275 
121,간이주점,경상북도, 384 
122,간이주점,부산광역시, 911 
123,간이주점,울산광역시, 110 
124,간이주점,경상남도," 1,153 "
125,간이주점,제주특별자치도, 177 
126,간판광고물업,합계," 12,991 "
127,간판광고물업,서울특별시," 2,655 "
128,간판광고물업,인천광역시, 552 
129,간판광고물업,경기도," 3,188 "
130,간판광고물업,강원도, 514 
131,간판광고물업,대전광역시, 393 
132,간판광고물업,충청북도, 376 
133,간판광고물업,충청남도, 458 
134,간판광고물업,세종특별자치시, 29 
135,간판광고물업,광주광역시, 434 
136,간판광고물업,전라북도, 500 
137,간판광고물업,전라남도, 472 
138,간판광고물업,대구광역시, 767 
139,간판광고물업,경상북도, 662 
140,간판광고물업,부산광역시, 837 
141,간판광고물업,울산광역시, 261 
142,간판광고물업,경상남도, 696 
143,간판광고물업,제주특별자치도, 197 
144,감정평가사,합계," 1,169 "
145,감정평가사,서울특별시, 253 
146,감정평가사,인천광역시, 77 
147,감정평가사,경기도, 379 
148,감정평가사,강원도, 33 
149,감정평가사,대전광역시, 30 
150,감정평가사,충청북도, 28 
151,감정평가사,충청남도, 35 
152,감정평가사,세종특별자치시, 12 
153,감정평가사,광주광역시, 36 
154,감정평가사,전라북도, 38 
155,감정평가사,전라남도, 19 
156,감정평가사,대구광역시, 55 
157,감정평가사,경상북도, 21 
158,감정평가사,부산광역시, 56 
159,감정평가사,울산광역시, 19 
160,감정평가사,경상남도, 63 
161,감정평가사,제주특별자치도, 15 
162,건강보조식품가게,합계," 13,495 "
163,건강보조식품가게,서울특별시," 2,173 "
164,건강보조식품가게,인천광역시, 647 
165,건강보조식품가게,경기도," 2,681 "
166,건강보조식품가게,강원도, 504 
167,건강보조식품가게,대전광역시, 457 
168,건강보조식품가게,충청북도, 437 
169,건강보조식품가게,충청남도," 1,249 "
170,건강보조식품가게,세종특별자치시, 52 
171,건강보조식품가게,광주광역시, 399 
172,건강보조식품가게,전라북도, 707 
173,건강보조식품가게,전라남도, 494 
174,건강보조식품가게,대구광역시, 581 
175,건강보조식품가게,경상북도, 899 
176,건강보조식품가게,부산광역시, 832 
177,건강보조식품가게,울산광역시, 216 
178,건강보조식품가게,경상남도," 1,003 "
179,건강보조식품가게,제주특별자치도, 164 
180,건어물가게,합계," 7,176 "
181,건어물가게,서울특별시, 748 
182,건어물가게,인천광역시, 372 
183,건어물가게,경기도, 812 
184,건어물가게,강원도, 654 
185,건어물가게,대전광역시, 123 
186,건어물가게,충청북도, 114 
187,건어물가게,충청남도, 629 
188,건어물가게,세종특별자치시, 12 
189,건어물가게,광주광역시, 176 
190,건어물가게,전라북도, 366 
191,건어물가게,전라남도, 931 
192,건어물가게,대구광역시, 151 
193,건어물가게,경상북도, 654 
194,건어물가게,부산광역시, 490 
195,건어물가게,울산광역시, 129 
196,건어물가게,경상남도, 706 
197,건어물가게,제주특별자치도, 109 
198,건축사,합계," 9,997 "
199,건축사,서울특별시," 2,570 "
200,건축사,인천광역시, 347 
201,건축사,경기도," 2,108 "
202,건축사,강원도, 337 
203,건축사,대전광역시, 214 
204,건축사,충청북도, 286 
205,건축사,충청남도, 351 
206,건축사,세종특별자치시, 57 
207,건축사,광주광역시, 239 
208,건축사,전라북도, 358 
209,건축사,전라남도, 275 
210,건축사,대구광역시, 671 
211,건축사,경상북도, 475 
212,건축사,부산광역시, 679 
213,건축사,울산광역시, 215 
214,건축사,경상남도, 521 
215,건축사,제주특별자치도, 294 
216,결혼상담소,합계," 1,599 "
217,결혼상담소,서울특별시, 432 
218,결혼상담소,인천광역시, 65 
219,결혼상담소,경기도, 246 
220,결혼상담소,강원도, 29 
221,결혼상담소,대전광역시, 67 
222,결혼상담소,충청북도, 52 
223,결혼상담소,충청남도, 73 
224,결혼상담소,세종특별자치시, 6 
225,결혼상담소,광주광역시, 80 
226,결혼상담소,전라북도, 80 
227,결혼상담소,전라남도, 46 
228,결혼상담소,대구광역시, 106 
229,결혼상담소,경상북도, 55 
230,결혼상담소,부산광역시, 109 
231,결혼상담소,울산광역시, 26 
232,결혼상담소,경상남도, 95 
233,결혼상담소,제주특별자치도, 32 
234,곡물가게,합계," 5,005 "
235,곡물가게,서울특별시, 648 
236,곡물가게,인천광역시, 197 
237,곡물가게,경기도, 881 
238,곡물가게,강원도, 337 
239,곡물가게,대전광역시, 147 
240,곡물가게,충청북도, 243 
241,곡물가게,충청남도, 390 
242,곡물가게,세종특별자치시, 30 
243,곡물가게,광주광역시, 116 
244,곡물가게,전라북도, 369 
245,곡물가게,전라남도, 387 
246,곡물가게,대구광역시, 183 
247,곡물가게,경상북도, 360 
248,곡물가게,부산광역시, 334 
249,곡물가게,울산광역시, 42 
250,곡물가게,경상남도, 276 
251,곡물가게,제주특별자치도, 65 
252,공인노무사,합계, 915 
253,공인노무사,서울특별시, 401 
254,공인노무사,인천광역시, 38 
255,공인노무사,경기도, 150 
256,공인노무사,강원도, 15 
257,공인노무사,대전광역시, 20 
258,공인노무사,충청북도, 18 
259,공인노무사,충청남도, 24 
260,공인노무사,세종특별자치시, 5 
261,공인노무사,광주광역시, 30 
262,공인노무사,전라북도, 24 
263,공인노무사,전라남도, 9 
264,공인노무사,대구광역시, 32 
265,공인노무사,경상북도, 16 
266,공인노무사,부산광역시, 59 
267,공인노무사,울산광역시, 24 
268,공인노무사,경상남도, 40 
269,공인노무사,제주특별자치도, 10 
270,공인회계사,합계," 1,830 "
271,공인회계사,서울특별시, 839 
272,공인회계사,인천광역시, 68 
273,공인회계사,경기도, 311 
274,공인회계사,강원도, 13 
275,공인회계사,대전광역시, 38 
276,공인회계사,충청북도, 33 
277,공인회계사,충청남도, 43 
278,공인회계사,세종특별자치시, 11 
279,공인회계사,광주광역시, 37 
280,공인회계사,전라북도, 36 
281,공인회계사,전라남도, 23 
282,공인회계사,대구광역시, 88 
283,공인회계사,경상북도, 30 
284,공인회계사,부산광역시, 130 
285,공인회계사,울산광역시, 26 
286,공인회계사,경상남도, 75 
287,공인회계사,제주특별자치도, 29 
288,과일가게,합계," 11,795 "
289,과일가게,서울특별시," 1,234 "
290,과일가게,인천광역시, 414 
291,과일가게,경기도," 1,831 "
292,과일가게,강원도, 300 
293,과일가게,대전광역시, 306 
294,과일가게,충청북도, 648 
295,과일가게,충청남도, 656 
296,과일가게,세종특별자치시, 105 
297,과일가게,광주광역시, 292 
298,과일가게,전라북도, 580 
299,과일가게,전라남도, 656 
300,과일가게,대구광역시, 370 
301,과일가게,경상북도," 1,376 "
302,과일가게,부산광역시, 602 
303,과일가게,울산광역시, 155 
304,과일가게,경상남도," 1,205 "
305,과일가게,제주특별자치도," 1,065 "
306,교습소･공부방,합계," 34,286 "
307,교습소･공부방,서울특별시," 7,288 "
