year,month,city,corp,0
2019,1,경기도,안경점,1913
2019,1,경기도,안과 의원,348
2019,1,경기도,애완용품점,2295
2019,1,경기도,약국,4856
2019,1,경기도,여관ㆍ모텔,3294
2019,1,경기도,여행사,1678
2019,1,경기도,예술학원,8377
2019,1,경기도,예식장,154
2019,1,경기도,옷가게,17475
2019,1,경기도,의료용품가게,1455
2019,1,경기도,이륜자동차판매점,434
2019,1,경기도,이발소,2080
2019,1,경기도,이비인후과 의원,632
2019,1,경기도,일반외과 의원,1095
2019,1,경기도,일식전문점,3577
2019,1,경기도,자동차수리점,10733
2019,1,경기도,자전거판매점,617
2019,1,경기도,장난감가게,593
2019,1,경기도,정육점,4231
2019,1,경기도,제과점,3697
2019,1,경기도,종합병원,650
2019,1,경기도,주유소,2184
2019,1,경기도,주차장운영업,1093
2019,1,경기도,중고차판매점,1012
2019,1,경기도,중식전문점,4793
2019,1,경기도,채소가게,1883
2019,1,경기도,철물점,1864
2019,1,경기도,치과병원ㆍ의원,4176
2019,1,경기도,침구ㆍ커튼가게,1890
2019,1,경기도,커피음료점,10884
2019,1,경기도,컴퓨터판매점,1098
2019,1,경기도,통신판매업,64369
2019,1,경기도,패스트푸드점,7762
2019,1,경기도,펜션ㆍ게스트하우스,1473
2019,1,경기도,편의점,9558
2019,1,경기도,피부ㆍ비뇨기과 의원,793
2019,1,경기도,피부관리업,7548
2019,1,경기도,피시방,2413
2019,1,경기도,한방병원ㆍ한의원,3155
2019,1,경기도,한식전문점,77957
2019,1,경기도,헬스클럽,1680
2019,1,경기도,호프전문점,7127
2019,1,경기도,화장품가게,7771
2019,1,경기도,휴대폰가게,3901
2019,1,경상남도,B. 업종전체,152758
2019,1,경상남도,가구점,564
2019,1,경상남도,가스충전소,151
2019,1,경상남도,가전제품수리점,790
2019,1,경상남도,가전제품판매점,727
2019,1,경상남도,간이주점,1314
2019,1,경상남도,간판광고물업,685
2019,1,경상남도,감정평가사,56
2019,1,경상남도,건강보조식품가게,988
2019,1,경상남도,건어물가게,723
2019,1,경상남도,건축사,506
2019,1,경상남도,결혼상담소,94
2019,1,경상남도,곡물가게,276
2019,1,경상남도,공부방,1817
2019,1,경상남도,공인노무사,39
2019,1,경상남도,공인회계사,72
2019,1,경상남도,과일가게,1188
2019,1,경상남도,교습학원,4021
2019,1,경상남도,구내식당,1966
2019,1,경상남도,기술및직업훈련학원,748
2019,1,경상남도,기술사,82
2019,1,경상남도,기타 일반의원,143
2019,1,경상남도,기타외국식전문점,1191
2019,1,경상남도,기타음식점,1808
2019,1,경상남도,꽃가게,1511
2019,1,경상남도,내과ㆍ소아과 의원,676
2019,1,경상남도,노래방,1697
2019,1,경상남도,담배가게,1155
2019,1,경상남도,당구장,1140
2019,1,경상남도,독서실,397
2019,1,경상남도,동물병원,266
2019,1,경상남도,목욕탕,783
2019,1,경상남도,문구점,642
2019,1,경상남도,미용실,6764
2019,1,경상남도,법무사,384
2019,1,경상남도,변리사,9
2019,1,경상남도,변호사,218
2019,1,경상남도,부동산중개업,6975
2019,1,경상남도,분식점,3992
2019,1,경상남도,사진촬영업,588
2019,1,경상남도,산부인과 의원,83
2019,1,경상남도,생선가게,848
2019,1,경상남도,서점,494
2019,1,경상남도,성형외과 의원,40
2019,1,경상남도,세무사,413
2019,1,경상남도,세탁소,1255
2019,1,경상남도,슈퍼마켓,1974
2019,1,경상남도,스포츠교육기관,1632
2019,1,경상남도,스포츠시설운영업,352
2019,1,경상남도,스포츠용품점,1385
2019,1,경상남도,시계ㆍ귀금속점,561
2019,1,경상남도,식료품가게,4032
2019,1,경상남도,신경정신과 의원,69
2019,1,경상남도,신발가게,435
2019,1,경상남도,실내스크린골프점,394
2019,1,경상남도,실내장식가게,2508
2019,1,경상남도,실외골프연습장,173
2019,1,경상남도,안경점,592
2019,1,경상남도,안과 의원,91
2019,1,경상남도,애완용품점,507
2019,1,경상남도,약국,1274
2019,1,경상남도,여관ㆍ모텔,2370
2019,1,경상남도,여행사,577
2019,1,경상남도,예술학원,2182
2019,1,경상남도,예식장,71
2019,1,경상남도,옷가게,5866
2019,1,경상남도,의료용품가게,403
2019,1,경상남도,이륜자동차판매점,216
2019,1,경상남도,이발소,789
2019,1,경상남도,이비인후과 의원,126
2019,1,경상남도,일반외과 의원,240
2019,1,경상남도,일식전문점,732
2019,1,경상남도,자동차수리점,3148
2019,1,경상남도,자전거판매점,206
2019,1,경상남도,장난감가게,116
2019,1,경상남도,정육점,1165
2019,1,경상남도,제과점,1031
2019,1,경상남도,종합병원,296
2019,1,경상남도,주유소,1065
2019,1,경상남도,주차장운영업,625
2019,1,경상남도,중고차판매점,315
2019,1,경상남도,중식전문점,1624
2019,1,경상남도,채소가게,816
